dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_10_nodes_10_edges_none_SF,FGS,0.07941937446594238,3,0.3333,0.2222,0.0278,0.3333,0.1111,0.1667,10.0,27.0,37.0,0,7816
dag_10_nodes_10_edges_none_SF,FGS,0.08439373970031738,4,0.75,0.1111,0.0833,0.25,0.1111,0.1538,11.0,14.0,24.0,1,3578
dag_10_nodes_10_edges_none_SF,FGS,0.0840001106262207,1,0.0,0.1111,0.0,1.0,0.1111,0.2,9.0,11.0,21.0,2,2656
dag_10_nodes_10_edges_none_SF,FGS,0.0829925537109375,4,0.5,0.2222,0.0556,0.25,0.1111,0.1538,11.0,18.0,28.0,3,2688
dag_10_nodes_10_edges_none_SF,FGS,0.08508920669555664,3,0.3333,0.2222,0.0278,0.3333,0.1111,0.1667,10.0,10.0,24.0,4,2494
dag_10_nodes_10_edges_none_SF,FGS,0.0767064094543457,2,0.0,0.2222,0.0,0.5,0.1111,0.1818,9.0,10.0,24.0,5,183
dag_10_nodes_10_edges_none_SF,FGS,0.07851815223693848,2,0.0,0.2222,0.0,0.5,0.1111,0.1818,9.0,18.0,28.0,6,7977
dag_10_nodes_10_edges_none_SF,FGS,0.07925534248352051,2,0.0,0.2222,0.0,0.5,0.1111,0.1818,9.0,10.0,24.0,7,3199
dag_10_nodes_10_edges_none_SF,FGS,0.08359384536743164,8,0.625,0.3333,0.1389,0.25,0.2222,0.2353,11.0,23.0,33.0,8,316
dag_10_nodes_10_edges_none_SF,FGS,0.08305692672729492,4,0.5,0.2222,0.0556,0.25,0.1111,0.1538,11.0,10.0,24.0,9,8266
dag_10_nodes_10_edges_none_SF,FGS,0.0786902904510498,3,0.6667,0.1111,0.0556,0.3333,0.1111,0.1667,11.0,11.0,21.0,10,1532
dag_10_nodes_10_edges_none_SF,FGS,0.08018136024475098,5,0.6,0.2222,0.0833,0.2,0.1111,0.1429,12.0,27.0,37.0,11,1009
dag_10_nodes_10_edges_none_SF,FGS,0.083740234375,3,0.6667,0.1111,0.0556,0.3333,0.1111,0.1667,11.0,11.0,21.0,12,2250
dag_10_nodes_10_edges_none_SF,FGS,0.07781767845153809,2,0.5,0.1111,0.0278,0.5,0.1111,0.1818,10.0,11.0,21.0,13,4447
dag_10_nodes_10_edges_none_SF,FGS,0.07984232902526855,4,0.5,0.2222,0.0556,0.25,0.1111,0.1538,11.0,10.0,24.0,14,2415
dag_10_nodes_10_edges_none_SF,FGS,0.08856916427612305,4,0.75,0.1111,0.0833,0.25,0.1111,0.1538,11.0,14.0,24.0,15,3595
dag_10_nodes_10_edges_none_SF,FGS,0.07985305786132812,3,0.3333,0.2222,0.0278,0.3333,0.1111,0.1667,10.0,10.0,24.0,16,4187
dag_10_nodes_10_edges_none_SF,FGS,0.08368229866027832,3,0.3333,0.2222,0.0278,0.3333,0.1111,0.1667,10.0,10.0,24.0,17,4135
dag_10_nodes_10_edges_none_SF,FGS,0.0821077823638916,1,0.0,0.1111,0.0,1.0,0.1111,0.2,9.0,11.0,21.0,18,5174
dag_10_nodes_10_edges_none_SF,FGS,0.07935810089111328,2,0.5,0.1111,0.0278,0.5,0.1111,0.1818,10.0,11.0,21.0,19,5303
dag_10_nodes_10_edges_none_SF,FGS,0.09786701202392578,1,0.0,0.1111,0.0,1.0,0.1111,0.2,9.0,11.0,21.0,20,3942
dag_10_nodes_10_edges_none_SF,FGS,0.07792019844055176,3,0.3333,0.2222,0.0278,0.3333,0.1111,0.1667,10.0,10.0,24.0,21,2778
dag_10_nodes_10_edges_none_SF,FGS,0.08101105690002441,5,0.6,0.2222,0.0833,0.4,0.2222,0.2857,9.0,15.0,15.0,22,2804
dag_10_nodes_10_edges_none_SF,FGS,0.08005928993225098,4,0.5,0.2222,0.0556,0.25,0.1111,0.1538,11.0,18.0,28.0,23,2145
dag_10_nodes_10_edges_none_SF,FGS,0.08493161201477051,5,0.4,0.3333,0.0556,0.2,0.1111,0.1429,11.0,28.0,42.0,24,150
dag_10_nodes_10_edges_none_SF,FGS,0.07699847221374512,3,0.6667,0.1111,0.0556,0.3333,0.1111,0.1667,11.0,11.0,21.0,25,8823
dag_10_nodes_10_edges_none_SF,FGS,0.07942748069763184,3,0.3333,0.2222,0.0278,0.3333,0.1111,0.1667,10.0,10.0,24.0,26,4669
dag_10_nodes_10_edges_none_SF,FGS,0.0764913558959961,3,0.3333,0.2222,0.0278,0.3333,0.1111,0.1667,10.0,10.0,24.0,27,6131
