dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_10_nodes_10_edges_none_random,FGS,0.09937906265258789,6,0.8333,0.1,0.1429,0.1667,0.1,0.125,14.0,13.0,0,7816
dag_10_nodes_10_edges_none_random,FGS,0.08135294914245605,5,1.0,0.0,0.1429,0.0,0.0,,15.0,17.0,1,3578
dag_10_nodes_10_edges_none_random,FGS,0.08756828308105469,10,0.9,0.1,0.2571,0.1,0.1,0.1,18.0,19.0,2,2656
dag_10_nodes_10_edges_none_random,FGS,0.08341789245605469,5,0.8,0.1,0.1143,0.2,0.1,0.1333,13.0,14.0,3,2688
dag_10_nodes_10_edges_none_random,FGS,0.08272266387939453,6,0.6667,0.2,0.1143,0.3333,0.2,0.25,12.0,13.0,4,2494
dag_10_nodes_10_edges_none_random,FGS,0.11574506759643555,5,0.8,0.1,0.1143,0.2,0.1,0.1333,12.0,22.0,5,183
dag_10_nodes_10_edges_none_random,FGS,0.08342432975769043,8,0.875,0.1,0.2,0.125,0.1,0.1111,16.0,18.0,6,7977
dag_10_nodes_10_edges_none_random,FGS,0.15554094314575195,7,0.7143,0.2,0.1429,0.2857,0.2,0.2353,13.0,13.0,7,3199
dag_10_nodes_10_edges_none_random,FGS,0.08319211006164551,7,0.7143,0.2,0.1429,0.2857,0.2,0.2353,13.0,21.0,8,316
dag_10_nodes_10_edges_none_random,FGS,0.08757829666137695,7,0.8571,0.1,0.1714,0.1429,0.1,0.1176,14.0,20.0,9,8266
dag_10_nodes_10_edges_none_random,FGS,0.0782477855682373,6,0.6667,0.2,0.1143,0.3333,0.2,0.25,12.0,11.0,10,1532
dag_10_nodes_10_edges_none_random,FGS,0.0844881534576416,6,0.8333,0.1,0.1429,0.1667,0.1,0.125,13.0,20.0,11,1009
dag_10_nodes_10_edges_none_random,FGS,0.08572173118591309,6,0.6667,0.2,0.1143,0.3333,0.2,0.25,12.0,12.0,12,2250
dag_10_nodes_10_edges_none_random,FGS,0.08820509910583496,7,0.7143,0.2,0.1429,0.2857,0.2,0.2353,13.0,11.0,13,4447
dag_10_nodes_10_edges_none_random,FGS,0.0833742618560791,8,0.875,0.1,0.2,0.125,0.1,0.1111,16.0,19.0,14,2415
dag_10_nodes_10_edges_none_random,FGS,0.08483433723449707,7,0.8571,0.1,0.1714,0.1429,0.1,0.1176,15.0,13.0,15,3595
dag_10_nodes_10_edges_none_random,FGS,0.0807037353515625,6,0.8333,0.1,0.1429,0.1667,0.1,0.125,14.0,22.0,16,4187
dag_10_nodes_10_edges_none_random,FGS,0.0828099250793457,5,0.8,0.1,0.1143,0.2,0.1,0.1333,13.0,14.0,17,4135
dag_10_nodes_10_edges_none_random,FGS,0.08179140090942383,3,1.0,0.0,0.0857,0.0,0.0,,13.0,17.0,18,5174
dag_10_nodes_10_edges_none_random,FGS,0.11179494857788086,4,1.0,0.0,0.1143,0.0,0.0,,14.0,17.0,19,5303
dag_10_nodes_10_edges_none_random,FGS,0.09058642387390137,5,0.8,0.1,0.1143,0.2,0.1,0.1333,13.0,16.0,20,3942
dag_10_nodes_10_edges_none_random,FGS,0.09498023986816406,8,0.875,0.1,0.2,0.125,0.1,0.1111,16.0,21.0,21,2778
dag_10_nodes_10_edges_none_random,FGS,0.0814359188079834,5,0.8,0.1,0.1143,0.2,0.1,0.1333,13.0,21.0,22,2804
dag_10_nodes_10_edges_none_random,FGS,0.08389019966125488,7,1.0,0.0,0.2,0.0,0.0,,16.0,19.0,23,2145
dag_10_nodes_10_edges_none_random,FGS,0.0872197151184082,5,0.8,0.1,0.1143,0.2,0.1,0.1333,13.0,13.0,24,150
dag_10_nodes_10_edges_none_random,FGS,0.08687400817871094,9,0.7778,0.2,0.2,0.2222,0.2,0.2105,14.0,17.0,25,8823
dag_10_nodes_10_edges_none_random,FGS,0.08103013038635254,4,1.0,0.0,0.1143,0.0,0.0,,14.0,17.0,26,4669
dag_10_nodes_10_edges_none_random,FGS,0.08585405349731445,7,0.5714,0.3,0.1143,0.4286,0.3,0.3529,11.0,10.0,27,6131
dag_10_nodes_10_edges_none_random,FGS,0.08667898178100586,9,0.8889,0.1,0.2286,0.1111,0.1,0.1053,16.0,17.0,28,2617
dag_10_nodes_10_edges_none_random,FGS,0.08397793769836426,7,0.7143,0.2,0.1429,0.2857,0.2,0.2353,13.0,11.0,29,7166
dag_10_nodes_10_edges_none_random,FGS,0.08378744125366211,7,0.7143,0.2,0.1429,0.2857,0.2,0.2353,13.0,19.0,30,1428
dag_10_nodes_10_edges_none_random,FGS,0.08947348594665527,6,0.8333,0.1,0.1429,0.1667,0.1,0.125,13.0,21.0,31,8328
dag_10_nodes_10_edges_none_random,FGS,0.08985352516174316,7,0.8571,0.1,0.1714,0.1429,0.1,0.1176,15.0,13.0,32,8289
dag_10_nodes_10_edges_none_random,FGS,0.11633777618408203,5,0.8,0.1,0.1143,0.2,0.1,0.1333,13.0,13.0,33,5978
dag_10_nodes_10_edges_none_random,FGS,0.08545255661010742,5,1.0,0.0,0.1429,0.0,0.0,,15.0,17.0,34,5511
dag_10_nodes_10_edges_none_random,FGS,0.11829471588134766,6,1.0,0.0,0.1714,0.0,0.0,,15.0,20.0,35,5864
dag_10_nodes_10_edges_none_random,FGS,0.08913540840148926,6,0.8333,0.1,0.1429,0.1667,0.1,0.125,14.0,13.0,36,606
dag_10_nodes_10_edges_none_random,FGS,0.08627843856811523,5,0.8,0.1,0.1143,0.2,0.1,0.1333,13.0,13.0,37,1933
dag_10_nodes_10_edges_none_random,FGS,0.08301424980163574,6,0.6667,0.2,0.1143,0.3333,0.2,0.25,11.0,20.0,38,6071
dag_10_nodes_10_edges_none_random,FGS,0.08963608741760254,6,0.8333,0.1,0.1429,0.1667,0.1,0.125,14.0,13.0,39,5504
