dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_10_nodes_10_edges_semantics_ER,FGS,0.09929585456848145,6,1.0,0.0,0.1714,0.0,0.0,,16.0,41.0,0,7816
dag_10_nodes_10_edges_semantics_ER,FGS,0.09520101547241211,6,1.0,0.0,0.1714,0.0,0.0,,16.0,48.0,1,3578
dag_10_nodes_10_edges_semantics_ER,FGS,0.09515905380249023,8,1.0,0.0,0.2286,0.0,0.0,,17.0,39.0,2,2656
dag_10_nodes_10_edges_semantics_ER,FGS,0.09241914749145508,8,1.0,0.0,0.2286,0.0,0.0,,17.0,35.0,3,2688
dag_10_nodes_10_edges_semantics_ER,FGS,0.0899660587310791,4,1.0,0.0,0.1143,0.0,0.0,,14.0,40.0,4,2494
dag_10_nodes_10_edges_semantics_ER,FGS,0.08645033836364746,3,1.0,0.0,0.0857,0.0,0.0,,13.0,40.0,5,183
dag_10_nodes_10_edges_semantics_ER,FGS,0.09192585945129395,6,0.8333,0.1,0.1429,0.1667,0.1,0.125,13.0,38.0,6,7977
dag_10_nodes_10_edges_semantics_ER,FGS,0.08548521995544434,4,0.75,0.1,0.0857,0.25,0.1,0.1429,11.0,37.0,7,3199
dag_10_nodes_10_edges_semantics_ER,FGS,0.09229493141174316,5,1.0,0.0,0.1429,0.0,0.0,,15.0,36.0,8,316
dag_10_nodes_10_edges_semantics_ER,FGS,0.09316277503967285,5,1.0,0.0,0.1429,0.0,0.0,,14.0,44.0,9,8266
dag_10_nodes_10_edges_semantics_ER,FGS,0.08669567108154297,4,1.0,0.0,0.1143,0.0,0.0,,14.0,39.0,10,1532
dag_10_nodes_10_edges_semantics_ER,FGS,0.08838462829589844,5,1.0,0.0,0.1429,0.0,0.0,,15.0,41.0,11,1009
dag_10_nodes_10_edges_semantics_ER,FGS,0.08809614181518555,5,1.0,0.0,0.1429,0.0,0.0,,15.0,39.0,12,2250
dag_10_nodes_10_edges_semantics_ER,FGS,0.0912790298461914,8,0.875,0.1,0.2,0.125,0.1,0.1111,16.0,41.0,13,4447
dag_10_nodes_10_edges_semantics_ER,FGS,0.09356045722961426,7,1.0,0.0,0.2,0.0,0.0,,16.0,52.0,14,2415
dag_10_nodes_10_edges_semantics_ER,FGS,0.11558842658996582,8,0.875,0.1,0.2,0.125,0.1,0.1111,16.0,35.0,15,3595
dag_10_nodes_10_edges_semantics_ER,FGS,0.09476447105407715,7,0.8571,0.1,0.1714,0.1429,0.1,0.1176,15.0,34.0,16,4187
dag_10_nodes_10_edges_semantics_ER,FGS,0.08898425102233887,5,1.0,0.0,0.1429,0.0,0.0,,15.0,47.0,17,4135
dag_10_nodes_10_edges_semantics_ER,FGS,0.09128165245056152,5,1.0,0.0,0.1429,0.0,0.0,,14.0,39.0,18,5174
dag_10_nodes_10_edges_semantics_ER,FGS,0.08989357948303223,5,0.8,0.1,0.1143,0.2,0.1,0.1333,13.0,41.0,19,5303
dag_10_nodes_10_edges_semantics_ER,FGS,0.0935068130493164,9,0.8889,0.1,0.2286,0.1111,0.1,0.1053,16.0,32.0,20,3942
dag_10_nodes_10_edges_semantics_ER,FGS,0.09103679656982422,8,1.0,0.0,0.2286,0.0,0.0,,17.0,39.0,21,2778
dag_10_nodes_10_edges_semantics_ER,FGS,0.09784889221191406,10,1.0,0.0,0.2857,0.0,0.0,,18.0,50.0,22,2804
dag_10_nodes_10_edges_semantics_ER,FGS,0.09289336204528809,6,1.0,0.0,0.1714,0.0,0.0,,15.0,39.0,23,2145
dag_10_nodes_10_edges_semantics_ER,FGS,0.09063839912414551,4,1.0,0.0,0.1143,0.0,0.0,,14.0,40.0,24,150
dag_10_nodes_10_edges_semantics_ER,FGS,0.08754754066467285,6,0.6667,0.2,0.1143,0.3333,0.2,0.25,11.0,33.0,25,8823
dag_10_nodes_10_edges_semantics_ER,FGS,0.09154868125915527,6,1.0,0.0,0.1714,0.0,0.0,,16.0,33.0,26,4669
dag_10_nodes_10_edges_semantics_ER,FGS,0.09090900421142578,7,1.0,0.0,0.2,0.0,0.0,,17.0,34.0,27,6131
dag_10_nodes_10_edges_semantics_ER,FGS,0.09419703483581543,6,1.0,0.0,0.1714,0.0,0.0,,16.0,35.0,28,2617
dag_10_nodes_10_edges_semantics_ER,FGS,0.12602806091308594,3,1.0,0.0,0.0857,0.0,0.0,,13.0,39.0,29,7166
dag_10_nodes_10_edges_semantics_ER,FGS,0.09032797813415527,4,1.0,0.0,0.1143,0.0,0.0,,14.0,36.0,30,1428
dag_10_nodes_10_edges_semantics_ER,FGS,0.09212255477905273,6,1.0,0.0,0.1714,0.0,0.0,,15.0,53.0,31,8328
dag_10_nodes_10_edges_semantics_ER,FGS,0.0955972671508789,7,1.0,0.0,0.2,0.0,0.0,,16.0,39.0,32,8289
dag_10_nodes_10_edges_semantics_ER,FGS,0.09280061721801758,7,0.8571,0.1,0.1714,0.1429,0.1,0.1176,14.0,37.0,33,5978
dag_10_nodes_10_edges_semantics_ER,FGS,0.09052085876464844,5,0.8,0.1,0.1143,0.2,0.1,0.1333,12.0,36.0,34,5511
dag_10_nodes_10_edges_semantics_ER,FGS,0.09452366828918457,6,1.0,0.0,0.1714,0.0,0.0,,16.0,36.0,35,5864
dag_10_nodes_10_edges_semantics_ER,FGS,0.0933995246887207,5,1.0,0.0,0.1429,0.0,0.0,,15.0,38.0,36,606
