dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_10_nodes_10_edges_semantics_random,MPC,0.017174482345581055,8,0.0,0.8,0.0,0.625,0.5,0.5556,8.0,2.0,70.0,0,7816
dag_10_nodes_10_edges_semantics_random,MPC,0.009501457214355469,8,0.0,0.8,0.0,0.625,0.5,0.5556,8.0,39.0,79.0,1,3578
dag_10_nodes_10_edges_semantics_random,MPC,0.007731437683105469,6,0.1667,0.5,0.0286,0.5,0.3,0.375,10.0,26.0,66.0,2,2656
dag_10_nodes_10_edges_semantics_random,MPC,0.026584625244140625,9,0.1111,0.8,0.0286,0.4444,0.4,0.4211,10.0,9.0,83.0,3,2688
dag_10_nodes_10_edges_semantics_random,MPC,0.01642155647277832,7,0.0,0.7,0.0,0.5714,0.4,0.4706,9.0,54.0,83.0,4,2494
dag_10_nodes_10_edges_semantics_random,MPC,0.01922464370727539,8,0.125,0.7,0.0286,0.5,0.4,0.4444,10.0,12.0,73.0,5,183
dag_10_nodes_10_edges_semantics_random,MPC,0.009063005447387695,6,0.1667,0.5,0.0286,0.6667,0.4,0.5,10.0,27.0,63.0,6,7977
dag_10_nodes_10_edges_semantics_random,MPC,0.01378321647644043,8,0.0,0.8,0.0,0.75,0.6,0.6667,9.0,52.0,81.0,7,3199
dag_10_nodes_10_edges_semantics_random,MPC,0.019585847854614258,11,0.1818,0.9,0.0571,0.5455,0.6,0.5714,10.0,1.0,77.0,8,316
dag_10_nodes_10_edges_semantics_random,MPC,0.021646738052368164,10,0.2,0.8,0.0571,0.5,0.5,0.5,11.0,15.0,84.0,9,8266
dag_10_nodes_10_edges_semantics_random,MPC,0.012498855590820312,5,0.0,0.5,0.0,0.8,0.4,0.5333,9.0,35.0,64.0,10,1532
dag_10_nodes_10_edges_semantics_random,MPC,0.01169276237487793,6,0.0,0.6,0.0,0.5,0.3,0.375,8.0,31.0,61.0,11,1009
dag_10_nodes_10_edges_semantics_random,MPC,0.005299568176269531,2,0.0,0.2,0.0,1.0,0.2,0.3333,9.0,27.0,47.0,12,2250
dag_10_nodes_10_edges_semantics_random,MPC,0.019234180450439453,9,0.0,0.9,0.0,0.5556,0.5,0.5263,8.0,2.0,86.0,13,4447
dag_10_nodes_10_edges_semantics_random,MPC,0.017233610153198242,7,0.0,0.7,0.0,0.5714,0.4,0.4706,9.0,39.0,69.0,14,2415
dag_10_nodes_10_edges_semantics_random,MPC,0.008695363998413086,5,0.0,0.5,0.0,0.8,0.4,0.5333,9.0,35.0,64.0,15,3595
dag_10_nodes_10_edges_semantics_random,MPC,0.009908199310302734,8,0.0,0.8,0.0,0.625,0.5,0.5556,8.0,6.0,72.0,16,4187
dag_10_nodes_10_edges_semantics_random,MPC,0.010244607925415039,7,0.1429,0.6,0.0286,0.5714,0.4,0.4706,11.0,55.0,75.0,17,4135
dag_10_nodes_10_edges_semantics_random,MPC,0.008044242858886719,6,0.0,0.6,0.0,0.5,0.3,0.375,8.0,33.0,54.0,18,5174
dag_10_nodes_10_edges_semantics_random,MPC,0.012232780456542969,7,0.0,0.7,0.0,0.7143,0.5,0.5882,8.0,26.0,65.0,19,5303
dag_10_nodes_10_edges_semantics_random,MPC,0.024477005004882812,10,0.0,1.0,0.0,0.6,0.6,0.6,8.0,0.0,86.0,20,3942
dag_10_nodes_10_edges_semantics_random,MPC,0.01391911506652832,7,0.1429,0.6,0.0286,0.5714,0.4,0.4706,10.0,48.0,77.0,21,2778
dag_10_nodes_10_edges_semantics_random,MPC,0.01987457275390625,9,0.0,0.9,0.0,0.6667,0.6,0.6316,8.0,1.0,77.0,22,2804
dag_10_nodes_10_edges_semantics_random,MPC,0.016397953033447266,9,0.0,0.9,0.0,0.6667,0.6,0.6316,8.0,1.0,77.0,23,2145
dag_10_nodes_10_edges_semantics_random,MPC,0.009099960327148438,6,0.0,0.6,0.0,0.8333,0.5,0.625,10.0,45.0,64.0,24,150
dag_10_nodes_10_edges_semantics_random,MPC,0.012131690979003906,8,0.0,0.8,0.0,0.5,0.4,0.4444,8.0,39.0,79.0,25,8823
dag_10_nodes_10_edges_semantics_random,MPC,0.01302194595336914,7,0.0,0.7,0.0,0.7143,0.5,0.5882,9.0,53.0,82.0,26,4669
dag_10_nodes_10_edges_semantics_random,MPC,0.014319181442260742,8,0.0,0.8,0.0,0.625,0.5,0.5556,8.0,9.0,75.0,27,6131
dag_10_nodes_10_edges_semantics_random,MPC,0.007941961288452148,7,0.0,0.7,0.0,0.4286,0.3,0.3529,9.0,42.0,80.0,28,2617
dag_10_nodes_10_edges_semantics_random,MPC,0.013539314270019531,8,0.0,0.8,0.0,0.625,0.5,0.5556,8.0,2.0,68.0,29,7166
dag_10_nodes_10_edges_semantics_random,MPC,0.009398460388183594,7,0.0,0.7,0.0,0.4286,0.3,0.3529,8.0,30.0,70.0,30,1428
dag_10_nodes_10_edges_semantics_random,MPC,0.011133909225463867,7,0.0,0.7,0.0,0.8571,0.6,0.7059,9.0,45.0,74.0,31,8328
dag_10_nodes_10_edges_semantics_random,MPC,0.024247407913208008,11,0.1818,0.9,0.0571,0.5455,0.6,0.5714,10.0,7.0,86.0,32,8289
dag_10_nodes_10_edges_semantics_random,MPC,0.008948564529418945,7,0.0,0.7,0.0,0.5714,0.4,0.4706,9.0,48.0,78.0,33,5978
dag_10_nodes_10_edges_semantics_random,MPC,0.024676084518432617,10,0.1,0.9,0.0286,0.6,0.6,0.6,9.0,1.0,79.0,34,5511
dag_10_nodes_10_edges_semantics_random,MPC,0.01756763458251953,7,0.0,0.7,0.0,0.7143,0.5,0.5882,8.0,36.0,75.0,35,5864
dag_10_nodes_10_edges_semantics_random,MPC,0.014400005340576172,8,0.125,0.7,0.0286,0.5,0.4,0.4444,9.0,7.0,72.0,36,606
dag_10_nodes_10_edges_semantics_random,MPC,0.012702703475952148,6,0.0,0.6,0.0,0.5,0.3,0.375,10.0,47.0,67.0,37,1933
dag_10_nodes_10_edges_semantics_random,MPC,0.006960868835449219,4,0.0,0.4,0.0,0.75,0.3,0.4286,10.0,37.0,65.0,38,6071
dag_10_nodes_10_edges_semantics_random,MPC,0.009650945663452148,7,0.0,0.7,0.0,0.5714,0.4,0.4706,8.0,29.0,68.0,39,5504
dag_10_nodes_10_edges_semantics_random,MPC,0.03236103057861328,9,0.0,0.9,0.0,0.6667,0.6,0.6316,9.0,8.0,84.0,40,5163
dag_10_nodes_10_edges_semantics_random,MPC,0.011535167694091797,9,0.0,0.9,0.0,0.5556,0.5,0.5263,8.0,5.0,81.0,41,2406
dag_10_nodes_10_edges_semantics_random,MPC,0.01792597770690918,9,0.1111,0.8,0.0286,0.4444,0.4,0.4211,9.0,10.0,77.0,42,304
dag_10_nodes_10_edges_semantics_random,MPC,0.014088630676269531,6,0.0,0.6,0.0,0.8333,0.5,0.625,8.0,29.0,68.0,43,3391
dag_10_nodes_10_edges_semantics_random,MPC,0.017261981964111328,8,0.0,0.8,0.0,0.5,0.4,0.4444,8.0,9.0,75.0,44,359
dag_10_nodes_10_edges_semantics_random,MPC,0.013574361801147461,7,0.0,0.7,0.0,0.7143,0.5,0.5882,10.0,52.0,71.0,45,9096
dag_10_nodes_10_edges_semantics_random,MPC,0.012335538864135742,6,0.1667,0.5,0.0286,0.5,0.3,0.375,10.0,28.0,57.0,46,3533
dag_10_nodes_10_edges_semantics_random,MPC,0.011228084564208984,8,0.125,0.7,0.0286,0.5,0.4,0.4444,9.0,30.0,70.0,47,4125
dag_10_nodes_10_edges_semantics_random,MPC,0.01059722900390625,7,0.0,0.7,0.0,0.5714,0.4,0.4706,9.0,47.0,68.0,48,3094
dag_10_nodes_10_edges_semantics_random,MPC,0.020432710647583008,11,0.2727,0.8,0.0857,0.4545,0.5,0.4762,11.0,6.0,72.0,49,6398
