dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.2636525630950928,0,0.0,0.0,0.0,,0.0,,15.0,56.0,56.0,0,7816
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.26093339920043945,0,0.0,0.0,0.0,,0.0,,15.0,56.0,56.0,1,3578
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.21693658828735352,0,0.0,0.0,0.0,,0.0,,15.0,56.0,56.0,2,2656
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.32274341583251953,0,0.0,0.0,0.0,,0.0,,15.0,56.0,56.0,3,2688
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.4458000659942627,0,0.0,0.0,0.0,,0.0,,15.0,56.0,56.0,4,2494
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.2868983745574951,0,0.0,0.0,0.0,,0.0,,15.0,56.0,56.0,5,183
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.28880786895751953,0,0.0,0.0,0.0,,0.0,,15.0,56.0,56.0,6,7977
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.19500160217285156,0,0.0,0.0,0.0,,0.0,,15.0,56.0,56.0,7,3199
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.3461942672729492,0,0.0,0.0,0.0,,0.0,,15.0,56.0,56.0,8,316
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.30411624908447266,0,0.0,0.0,0.0,,0.0,,15.0,56.0,56.0,9,8266
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.2974555492401123,0,0.0,0.0,0.0,,0.0,,15.0,56.0,56.0,10,1532
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.34761810302734375,0,0.0,0.0,0.0,,0.0,,15.0,56.0,56.0,11,1009
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.5470900535583496,0,0.0,0.0,0.0,,0.0,,15.0,56.0,56.0,12,2250
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.395658016204834,0,0.0,0.0,0.0,,0.0,,15.0,56.0,56.0,13,4447
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.2773623466491699,0,0.0,0.0,0.0,,0.0,,15.0,56.0,56.0,14,2415
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.29751062393188477,0,0.0,0.0,0.0,,0.0,,15.0,56.0,56.0,15,3595
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.38994503021240234,0,0.0,0.0,0.0,,0.0,,15.0,56.0,56.0,16,4187
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.2189929485321045,0,0.0,0.0,0.0,,0.0,,15.0,56.0,56.0,17,4135
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.4359128475189209,1,0.0,0.0667,0.0,0.0,0.0,,15.0,55.0,57.0,18,5174
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.2911241054534912,0,0.0,0.0,0.0,,0.0,,15.0,56.0,56.0,19,5303
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.1394214630126953,0,0.0,0.0,0.0,,0.0,,15.0,56.0,56.0,20,3942
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.20148873329162598,0,0.0,0.0,0.0,,0.0,,15.0,56.0,56.0,21,2778
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.42517948150634766,0,0.0,0.0,0.0,,0.0,,15.0,56.0,56.0,22,2804
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.27053189277648926,0,0.0,0.0,0.0,,0.0,,15.0,56.0,56.0,23,2145
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.5887994766235352,0,0.0,0.0,0.0,,0.0,,15.0,56.0,56.0,24,150
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.16232895851135254,0,0.0,0.0,0.0,,0.0,,15.0,56.0,56.0,25,8823
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.38834381103515625,0,0.0,0.0,0.0,,0.0,,15.0,56.0,56.0,26,4669
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.3410184383392334,0,0.0,0.0,0.0,,0.0,,15.0,56.0,56.0,27,6131
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.4332404136657715,0,0.0,0.0,0.0,,0.0,,15.0,56.0,56.0,28,2617
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.27629876136779785,0,0.0,0.0,0.0,,0.0,,15.0,56.0,56.0,29,7166
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.34093213081359863,0,0.0,0.0,0.0,,0.0,,15.0,56.0,56.0,30,1428
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.1625216007232666,0,0.0,0.0,0.0,,0.0,,15.0,56.0,56.0,31,8328
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.1488649845123291,0,0.0,0.0,0.0,,0.0,,15.0,56.0,56.0,32,8289
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.3433408737182617,0,0.0,0.0,0.0,,0.0,,15.0,56.0,56.0,33,5978
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.5675954818725586,0,0.0,0.0,0.0,,0.0,,15.0,56.0,56.0,34,5511
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.6609632968902588,0,0.0,0.0,0.0,,0.0,,15.0,56.0,56.0,35,5864
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.22632622718811035,0,0.0,0.0,0.0,,0.0,,15.0,56.0,56.0,36,606
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.3189568519592285,0,0.0,0.0,0.0,,0.0,,15.0,56.0,56.0,37,1933
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.2390432357788086,0,0.0,0.0,0.0,,0.0,,15.0,56.0,56.0,38,6071
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.2184913158416748,0,0.0,0.0,0.0,,0.0,,15.0,56.0,56.0,39,5504
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.21664690971374512,0,0.0,0.0,0.0,,0.0,,15.0,56.0,56.0,40,5163
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.27965354919433594,0,0.0,0.0,0.0,,0.0,,15.0,56.0,56.0,41,2406
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.3281984329223633,0,0.0,0.0,0.0,,0.0,,15.0,56.0,56.0,42,304
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.3494906425476074,0,0.0,0.0,0.0,,0.0,,15.0,56.0,56.0,43,3391
dag_10_nodes_15_edges_degrees_ER,NOTEARS-MLP,0.16950774192810059,0,0.0,0.0,0.0,,0.0,,15.0,56.0,56.0,44,359
