dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_10_nodes_15_edges_degrees_random,FGS,0.09121990203857422,7,0.5714,0.2,0.1333,0.4286,0.2,0.2727,17.0,44.0,56.0,0,7816
dag_10_nodes_15_edges_degrees_random,FGS,0.09374308586120605,12,0.8333,0.1333,0.3333,0.1667,0.1333,0.1481,21.0,60.0,67.0,1,3578
dag_10_nodes_15_edges_degrees_random,FGS,0.08555936813354492,9,0.6667,0.2,0.2,0.3333,0.2,0.25,19.0,51.0,52.0,2,2656
dag_10_nodes_15_edges_degrees_random,FGS,0.08646607398986816,11,0.7273,0.2,0.2667,0.1818,0.1333,0.1538,21.0,32.0,43.0,3,2688
dag_10_nodes_15_edges_degrees_random,FGS,0.0879368782043457,13,0.4615,0.4667,0.2,0.4615,0.4,0.4286,17.0,36.0,65.0,4,2494
dag_10_nodes_15_edges_degrees_random,FGS,0.15383625030517578,11,0.8182,0.1333,0.3,0.1818,0.1333,0.1538,23.0,36.0,57.0,5,183
dag_10_nodes_15_edges_degrees_random,FGS,0.08882927894592285,8,0.75,0.1333,0.2,0.125,0.0667,0.087,20.0,42.0,67.0,6,7977
dag_10_nodes_15_edges_degrees_random,FGS,0.0948486328125,13,0.7692,0.2,0.3333,0.2308,0.2,0.2143,23.0,53.0,68.0,7,3199
dag_10_nodes_15_edges_degrees_random,FGS,0.09297943115234375,12,0.75,0.2,0.3,0.25,0.2,0.2222,20.0,58.0,67.0,8,316
dag_10_nodes_15_edges_degrees_random,FGS,0.0946507453918457,10,0.8,0.1333,0.2667,0.2,0.1333,0.16,22.0,41.0,66.0,9,8266
dag_10_nodes_15_edges_degrees_random,FGS,0.09650850296020508,10,0.8,0.1333,0.2667,0.2,0.1333,0.16,20.0,49.0,75.0,10,1532
dag_10_nodes_15_edges_degrees_random,FGS,0.08989334106445312,10,0.7,0.2,0.2333,0.3,0.2,0.24,19.0,56.0,65.0,11,1009
dag_10_nodes_15_edges_degrees_random,FGS,0.09289407730102539,13,0.6154,0.3333,0.2667,0.2308,0.2,0.2143,20.0,33.0,67.0,12,2250
