dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_10_nodes_15_edges_none_SF,MPC,0.012148618698120117,8,0.0,0.4706,0.0,0.5,0.2353,0.32,16.0,19.0,74.0,0,7816
dag_10_nodes_15_edges_none_SF,MPC,0.02057337760925293,10,0.0,0.5882,0.0,0.4,0.2353,0.2963,15.0,10.0,78.0,1,3578
dag_10_nodes_15_edges_none_SF,MPC,0.008666276931762695,6,0.0,0.3529,0.0,0.6667,0.2353,0.3478,16.0,43.0,69.0,2,2656
dag_10_nodes_15_edges_none_SF,MPC,0.02502727508544922,11,0.0,0.6471,0.0,0.5455,0.3529,0.4286,15.0,14.0,78.0,3,2688
dag_10_nodes_15_edges_none_SF,MPC,0.01879143714904785,11,0.0,0.6471,0.0,0.6364,0.4118,0.5,15.0,18.0,87.0,4,2494
dag_10_nodes_15_edges_none_SF,MPC,0.013863563537597656,8,0.125,0.4118,0.0357,0.375,0.1765,0.24,16.0,48.0,75.0,5,183
dag_10_nodes_15_edges_none_SF,MPC,0.01626420021057129,9,0.1111,0.4706,0.0357,0.4444,0.2353,0.3077,17.0,15.0,69.0,6,7977
dag_10_nodes_15_edges_none_SF,MPC,0.0069963932037353516,5,0.0,0.2941,0.0,0.6,0.1765,0.2727,16.0,40.0,64.0,7,3199
dag_10_nodes_15_edges_none_SF,MPC,0.024983882904052734,11,0.0,0.6471,0.0,0.5455,0.3529,0.4286,15.0,11.0,80.0,8,316
dag_10_nodes_15_edges_none_SF,MPC,0.0078122615814208984,7,0.0,0.4118,0.0,0.5714,0.2353,0.3333,15.0,44.0,71.0,9,8266
dag_10_nodes_15_edges_none_SF,MPC,0.03974294662475586,13,0.0,0.7647,0.0,0.6154,0.4706,0.5333,15.0,9.0,83.0,10,1532
dag_10_nodes_15_edges_none_SF,MPC,0.024767160415649414,10,0.0,0.5882,0.0,0.4,0.2353,0.2963,15.0,12.0,83.0,11,1009
dag_10_nodes_15_edges_none_SF,MPC,0.016460418701171875,9,0.0,0.5294,0.0,0.4444,0.2353,0.3077,15.0,13.0,74.0,12,2250
dag_10_nodes_15_edges_none_SF,MPC,0.014811515808105469,7,0.0,0.4118,0.0,0.5714,0.2353,0.3333,16.0,51.0,65.0,13,4447
dag_10_nodes_15_edges_none_SF,MPC,0.03145790100097656,11,0.1818,0.5294,0.0714,0.4545,0.2941,0.3571,18.0,15.0,76.0,14,2415
dag_10_nodes_15_edges_none_SF,MPC,0.021715879440307617,11,0.0909,0.5882,0.0357,0.5455,0.3529,0.4286,16.0,13.0,78.0,15,3595
dag_10_nodes_15_edges_none_SF,MPC,0.01689291000366211,10,0.0,0.5882,0.0,0.6,0.3529,0.4444,15.0,14.0,78.0,16,4187
dag_10_nodes_15_edges_none_SF,MPC,0.02313995361328125,10,0.0,0.5882,0.0,0.4,0.2353,0.2963,15.0,9.0,83.0,17,4135
dag_10_nodes_15_edges_none_SF,MPC,0.012635469436645508,6,0.0,0.3529,0.0,0.5,0.1765,0.2609,15.0,46.0,66.0,18,5174
dag_10_nodes_15_edges_none_SF,MPC,0.018662452697753906,9,0.0,0.5294,0.0,0.3333,0.1765,0.2308,15.0,11.0,74.0,19,5303
dag_10_nodes_15_edges_none_SF,MPC,0.025036334991455078,10,0.0,0.5882,0.0,0.4,0.2353,0.2963,15.0,9.0,83.0,20,3942
dag_10_nodes_15_edges_none_SF,MPC,0.015428543090820312,9,0.0,0.5294,0.0,0.4444,0.2353,0.3077,15.0,16.0,74.0,21,2778
dag_10_nodes_15_edges_none_SF,MPC,0.007529020309448242,6,0.0,0.3529,0.0,0.5,0.1765,0.2609,17.0,40.0,61.0,22,2804
dag_10_nodes_15_edges_none_SF,MPC,0.02113056182861328,9,0.0,0.5294,0.0,0.3333,0.1765,0.2308,16.0,14.0,77.0,23,2145
dag_10_nodes_15_edges_none_SF,MPC,0.025155305862426758,11,0.0,0.6471,0.0,0.5455,0.3529,0.4286,15.0,11.0,80.0,24,150
dag_10_nodes_15_edges_none_SF,MPC,0.02004265785217285,7,0.0,0.4118,0.0,0.4286,0.1765,0.25,16.0,56.0,68.0,25,8823
dag_10_nodes_15_edges_none_SF,MPC,0.011372089385986328,9,0.0,0.5294,0.0,0.4444,0.2353,0.3077,15.0,13.0,71.0,26,4669
dag_10_nodes_15_edges_none_SF,MPC,0.020491600036621094,11,0.0,0.6471,0.0,0.5455,0.3529,0.4286,15.0,11.0,80.0,27,6131
dag_10_nodes_15_edges_none_SF,MPC,0.022445201873779297,10,0.1,0.5294,0.0357,0.4,0.2353,0.2963,16.0,13.0,71.0,28,2617
dag_10_nodes_15_edges_none_SF,MPC,0.039781808853149414,9,0.1111,0.4706,0.0357,0.3333,0.1765,0.2308,16.0,16.0,79.0,29,7166
dag_10_nodes_15_edges_none_SF,MPC,0.021157503128051758,10,0.0,0.5882,0.0,0.6,0.3529,0.4444,15.0,19.0,75.0,30,1428
dag_10_nodes_15_edges_none_SF,MPC,0.01193690299987793,7,0.0,0.4118,0.0,0.2857,0.1176,0.1667,16.0,54.0,79.0,31,8328
dag_10_nodes_15_edges_none_SF,MPC,0.010892391204833984,5,0.0,0.2941,0.0,0.4,0.1176,0.1818,16.0,38.0,52.0,32,8289
dag_10_nodes_15_edges_none_SF,MPC,0.02536749839782715,10,0.0,0.5882,0.0,0.5,0.2941,0.3704,15.0,16.0,78.0,33,5978
dag_10_nodes_15_edges_none_SF,MPC,0.0357820987701416,11,0.0,0.6471,0.0,0.4545,0.2941,0.3571,15.0,11.0,83.0,34,5511
dag_10_nodes_15_edges_none_SF,MPC,0.022063016891479492,12,0.0,0.7059,0.0,0.5,0.3529,0.4138,15.0,8.0,81.0,35,5864
dag_10_nodes_15_edges_none_SF,MPC,0.011712074279785156,8,0.0,0.4706,0.0,0.625,0.2941,0.4,16.0,17.0,72.0,36,606
