dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_10_nodes_15_edges_none_random,MPC,0.05411648750305176,10,0.2,0.5333,0.0667,0.8,0.5333,0.64,7.0,23.0,0,7816
dag_10_nodes_15_edges_none_random,MPC,0.02976846694946289,2,0.5,0.0667,0.0333,0.5,0.0667,0.1176,14.0,33.0,1,3578
dag_10_nodes_15_edges_none_random,MPC,0.010697126388549805,5,0.2,0.2667,0.0333,0.8,0.2667,0.4,12.0,30.0,2,2656
dag_10_nodes_15_edges_none_random,MPC,0.01584482192993164,4,0.0,0.2667,0.0,1.0,0.2667,0.4211,11.0,23.0,3,2688
dag_10_nodes_15_edges_none_random,MPC,0.020170211791992188,9,0.1111,0.5333,0.0333,0.8889,0.5333,0.6667,8.0,16.0,4,2494
dag_10_nodes_15_edges_none_random,MPC,0.01719188690185547,5,0.2,0.2667,0.0333,0.8,0.2667,0.4,11.0,26.0,5,183
dag_10_nodes_15_edges_none_random,MPC,0.02429986000061035,9,0.4444,0.3333,0.1333,0.5556,0.3333,0.4167,11.0,34.0,6,7977
dag_10_nodes_15_edges_none_random,MPC,0.014294147491455078,6,0.0,0.4,0.0,1.0,0.4,0.5714,9.0,14.0,7,3199
dag_10_nodes_15_edges_none_random,MPC,0.06544733047485352,4,0.0,0.2667,0.0,1.0,0.2667,0.4211,11.0,20.0,8,316
dag_10_nodes_15_edges_none_random,MPC,0.008740663528442383,3,0.0,0.2,0.0,1.0,0.2,0.3333,12.0,26.0,9,8266
dag_10_nodes_15_edges_none_random,MPC,0.02079176902770996,0,0.0,0.0,0.0,,0.0,,15.0,34.0,10,1532
dag_10_nodes_15_edges_none_random,MPC,0.02183246612548828,8,0.125,0.4667,0.0333,0.875,0.4667,0.6087,8.0,24.0,11,1009
dag_10_nodes_15_edges_none_random,MPC,0.022500991821289062,12,0.6667,0.2667,0.2667,0.3333,0.2667,0.2963,14.0,44.0,12,2250
dag_10_nodes_15_edges_none_random,MPC,0.011818885803222656,3,0.3333,0.1333,0.0333,0.6667,0.1333,0.2222,13.0,33.0,13,4447
dag_10_nodes_15_edges_none_random,MPC,0.04649019241333008,8,0.375,0.3333,0.1,0.625,0.3333,0.4348,11.0,42.0,14,2415
dag_10_nodes_15_edges_none_random,MPC,0.009149789810180664,2,0.0,0.1333,0.0,1.0,0.1333,0.2353,13.0,32.0,15,3595
dag_10_nodes_15_edges_none_random,MPC,0.03708958625793457,6,0.3333,0.2667,0.0667,0.6667,0.2667,0.381,11.0,28.0,16,4187
dag_10_nodes_15_edges_none_random,MPC,0.013697147369384766,7,0.2857,0.3333,0.0667,0.7143,0.3333,0.4545,10.0,29.0,17,4135
dag_10_nodes_15_edges_none_random,MPC,0.011932611465454102,7,0.2857,0.3333,0.0667,0.7143,0.3333,0.4545,11.0,24.0,18,5174
dag_10_nodes_15_edges_none_random,MPC,0.010397911071777344,2,0.0,0.1333,0.0,1.0,0.1333,0.2353,13.0,27.0,19,5303
dag_10_nodes_15_edges_none_random,MPC,0.013374090194702148,5,0.0,0.3333,0.0,1.0,0.3333,0.5,10.0,19.0,20,3942
dag_10_nodes_15_edges_none_random,MPC,0.008848428726196289,5,0.0,0.3333,0.0,1.0,0.3333,0.5,10.0,23.0,21,2778
dag_10_nodes_15_edges_none_random,MPC,0.028165340423583984,11,0.5455,0.3333,0.2,0.4545,0.3333,0.3846,11.0,48.0,22,2804
dag_10_nodes_15_edges_none_random,MPC,0.025946378707885742,0,0.0,0.0,0.0,,0.0,,15.0,34.0,23,2145
dag_10_nodes_15_edges_none_random,MPC,0.04926419258117676,2,0.0,0.1333,0.0,1.0,0.1333,0.2353,13.0,27.0,24,150
dag_10_nodes_15_edges_none_random,MPC,0.05677056312561035,13,0.3077,0.6,0.1333,0.6923,0.6,0.6429,6.0,35.0,25,8823
dag_10_nodes_15_edges_none_random,MPC,0.017694950103759766,8,0.25,0.4,0.0667,0.75,0.4,0.5217,9.0,25.0,26,4669
