dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_10_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.15740132331848145,0,0.0,0.0,0.0,,0.0,,17.0,40.0,0,7816
dag_10_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.28060340881347656,0,0.0,0.0,0.0,,0.0,,17.0,40.0,1,3578
dag_10_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.21958327293395996,0,0.0,0.0,0.0,,0.0,,17.0,40.0,2,2656
dag_10_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.27913737297058105,0,0.0,0.0,0.0,,0.0,,17.0,40.0,3,2688
dag_10_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.19999432563781738,0,0.0,0.0,0.0,,0.0,,17.0,40.0,4,2494
dag_10_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.17226290702819824,0,0.0,0.0,0.0,,0.0,,17.0,40.0,5,183
dag_10_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.21991753578186035,0,0.0,0.0,0.0,,0.0,,17.0,40.0,6,7977
dag_10_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.1835620403289795,0,0.0,0.0,0.0,,0.0,,17.0,40.0,7,3199
dag_10_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.11720561981201172,0,0.0,0.0,0.0,,0.0,,17.0,40.0,8,316
dag_10_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.20582103729248047,0,0.0,0.0,0.0,,0.0,,17.0,40.0,9,8266
dag_10_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.1104269027709961,0,0.0,0.0,0.0,,0.0,,17.0,40.0,10,1532
dag_10_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.18765878677368164,0,0.0,0.0,0.0,,0.0,,17.0,40.0,11,1009
dag_10_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.2782931327819824,0,0.0,0.0,0.0,,0.0,,17.0,40.0,12,2250
dag_10_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.5534465312957764,0,0.0,0.0,0.0,,0.0,,17.0,40.0,13,4447
dag_10_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.19867682456970215,0,0.0,0.0,0.0,,0.0,,17.0,40.0,14,2415
dag_10_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.6324222087860107,0,0.0,0.0,0.0,,0.0,,17.0,40.0,15,3595
dag_10_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.19876861572265625,0,0.0,0.0,0.0,,0.0,,17.0,40.0,16,4187
dag_10_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.22844839096069336,0,0.0,0.0,0.0,,0.0,,17.0,40.0,17,4135
dag_10_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.48206377029418945,0,0.0,0.0,0.0,,0.0,,17.0,40.0,18,5174
dag_10_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.10124897956848145,1,1.0,0.0,0.0357,0.0,0.0,,17.0,42.0,19,5303
dag_10_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.24191975593566895,0,0.0,0.0,0.0,,0.0,,17.0,40.0,20,3942
dag_10_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.4160599708557129,0,0.0,0.0,0.0,,0.0,,17.0,40.0,21,2778
dag_10_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.06465935707092285,0,0.0,0.0,0.0,,0.0,,17.0,40.0,22,2804
dag_10_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.19843363761901855,0,0.0,0.0,0.0,,0.0,,17.0,40.0,23,2145
dag_10_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.24402213096618652,0,0.0,0.0,0.0,,0.0,,17.0,40.0,24,150
dag_10_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.30868077278137207,0,0.0,0.0,0.0,,0.0,,17.0,40.0,25,8823
dag_10_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.32098889350891113,0,0.0,0.0,0.0,,0.0,,17.0,40.0,26,4669
dag_10_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.3139791488647461,0,0.0,0.0,0.0,,0.0,,17.0,40.0,27,6131
dag_10_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.15176820755004883,0,0.0,0.0,0.0,,0.0,,17.0,40.0,28,2617
dag_10_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.17635703086853027,0,0.0,0.0,0.0,,0.0,,17.0,40.0,29,7166
dag_10_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.12062382698059082,0,0.0,0.0,0.0,,0.0,,17.0,40.0,30,1428
dag_10_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.18746542930603027,0,0.0,0.0,0.0,,0.0,,17.0,40.0,31,8328
dag_10_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.2187671661376953,0,0.0,0.0,0.0,,0.0,,17.0,40.0,32,8289
