dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_15_nodes_15_edges_degrees_ER,MPC,0.031743764877319336,0,0.0,0.0,0.0,,0.0,,15.0,43.0,0,7816
dag_15_nodes_15_edges_degrees_ER,MPC,0.022139310836791992,2,0.0,0.1333,0.0,1.0,0.1333,0.2353,13.0,36.0,1,3578
dag_15_nodes_15_edges_degrees_ER,MPC,0.013319015502929688,0,0.0,0.0,0.0,,0.0,,15.0,43.0,2,2656
dag_15_nodes_15_edges_degrees_ER,MPC,0.02185225486755371,2,0.5,0.0667,0.0132,0.5,0.0667,0.1176,14.0,43.0,3,2688
dag_15_nodes_15_edges_degrees_ER,MPC,0.021010398864746094,4,0.25,0.2,0.0132,0.75,0.2,0.3158,12.0,43.0,4,2494
dag_15_nodes_15_edges_degrees_ER,MPC,0.02152228355407715,0,0.0,0.0,0.0,,0.0,,15.0,43.0,5,183
dag_15_nodes_15_edges_degrees_ER,MPC,0.02524709701538086,6,0.3333,0.2667,0.0263,0.6667,0.2667,0.381,12.0,31.0,6,7977
dag_15_nodes_15_edges_degrees_ER,MPC,0.029610872268676758,0,0.0,0.0,0.0,,0.0,,15.0,43.0,7,3199
dag_15_nodes_15_edges_degrees_ER,MPC,0.02060675621032715,0,0.0,0.0,0.0,,0.0,,15.0,43.0,8,316
dag_15_nodes_15_edges_degrees_ER,MPC,0.030219078063964844,0,0.0,0.0,0.0,,0.0,,15.0,43.0,9,8266
dag_15_nodes_15_edges_degrees_ER,MPC,0.016132831573486328,0,0.0,0.0,0.0,,0.0,,15.0,43.0,10,1532
dag_15_nodes_15_edges_degrees_ER,MPC,0.015834331512451172,0,0.0,0.0,0.0,,0.0,,15.0,43.0,11,1009
dag_15_nodes_15_edges_degrees_ER,MPC,0.03280472755432129,6,0.8333,0.0667,0.0658,0.1667,0.0667,0.0952,15.0,45.0,12,2250
dag_15_nodes_15_edges_degrees_ER,MPC,0.014921188354492188,0,0.0,0.0,0.0,,0.0,,15.0,43.0,13,4447
dag_15_nodes_15_edges_degrees_ER,MPC,0.015062093734741211,0,0.0,0.0,0.0,,0.0,,15.0,43.0,14,2415
dag_15_nodes_15_edges_degrees_ER,MPC,0.017327070236206055,0,0.0,0.0,0.0,,0.0,,15.0,43.0,15,3595
dag_15_nodes_15_edges_degrees_ER,MPC,0.018094539642333984,0,0.0,0.0,0.0,,0.0,,15.0,43.0,16,4187
dag_15_nodes_15_edges_degrees_ER,MPC,0.015576362609863281,2,0.0,0.1333,0.0,1.0,0.1333,0.2353,13.0,36.0,17,4135
dag_15_nodes_15_edges_degrees_ER,MPC,0.016458749771118164,0,0.0,0.0,0.0,,0.0,,15.0,43.0,18,5174
dag_15_nodes_15_edges_degrees_ER,MPC,0.02214503288269043,4,0.5,0.1333,0.0263,0.5,0.1333,0.2105,13.0,42.0,19,5303
dag_15_nodes_15_edges_degrees_ER,MPC,0.02117753028869629,4,0.0,0.2667,0.0,1.0,0.2667,0.4211,11.0,33.0,20,3942
dag_15_nodes_15_edges_degrees_ER,MPC,0.02033710479736328,0,0.0,0.0,0.0,,0.0,,15.0,43.0,21,2778
dag_15_nodes_15_edges_degrees_ER,MPC,0.021412372589111328,0,0.0,0.0,0.0,,0.0,,15.0,43.0,22,2804
dag_15_nodes_15_edges_degrees_ER,MPC,0.02574324607849121,0,0.0,0.0,0.0,,0.0,,15.0,43.0,23,2145
dag_15_nodes_15_edges_degrees_ER,MPC,0.012585878372192383,2,0.0,0.1333,0.0,1.0,0.1333,0.2353,13.0,36.0,24,150
dag_15_nodes_15_edges_degrees_ER,MPC,0.015425682067871094,5,0.6,0.1333,0.0395,0.4,0.1333,0.2,13.0,52.0,25,8823
dag_15_nodes_15_edges_degrees_ER,MPC,0.016231060028076172,0,0.0,0.0,0.0,,0.0,,15.0,43.0,26,4669
dag_15_nodes_15_edges_degrees_ER,MPC,0.014067888259887695,0,0.0,0.0,0.0,,0.0,,15.0,43.0,27,6131
dag_15_nodes_15_edges_degrees_ER,MPC,0.013129234313964844,2,0.0,0.1333,0.0,1.0,0.1333,0.2353,13.0,36.0,28,2617
dag_15_nodes_15_edges_degrees_ER,MPC,0.014467477798461914,2,0.0,0.1333,0.0,1.0,0.1333,0.2353,13.0,36.0,29,7166
dag_15_nodes_15_edges_degrees_ER,MPC,0.012279033660888672,0,0.0,0.0,0.0,,0.0,,15.0,43.0,30,1428
dag_15_nodes_15_edges_degrees_ER,MPC,0.024103641510009766,4,1.0,0.0,0.0526,0.0,0.0,,16.0,50.0,31,8328
dag_15_nodes_15_edges_degrees_ER,MPC,0.015419483184814453,0,0.0,0.0,0.0,,0.0,,15.0,43.0,32,8289
dag_15_nodes_15_edges_degrees_ER,MPC,0.016952991485595703,0,0.0,0.0,0.0,,0.0,,15.0,43.0,33,5978
dag_15_nodes_15_edges_degrees_ER,MPC,0.014562129974365234,0,0.0,0.0,0.0,,0.0,,15.0,43.0,34,5511
dag_15_nodes_15_edges_degrees_ER,MPC,0.03941226005554199,12,0.5,0.4,0.0789,0.5,0.4,0.4444,11.0,40.0,35,5864
dag_15_nodes_15_edges_degrees_ER,MPC,0.02309250831604004,0,0.0,0.0,0.0,,0.0,,15.0,43.0,36,606
dag_15_nodes_15_edges_degrees_ER,MPC,0.025158166885375977,10,0.7,0.2,0.0921,0.3,0.2,0.24,15.0,55.0,37,1933
dag_15_nodes_15_edges_degrees_ER,MPC,0.019844532012939453,0,0.0,0.0,0.0,,0.0,,15.0,43.0,38,6071
dag_15_nodes_15_edges_degrees_ER,MPC,0.01936054229736328,0,0.0,0.0,0.0,,0.0,,15.0,43.0,39,5504
dag_15_nodes_15_edges_degrees_ER,MPC,0.01452326774597168,2,0.0,0.1333,0.0,1.0,0.1333,0.2353,13.0,36.0,40,5163
dag_15_nodes_15_edges_degrees_ER,MPC,0.02265453338623047,0,0.0,0.0,0.0,,0.0,,15.0,43.0,41,2406
dag_15_nodes_15_edges_degrees_ER,MPC,0.015089273452758789,0,0.0,0.0,0.0,,0.0,,15.0,43.0,42,304
