dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_15_nodes_15_edges_none_random,NOTEARS-MLP,0.1835346221923828,0,0.0,0.0,0.0,,0.0,,15.0,60.0,0,7816
dag_15_nodes_15_edges_none_random,NOTEARS-MLP,0.220841646194458,0,0.0,0.0,0.0,,0.0,,15.0,60.0,1,3578
dag_15_nodes_15_edges_none_random,NOTEARS-MLP,0.60164475440979,0,0.0,0.0,0.0,,0.0,,15.0,60.0,2,2656
dag_15_nodes_15_edges_none_random,NOTEARS-MLP,0.4546678066253662,0,0.0,0.0,0.0,,0.0,,15.0,60.0,3,2688
dag_15_nodes_15_edges_none_random,NOTEARS-MLP,0.24427103996276855,0,0.0,0.0,0.0,,0.0,,15.0,60.0,4,2494
dag_15_nodes_15_edges_none_random,NOTEARS-MLP,0.43343400955200195,0,0.0,0.0,0.0,,0.0,,15.0,60.0,5,183
dag_15_nodes_15_edges_none_random,NOTEARS-MLP,0.25585103034973145,0,0.0,0.0,0.0,,0.0,,15.0,60.0,6,7977
dag_15_nodes_15_edges_none_random,NOTEARS-MLP,0.3635742664337158,0,0.0,0.0,0.0,,0.0,,15.0,60.0,7,3199
dag_15_nodes_15_edges_none_random,NOTEARS-MLP,0.24166655540466309,0,0.0,0.0,0.0,,0.0,,15.0,60.0,8,316
dag_15_nodes_15_edges_none_random,NOTEARS-MLP,0.4239826202392578,0,0.0,0.0,0.0,,0.0,,15.0,60.0,9,8266
dag_15_nodes_15_edges_none_random,NOTEARS-MLP,0.4905552864074707,0,0.0,0.0,0.0,,0.0,,15.0,60.0,10,1532
dag_15_nodes_15_edges_none_random,NOTEARS-MLP,0.28649187088012695,0,0.0,0.0,0.0,,0.0,,15.0,60.0,11,1009
dag_15_nodes_15_edges_none_random,NOTEARS-MLP,0.45369935035705566,0,0.0,0.0,0.0,,0.0,,15.0,60.0,12,2250
dag_15_nodes_15_edges_none_random,NOTEARS-MLP,0.45400404930114746,0,0.0,0.0,0.0,,0.0,,15.0,60.0,13,4447
dag_15_nodes_15_edges_none_random,NOTEARS-MLP,0.7387211322784424,0,0.0,0.0,0.0,,0.0,,15.0,60.0,14,2415
dag_15_nodes_15_edges_none_random,NOTEARS-MLP,0.10637593269348145,0,0.0,0.0,0.0,,0.0,,15.0,60.0,15,3595
dag_15_nodes_15_edges_none_random,NOTEARS-MLP,0.6863207817077637,1,1.0,0.0,0.0111,0.0,0.0,,15.0,63.0,16,4187
dag_15_nodes_15_edges_none_random,NOTEARS-MLP,0.2574582099914551,0,0.0,0.0,0.0,,0.0,,15.0,60.0,17,4135
dag_15_nodes_15_edges_none_random,NOTEARS-MLP,0.26877832412719727,0,0.0,0.0,0.0,,0.0,,15.0,60.0,18,5174
dag_15_nodes_15_edges_none_random,NOTEARS-MLP,0.16018462181091309,0,0.0,0.0,0.0,,0.0,,15.0,60.0,19,5303
dag_15_nodes_15_edges_none_random,NOTEARS-MLP,0.4076569080352783,0,0.0,0.0,0.0,,0.0,,15.0,60.0,20,3942
dag_15_nodes_15_edges_none_random,NOTEARS-MLP,0.43055176734924316,1,0.0,0.0667,0.0,1.0,0.0667,0.125,14.0,53.0,21,2778
dag_15_nodes_15_edges_none_random,NOTEARS-MLP,0.5591621398925781,0,0.0,0.0,0.0,,0.0,,15.0,60.0,22,2804
dag_15_nodes_15_edges_none_random,NOTEARS-MLP,0.5845363140106201,0,0.0,0.0,0.0,,0.0,,15.0,60.0,23,2145
dag_15_nodes_15_edges_none_random,NOTEARS-MLP,0.22475218772888184,0,0.0,0.0,0.0,,0.0,,15.0,60.0,24,150
dag_15_nodes_15_edges_none_random,NOTEARS-MLP,0.6823503971099854,0,0.0,0.0,0.0,,0.0,,15.0,60.0,25,8823
dag_15_nodes_15_edges_none_random,NOTEARS-MLP,0.1265580654144287,3,1.0,0.0,0.0333,0.0,0.0,,17.0,62.0,26,4669
