dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_15_nodes_15_edges_semantics_ER,MPC,0.024005413055419922,11,0.1818,0.6,0.0222,0.4545,0.3333,0.3846,15.0,16.0,73.0,0,7816
dag_15_nodes_15_edges_semantics_ER,MPC,0.018097877502441406,10,0.0,0.6667,0.0,0.5,0.3333,0.4,12.0,39.0,67.0,1,3578
dag_15_nodes_15_edges_semantics_ER,MPC,0.023367643356323242,12,0.0,0.8,0.0,0.6667,0.5333,0.5926,11.0,4.0,78.0,2,2656
dag_15_nodes_15_edges_semantics_ER,MPC,0.017143726348876953,10,0.1,0.6,0.0111,0.7,0.4667,0.56,14.0,13.0,67.0,3,2688
dag_15_nodes_15_edges_semantics_ER,MPC,0.01694488525390625,11,0.0,0.7333,0.0,0.6364,0.4667,0.5385,11.0,44.0,72.0,4,2494
dag_15_nodes_15_edges_semantics_ER,MPC,0.011062145233154297,4,0.0,0.2667,0.0,0.75,0.2,0.3158,13.0,24.0,43.0,5,183
dag_15_nodes_15_edges_semantics_ER,MPC,0.02066516876220703,9,0.1111,0.5333,0.0111,0.7778,0.4667,0.5833,12.0,23.0,52.0,6,7977
dag_15_nodes_15_edges_semantics_ER,MPC,0.02126002311706543,8,0.125,0.4667,0.0111,0.5,0.2667,0.3478,13.0,19.0,56.0,7,3199
dag_15_nodes_15_edges_semantics_ER,MPC,0.018229961395263672,11,0.0,0.7333,0.0,0.6364,0.4667,0.5385,11.0,29.0,56.0,8,316
dag_15_nodes_15_edges_semantics_ER,MPC,0.01861715316772461,9,0.0,0.6,0.0,0.5556,0.3333,0.4167,12.0,24.0,57.0,9,8266
dag_15_nodes_15_edges_semantics_ER,MPC,0.018679380416870117,11,0.0909,0.6667,0.0111,0.5455,0.4,0.4615,12.0,28.0,53.0,10,1532
dag_15_nodes_15_edges_semantics_ER,MPC,0.026221752166748047,13,0.1538,0.7333,0.0222,0.4615,0.4,0.4286,13.0,11.0,80.0,11,1009
dag_15_nodes_15_edges_semantics_ER,MPC,0.01535344123840332,9,0.1111,0.5333,0.0111,0.6667,0.4,0.5,13.0,33.0,65.0,12,2250
dag_15_nodes_15_edges_semantics_ER,MPC,0.015212297439575195,10,0.0,0.6667,0.0,0.6,0.4,0.48,11.0,22.0,57.0,13,4447
dag_15_nodes_15_edges_semantics_ER,MPC,0.022058963775634766,11,0.0909,0.6667,0.0111,0.5455,0.4,0.4615,12.0,10.0,67.0,14,2415
dag_15_nodes_15_edges_semantics_ER,MPC,0.020184755325317383,9,0.0,0.6,0.0,0.6667,0.4,0.5,12.0,27.0,62.0,15,3595
dag_15_nodes_15_edges_semantics_ER,MPC,0.027638912200927734,14,0.0714,0.8667,0.0111,0.5,0.4667,0.4828,12.0,6.0,90.0,16,4187
dag_15_nodes_15_edges_semantics_ER,MPC,0.016310930252075195,11,0.0909,0.6667,0.0111,0.4545,0.3333,0.3846,12.0,10.0,71.0,17,4135
dag_15_nodes_15_edges_semantics_ER,MPC,0.014307022094726562,9,0.0,0.6,0.0,0.7778,0.4667,0.5833,12.0,35.0,60.0,18,5174
