dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_15_nodes_15_edges_semantics_ER,MPC,0.024005413055419922,2,0.0,0.1333,0.0,1.0,0.1333,0.2353,13.0,31.0,0,7816
dag_15_nodes_15_edges_semantics_ER,MPC,0.018097877502441406,0,0.0,0.0,0.0,,0.0,,15.0,35.0,1,3578
dag_15_nodes_15_edges_semantics_ER,MPC,0.023367643356323242,0,0.0,0.0,0.0,,0.0,,15.0,35.0,2,2656
dag_15_nodes_15_edges_semantics_ER,MPC,0.017143726348876953,6,0.3333,0.2667,0.0222,0.6667,0.2667,0.381,11.0,34.0,3,2688
dag_15_nodes_15_edges_semantics_ER,MPC,0.01694488525390625,0,0.0,0.0,0.0,,0.0,,15.0,35.0,4,2494
dag_15_nodes_15_edges_semantics_ER,MPC,0.011062145233154297,0,0.0,0.0,0.0,,0.0,,15.0,35.0,5,183
dag_15_nodes_15_edges_semantics_ER,MPC,0.02066516876220703,0,0.0,0.0,0.0,,0.0,,15.0,35.0,6,7977
dag_15_nodes_15_edges_semantics_ER,MPC,0.02126002311706543,0,0.0,0.0,0.0,,0.0,,15.0,35.0,7,3199
dag_15_nodes_15_edges_semantics_ER,MPC,0.018229961395263672,5,0.2,0.2667,0.0111,0.8,0.2667,0.4,11.0,28.0,8,316
dag_15_nodes_15_edges_semantics_ER,MPC,0.01861715316772461,0,0.0,0.0,0.0,,0.0,,15.0,35.0,9,8266
dag_15_nodes_15_edges_semantics_ER,MPC,0.018679380416870117,0,0.0,0.0,0.0,,0.0,,15.0,35.0,10,1532
dag_15_nodes_15_edges_semantics_ER,MPC,0.026221752166748047,9,0.5556,0.2667,0.0556,0.4444,0.2667,0.3333,12.0,46.0,11,1009
dag_15_nodes_15_edges_semantics_ER,MPC,0.01535344123840332,0,0.0,0.0,0.0,,0.0,,15.0,35.0,12,2250
dag_15_nodes_15_edges_semantics_ER,MPC,0.015212297439575195,0,0.0,0.0,0.0,,0.0,,15.0,35.0,13,4447
dag_15_nodes_15_edges_semantics_ER,MPC,0.022058963775634766,9,0.3333,0.4,0.0333,0.6667,0.4,0.5,9.0,31.0,14,2415
dag_15_nodes_15_edges_semantics_ER,MPC,0.020184755325317383,0,0.0,0.0,0.0,,0.0,,15.0,35.0,15,3595
dag_15_nodes_15_edges_semantics_ER,MPC,0.027638912200927734,0,0.0,0.0,0.0,,0.0,,15.0,35.0,16,4187
dag_15_nodes_15_edges_semantics_ER,MPC,0.016310930252075195,0,0.0,0.0,0.0,,0.0,,15.0,35.0,17,4135
dag_15_nodes_15_edges_semantics_ER,MPC,0.014307022094726562,0,0.0,0.0,0.0,,0.0,,15.0,35.0,18,5174
