dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_15_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.21404504776000977,0,0.0,0.0,0.0,,0.0,,14.0,32.0,32.0,0,7816
dag_15_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.502647876739502,0,0.0,0.0,0.0,,0.0,,14.0,32.0,32.0,1,3578
dag_15_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.48854589462280273,0,0.0,0.0,0.0,,0.0,,14.0,32.0,32.0,2,2656
dag_15_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.32558751106262207,0,0.0,0.0,0.0,,0.0,,14.0,32.0,32.0,3,2688
dag_15_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.5365793704986572,0,0.0,0.0,0.0,,0.0,,14.0,32.0,32.0,4,2494
dag_15_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.3839437961578369,0,0.0,0.0,0.0,,0.0,,14.0,32.0,32.0,5,183
dag_15_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.28851890563964844,0,0.0,0.0,0.0,,0.0,,14.0,32.0,32.0,6,7977
dag_15_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.3154177665710449,0,0.0,0.0,0.0,,0.0,,14.0,32.0,32.0,7,3199
dag_15_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.5734302997589111,0,0.0,0.0,0.0,,0.0,,14.0,32.0,32.0,8,316
dag_15_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.8697021007537842,0,0.0,0.0,0.0,,0.0,,14.0,32.0,32.0,9,8266
dag_15_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.3868997097015381,0,0.0,0.0,0.0,,0.0,,14.0,32.0,32.0,10,1532
dag_15_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.793968677520752,1,0.0,0.0714,0.0,1.0,0.0714,0.1333,13.0,27.0,34.0,11,1009
dag_15_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.3429536819458008,0,0.0,0.0,0.0,,0.0,,14.0,32.0,32.0,12,2250
dag_15_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.4110386371612549,0,0.0,0.0,0.0,,0.0,,14.0,32.0,32.0,13,4447
dag_15_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.5085227489471436,0,0.0,0.0,0.0,,0.0,,14.0,32.0,32.0,14,2415
dag_15_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.37795114517211914,0,0.0,0.0,0.0,,0.0,,14.0,32.0,32.0,15,3595
dag_15_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.24818801879882812,0,0.0,0.0,0.0,,0.0,,14.0,32.0,32.0,16,4187
dag_15_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.20439457893371582,0,0.0,0.0,0.0,,0.0,,14.0,32.0,32.0,17,4135
dag_15_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.8072185516357422,0,0.0,0.0,0.0,,0.0,,14.0,32.0,32.0,18,5174
dag_15_nodes_15_edges_semantics_SF,NOTEARS-MLP,0.253368616104126,0,0.0,0.0,0.0,,0.0,,14.0,32.0,32.0,19,5303
