dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_15_nodes_15_edges_semantics_random,NOTEARS-MLP,0.3770742416381836,0,0.0,0.0,0.0,,0.0,,15.0,69.0,0,7816
dag_15_nodes_15_edges_semantics_random,NOTEARS-MLP,0.48235630989074707,0,0.0,0.0,0.0,,0.0,,15.0,69.0,1,3578
dag_15_nodes_15_edges_semantics_random,NOTEARS-MLP,0.4477372169494629,0,0.0,0.0,0.0,,0.0,,15.0,69.0,2,2656
dag_15_nodes_15_edges_semantics_random,NOTEARS-MLP,0.5227518081665039,0,0.0,0.0,0.0,,0.0,,15.0,69.0,3,2688
dag_15_nodes_15_edges_semantics_random,NOTEARS-MLP,0.43176889419555664,0,0.0,0.0,0.0,,0.0,,15.0,69.0,4,2494
dag_15_nodes_15_edges_semantics_random,NOTEARS-MLP,0.56744384765625,0,0.0,0.0,0.0,,0.0,,15.0,69.0,5,183
dag_15_nodes_15_edges_semantics_random,NOTEARS-MLP,0.33054494857788086,0,0.0,0.0,0.0,,0.0,,15.0,69.0,6,7977
dag_15_nodes_15_edges_semantics_random,NOTEARS-MLP,0.14145326614379883,0,0.0,0.0,0.0,,0.0,,15.0,69.0,7,3199
dag_15_nodes_15_edges_semantics_random,NOTEARS-MLP,0.43015170097351074,0,0.0,0.0,0.0,,0.0,,15.0,69.0,8,316
dag_15_nodes_15_edges_semantics_random,NOTEARS-MLP,0.8464272022247314,1,1.0,0.0,0.0111,0.0,0.0,,15.0,73.0,9,8266
dag_15_nodes_15_edges_semantics_random,NOTEARS-MLP,0.6017534732818604,0,0.0,0.0,0.0,,0.0,,15.0,69.0,10,1532
dag_15_nodes_15_edges_semantics_random,NOTEARS-MLP,0.3768880367279053,0,0.0,0.0,0.0,,0.0,,15.0,69.0,11,1009
dag_15_nodes_15_edges_semantics_random,NOTEARS-MLP,0.25556445121765137,0,0.0,0.0,0.0,,0.0,,15.0,69.0,12,2250
dag_15_nodes_15_edges_semantics_random,NOTEARS-MLP,0.3120298385620117,0,0.0,0.0,0.0,,0.0,,15.0,69.0,13,4447
dag_15_nodes_15_edges_semantics_random,NOTEARS-MLP,0.48539113998413086,0,0.0,0.0,0.0,,0.0,,15.0,69.0,14,2415
dag_15_nodes_15_edges_semantics_random,NOTEARS-MLP,0.4501688480377197,0,0.0,0.0,0.0,,0.0,,15.0,69.0,15,3595
dag_15_nodes_15_edges_semantics_random,NOTEARS-MLP,0.5711607933044434,0,0.0,0.0,0.0,,0.0,,15.0,69.0,16,4187
dag_15_nodes_15_edges_semantics_random,NOTEARS-MLP,0.3918466567993164,0,0.0,0.0,0.0,,0.0,,15.0,69.0,17,4135
