dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_15_nodes_22_edges_degrees_ER,NOTEARS-MLP,0.3435993194580078,0,0.0,0.0,0.0,,0.0,,22.0,99.0,0,7816
dag_15_nodes_22_edges_degrees_ER,NOTEARS-MLP,0.4942805767059326,0,0.0,0.0,0.0,,0.0,,22.0,99.0,1,3578
dag_15_nodes_22_edges_degrees_ER,NOTEARS-MLP,0.7123847007751465,1,1.0,0.0,0.012,0.0,0.0,,22.0,100.0,2,2656
dag_15_nodes_22_edges_degrees_ER,NOTEARS-MLP,0.3067469596862793,0,0.0,0.0,0.0,,0.0,,22.0,99.0,3,2688
dag_15_nodes_22_edges_degrees_ER,NOTEARS-MLP,0.6367766857147217,0,0.0,0.0,0.0,,0.0,,22.0,99.0,4,2494
dag_15_nodes_22_edges_degrees_ER,NOTEARS-MLP,0.5460131168365479,0,0.0,0.0,0.0,,0.0,,22.0,99.0,5,183
dag_15_nodes_22_edges_degrees_ER,NOTEARS-MLP,0.4791872501373291,0,0.0,0.0,0.0,,0.0,,22.0,99.0,6,7977
dag_15_nodes_22_edges_degrees_ER,NOTEARS-MLP,0.5314834117889404,0,0.0,0.0,0.0,,0.0,,22.0,99.0,7,3199
dag_15_nodes_22_edges_degrees_ER,NOTEARS-MLP,0.6381120681762695,0,0.0,0.0,0.0,,0.0,,22.0,99.0,8,316
dag_15_nodes_22_edges_degrees_ER,NOTEARS-MLP,0.314807653427124,1,1.0,0.0,0.012,0.0,0.0,,22.0,106.0,9,8266
dag_15_nodes_22_edges_degrees_ER,NOTEARS-MLP,0.6110167503356934,0,0.0,0.0,0.0,,0.0,,22.0,99.0,10,1532
dag_15_nodes_22_edges_degrees_ER,NOTEARS-MLP,0.5094947814941406,0,0.0,0.0,0.0,,0.0,,22.0,99.0,11,1009
dag_15_nodes_22_edges_degrees_ER,NOTEARS-MLP,0.21017789840698242,0,0.0,0.0,0.0,,0.0,,22.0,99.0,12,2250
dag_15_nodes_22_edges_degrees_ER,NOTEARS-MLP,0.5089492797851562,0,0.0,0.0,0.0,,0.0,,22.0,99.0,13,4447
dag_15_nodes_22_edges_degrees_ER,NOTEARS-MLP,0.4388597011566162,0,0.0,0.0,0.0,,0.0,,22.0,99.0,14,2415
dag_15_nodes_22_edges_degrees_ER,NOTEARS-MLP,0.5209133625030518,0,0.0,0.0,0.0,,0.0,,22.0,99.0,15,3595
dag_15_nodes_22_edges_degrees_ER,NOTEARS-MLP,0.35280704498291016,0,0.0,0.0,0.0,,0.0,,22.0,99.0,16,4187
dag_15_nodes_22_edges_degrees_ER,NOTEARS-MLP,0.5656864643096924,0,0.0,0.0,0.0,,0.0,,22.0,99.0,17,4135
dag_15_nodes_22_edges_degrees_ER,NOTEARS-MLP,0.6110119819641113,0,0.0,0.0,0.0,,0.0,,22.0,99.0,18,5174
