dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_15_nodes_22_edges_degrees_SF,FGS,0.09850835800170898,10,0.9,0.0714,0.0989,0.0,0.0,,23.0,27.0,42.0,0,7816
dag_15_nodes_22_edges_degrees_SF,FGS,0.09351921081542969,10,0.9,0.0714,0.0989,0.0,0.0,,22.0,42.0,53.0,1,3578
dag_15_nodes_22_edges_degrees_SF,FGS,0.09032106399536133,10,1.0,0.0,0.1099,0.0,0.0,,23.0,40.0,52.0,2,2656
dag_15_nodes_22_edges_degrees_SF,FGS,0.09247756004333496,9,0.8889,0.0714,0.0879,0.0,0.0,,20.0,48.0,59.0,3,2688
dag_15_nodes_22_edges_degrees_SF,FGS,0.0962364673614502,11,0.9091,0.0714,0.1099,0.0,0.0,,23.0,42.0,53.0,4,2494
dag_15_nodes_22_edges_degrees_SF,FGS,0.09080147743225098,10,0.9,0.0714,0.0989,0.0,0.0,,22.0,43.0,54.0,5,183
dag_15_nodes_22_edges_degrees_SF,FGS,0.12992405891418457,9,0.7778,0.1429,0.0769,0.1111,0.0714,0.087,20.0,26.0,41.0,6,7977
dag_15_nodes_22_edges_degrees_SF,FGS,0.29809021949768066,10,0.8,0.1429,0.0879,0.1,0.0714,0.0833,21.0,26.0,41.0,7,3199
dag_15_nodes_22_edges_degrees_SF,FGS,0.08641314506530762,7,0.8571,0.0714,0.0659,0.0,0.0,,20.0,27.0,53.0,8,316
dag_15_nodes_22_edges_degrees_SF,FGS,0.08847713470458984,8,0.875,0.0714,0.0769,0.0,0.0,,20.0,43.0,54.0,9,8266
dag_15_nodes_22_edges_degrees_SF,FGS,0.13290762901306152,10,0.8,0.1429,0.0879,0.1,0.0714,0.0833,21.0,26.0,41.0,10,1532
dag_15_nodes_22_edges_degrees_SF,FGS,0.09340143203735352,12,0.9167,0.0714,0.1209,0.0,0.0,,24.0,42.0,53.0,11,1009
dag_15_nodes_22_edges_degrees_SF,FGS,0.12516045570373535,7,0.7143,0.1429,0.0549,0.1429,0.0714,0.0952,18.0,26.0,41.0,12,2250
dag_15_nodes_22_edges_degrees_SF,FGS,0.08911776542663574,7,0.8571,0.0714,0.0659,0.0,0.0,,20.0,27.0,53.0,13,4447
dag_15_nodes_22_edges_degrees_SF,FGS,0.10044646263122559,12,0.9167,0.0714,0.1209,0.0,0.0,,24.0,41.0,53.0,14,2415
dag_15_nodes_22_edges_degrees_SF,FGS,0.09350061416625977,10,0.8,0.1429,0.0879,0.1,0.0714,0.0833,21.0,26.0,41.0,15,3595
dag_15_nodes_22_edges_degrees_SF,FGS,0.10312199592590332,12,0.9167,0.0714,0.1209,0.0,0.0,,24.0,42.0,53.0,16,4187
dag_15_nodes_22_edges_degrees_SF,FGS,0.09135842323303223,9,1.0,0.0,0.0989,0.0,0.0,,22.0,40.0,51.0,17,4135
