dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.49244236946105957,0,0.0,0.0,0.0,,0.0,,22.0,109.0,0,7816
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.5244743824005127,0,0.0,0.0,0.0,,0.0,,22.0,109.0,1,3578
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.4025306701660156,1,0.0,0.0455,0.0,1.0,0.0455,0.087,21.0,102.0,2,2656
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.32274913787841797,0,0.0,0.0,0.0,,0.0,,22.0,109.0,3,2688
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.27193784713745117,0,0.0,0.0,0.0,,0.0,,22.0,109.0,4,2494
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.4536917209625244,0,0.0,0.0,0.0,,0.0,,22.0,109.0,5,183
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.37892889976501465,0,0.0,0.0,0.0,,0.0,,22.0,109.0,6,7977
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.49795031547546387,0,0.0,0.0,0.0,,0.0,,22.0,109.0,7,3199
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.3045623302459717,0,0.0,0.0,0.0,,0.0,,22.0,109.0,8,316
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.4402890205383301,0,0.0,0.0,0.0,,0.0,,22.0,109.0,9,8266
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.4161252975463867,0,0.0,0.0,0.0,,0.0,,22.0,109.0,10,1532
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.11494851112365723,2,1.0,0.0,0.0241,0.0,0.0,,22.0,124.0,11,1009
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.23946738243103027,0,0.0,0.0,0.0,,0.0,,22.0,109.0,12,2250
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.10004568099975586,0,0.0,0.0,0.0,,0.0,,22.0,109.0,13,4447
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.42429065704345703,0,0.0,0.0,0.0,,0.0,,22.0,109.0,14,2415
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.5440919399261475,0,0.0,0.0,0.0,,0.0,,22.0,109.0,15,3595
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.3554971218109131,0,0.0,0.0,0.0,,0.0,,22.0,109.0,16,4187
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.4121277332305908,0,0.0,0.0,0.0,,0.0,,22.0,109.0,17,4135
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.4015071392059326,0,0.0,0.0,0.0,,0.0,,22.0,109.0,18,5174
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.3134167194366455,0,0.0,0.0,0.0,,0.0,,22.0,109.0,19,5303
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.4263417720794678,0,0.0,0.0,0.0,,0.0,,22.0,109.0,20,3942
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.7479174137115479,0,0.0,0.0,0.0,,0.0,,22.0,109.0,21,2778
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.4786808490753174,0,0.0,0.0,0.0,,0.0,,22.0,109.0,22,2804
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.34381866455078125,0,0.0,0.0,0.0,,0.0,,22.0,109.0,23,2145
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.38497376441955566,0,0.0,0.0,0.0,,0.0,,22.0,109.0,24,150
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.4390139579772949,0,0.0,0.0,0.0,,0.0,,22.0,109.0,25,8823
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.43160581588745117,0,0.0,0.0,0.0,,0.0,,22.0,109.0,26,4669
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.5328536033630371,0,0.0,0.0,0.0,,0.0,,22.0,109.0,27,6131
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.40523219108581543,0,0.0,0.0,0.0,,0.0,,22.0,109.0,28,2617
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.4923405647277832,0,0.0,0.0,0.0,,0.0,,22.0,109.0,29,7166
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.196807861328125,0,0.0,0.0,0.0,,0.0,,22.0,109.0,30,1428
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.302997350692749,0,0.0,0.0,0.0,,0.0,,22.0,109.0,31,8328
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.48160314559936523,0,0.0,0.0,0.0,,0.0,,22.0,109.0,32,8289
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.4070580005645752,0,0.0,0.0,0.0,,0.0,,22.0,109.0,33,5978
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.40261387825012207,0,0.0,0.0,0.0,,0.0,,22.0,109.0,34,5511
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.6814875602722168,0,0.0,0.0,0.0,,0.0,,22.0,109.0,35,5864
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.40748023986816406,0,0.0,0.0,0.0,,0.0,,22.0,109.0,36,606
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.35031652450561523,0,0.0,0.0,0.0,,0.0,,22.0,109.0,37,1933
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.6652204990386963,0,0.0,0.0,0.0,,0.0,,22.0,109.0,38,6071
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.2693314552307129,0,0.0,0.0,0.0,,0.0,,22.0,109.0,39,5504
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.6789977550506592,0,0.0,0.0,0.0,,0.0,,22.0,109.0,40,5163
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.48537135124206543,0,0.0,0.0,0.0,,0.0,,22.0,109.0,41,2406
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.23975920677185059,0,0.0,0.0,0.0,,0.0,,22.0,109.0,42,304
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.529332160949707,0,0.0,0.0,0.0,,0.0,,22.0,109.0,43,3391
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.49895787239074707,0,0.0,0.0,0.0,,0.0,,22.0,109.0,44,359
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.26346826553344727,0,0.0,0.0,0.0,,0.0,,22.0,109.0,45,9096
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.378695011138916,0,0.0,0.0,0.0,,0.0,,22.0,109.0,46,3533
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.7707505226135254,0,0.0,0.0,0.0,,0.0,,22.0,109.0,47,4125
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.4142017364501953,0,0.0,0.0,0.0,,0.0,,22.0,109.0,48,3094
dag_15_nodes_22_edges_degrees_random,NOTEARS-MLP,0.3098263740539551,0,0.0,0.0,0.0,,0.0,,22.0,109.0,49,6398
