dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_15_nodes_22_edges_none_ER,FGS,0.10386538505554199,14,0.9286,0.0455,0.1566,0.0714,0.0455,0.0556,35.0,92.0,96.0,0,7816
dag_15_nodes_22_edges_none_ER,FGS,0.25010132789611816,10,0.9,0.0455,0.1084,0.1,0.0455,0.0625,31.0,77.0,91.0,1,3578
dag_15_nodes_22_edges_none_ER,FGS,0.09275531768798828,9,0.7778,0.0909,0.0843,0.0,0.0,,29.0,81.0,89.0,2,2656
dag_15_nodes_22_edges_none_ER,FGS,0.10296416282653809,16,0.9375,0.0455,0.1807,0.0625,0.0455,0.0526,36.0,80.0,89.0,3,2688
dag_15_nodes_22_edges_none_ER,FGS,0.11590790748596191,12,0.8333,0.0909,0.1205,0.1667,0.0909,0.1176,32.0,69.0,93.0,4,2494
dag_15_nodes_22_edges_none_ER,FGS,0.09748411178588867,12,1.0,0.0,0.1446,0.0,0.0,,32.0,101.0,101.0,5,183
dag_15_nodes_22_edges_none_ER,FGS,0.12680435180664062,10,0.9,0.0455,0.1084,0.1,0.0455,0.0625,30.0,73.0,75.0,6,7977
dag_15_nodes_22_edges_none_ER,FGS,0.09613180160522461,11,0.9091,0.0455,0.1205,0.0909,0.0455,0.0606,32.0,72.0,86.0,7,3199
dag_15_nodes_22_edges_none_ER,FGS,0.09918451309204102,13,0.8462,0.0909,0.1325,0.0769,0.0455,0.0571,31.0,82.0,97.0,8,316
dag_15_nodes_22_edges_none_ER,FGS,0.09749555587768555,13,0.7692,0.1364,0.1205,0.1538,0.0909,0.1143,28.0,64.0,94.0,9,8266
dag_15_nodes_22_edges_none_ER,FGS,0.10943150520324707,10,1.0,0.0,0.1205,0.0,0.0,,32.0,84.0,98.0,10,1532
dag_15_nodes_22_edges_none_ER,FGS,0.09759759902954102,10,0.6,0.1818,0.0723,0.2,0.0909,0.125,25.0,66.0,102.0,11,1009
dag_15_nodes_22_edges_none_ER,FGS,0.09199714660644531,10,0.8,0.0909,0.0964,0.2,0.0909,0.125,30.0,72.0,96.0,12,2250
dag_15_nodes_22_edges_none_ER,FGS,0.09677314758300781,11,1.0,0.0,0.1325,0.0,0.0,,31.0,84.0,102.0,13,4447
dag_15_nodes_22_edges_none_ER,FGS,0.10074520111083984,11,0.9091,0.0455,0.1205,0.0,0.0,,31.0,70.0,81.0,14,2415
dag_15_nodes_22_edges_none_ER,FGS,0.10012459754943848,11,0.7273,0.1364,0.0964,0.1818,0.0909,0.1212,30.0,72.0,98.0,15,3595
dag_15_nodes_22_edges_none_ER,FGS,0.12643647193908691,15,1.0,0.0,0.1807,0.0,0.0,,36.0,80.0,107.0,16,4187
dag_15_nodes_22_edges_none_ER,FGS,0.10265350341796875,12,0.9167,0.0455,0.1325,0.0,0.0,,32.0,88.0,99.0,17,4135
dag_15_nodes_22_edges_none_ER,FGS,0.12050652503967285,10,0.8,0.0909,0.0964,0.1,0.0455,0.0625,29.0,74.0,86.0,18,5174
dag_15_nodes_22_edges_none_ER,FGS,0.09984397888183594,15,0.8,0.1364,0.1446,0.2,0.1364,0.1622,32.0,85.0,97.0,19,5303
dag_15_nodes_22_edges_none_ER,FGS,0.12150907516479492,13,0.8462,0.0909,0.1325,0.1538,0.0909,0.1143,31.0,72.0,97.0,20,3942
dag_15_nodes_22_edges_none_ER,FGS,0.09183788299560547,9,0.8889,0.0455,0.0964,0.1111,0.0455,0.0645,30.0,86.0,94.0,21,2778
dag_15_nodes_22_edges_none_ER,FGS,0.10207128524780273,13,0.8462,0.0909,0.1325,0.1538,0.0909,0.1143,33.0,78.0,81.0,22,2804
dag_15_nodes_22_edges_none_ER,FGS,0.09712982177734375,14,0.9286,0.0455,0.1566,0.0714,0.0455,0.0556,34.0,95.0,117.0,23,2145
dag_15_nodes_22_edges_none_ER,FGS,0.09734296798706055,10,0.9,0.0455,0.1084,0.1,0.0455,0.0625,31.0,84.0,107.0,24,150
dag_15_nodes_22_edges_none_ER,FGS,0.255340576171875,11,0.8182,0.0909,0.1084,0.0,0.0,,30.0,73.0,111.0,25,8823
dag_15_nodes_22_edges_none_ER,FGS,0.11428499221801758,13,1.0,0.0,0.1566,0.0,0.0,,33.0,87.0,89.0,26,4669
dag_15_nodes_22_edges_none_ER,FGS,0.10000133514404297,11,0.9091,0.0455,0.1205,0.0909,0.0455,0.0606,31.0,80.0,94.0,27,6131
dag_15_nodes_22_edges_none_ER,FGS,0.09427618980407715,11,0.8182,0.0909,0.1084,0.1818,0.0909,0.1212,31.0,83.0,107.0,28,2617
dag_15_nodes_22_edges_none_ER,FGS,0.0995943546295166,16,0.9375,0.0455,0.1807,0.0625,0.0455,0.0526,36.0,85.0,87.0,29,7166
dag_15_nodes_22_edges_none_ER,FGS,0.09494805335998535,11,0.8182,0.0909,0.1084,0.1818,0.0909,0.1212,31.0,81.0,96.0,30,1428
dag_15_nodes_22_edges_none_ER,FGS,0.10181188583374023,17,0.8824,0.0909,0.1807,0.0588,0.0455,0.0513,35.0,94.0,109.0,31,8328
dag_15_nodes_22_edges_none_ER,FGS,0.09626412391662598,10,0.8,0.0909,0.0964,0.2,0.0909,0.125,30.0,66.0,80.0,32,8289
dag_15_nodes_22_edges_none_ER,FGS,0.09841442108154297,12,0.8333,0.0909,0.1205,0.1667,0.0909,0.1176,30.0,71.0,97.0,33,5978
dag_15_nodes_22_edges_none_ER,FGS,0.10314059257507324,16,0.875,0.0909,0.1687,0.125,0.0909,0.1053,36.0,77.0,105.0,34,5511
dag_15_nodes_22_edges_none_ER,FGS,0.09505677223205566,11,0.8182,0.0909,0.1084,0.1818,0.0909,0.1212,28.0,74.0,76.0,35,5864
