dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_15_nodes_22_edges_none_random,NOTEARS-MLP,0.4448249340057373,0,0.0,0.0,0.0,,0.0,,22.0,86.0,86.0,0,7816
dag_15_nodes_22_edges_none_random,NOTEARS-MLP,0.3897378444671631,0,0.0,0.0,0.0,,0.0,,22.0,86.0,86.0,1,3578
dag_15_nodes_22_edges_none_random,NOTEARS-MLP,0.5282409191131592,0,0.0,0.0,0.0,,0.0,,22.0,86.0,86.0,2,2656
dag_15_nodes_22_edges_none_random,NOTEARS-MLP,0.476886510848999,0,0.0,0.0,0.0,,0.0,,22.0,86.0,86.0,3,2688
dag_15_nodes_22_edges_none_random,NOTEARS-MLP,0.46167969703674316,0,0.0,0.0,0.0,,0.0,,22.0,86.0,86.0,4,2494
dag_15_nodes_22_edges_none_random,NOTEARS-MLP,0.2655653953552246,0,0.0,0.0,0.0,,0.0,,22.0,86.0,86.0,5,183
dag_15_nodes_22_edges_none_random,NOTEARS-MLP,0.618276834487915,0,0.0,0.0,0.0,,0.0,,22.0,86.0,86.0,6,7977
dag_15_nodes_22_edges_none_random,NOTEARS-MLP,0.4694375991821289,0,0.0,0.0,0.0,,0.0,,22.0,86.0,86.0,7,3199
dag_15_nodes_22_edges_none_random,NOTEARS-MLP,0.3448464870452881,0,0.0,0.0,0.0,,0.0,,22.0,86.0,86.0,8,316
dag_15_nodes_22_edges_none_random,NOTEARS-MLP,0.43793821334838867,0,0.0,0.0,0.0,,0.0,,22.0,86.0,86.0,9,8266
dag_15_nodes_22_edges_none_random,NOTEARS-MLP,0.31684398651123047,0,0.0,0.0,0.0,,0.0,,22.0,86.0,86.0,10,1532
dag_15_nodes_22_edges_none_random,NOTEARS-MLP,0.5844593048095703,0,0.0,0.0,0.0,,0.0,,22.0,86.0,86.0,11,1009
dag_15_nodes_22_edges_none_random,NOTEARS-MLP,0.49094271659851074,0,0.0,0.0,0.0,,0.0,,22.0,86.0,86.0,12,2250
dag_15_nodes_22_edges_none_random,NOTEARS-MLP,0.3173336982727051,0,0.0,0.0,0.0,,0.0,,22.0,86.0,86.0,13,4447
dag_15_nodes_22_edges_none_random,NOTEARS-MLP,0.5725257396697998,0,0.0,0.0,0.0,,0.0,,22.0,86.0,86.0,14,2415
dag_15_nodes_22_edges_none_random,NOTEARS-MLP,0.2940366268157959,0,0.0,0.0,0.0,,0.0,,22.0,86.0,86.0,15,3595
dag_15_nodes_22_edges_none_random,NOTEARS-MLP,0.27486634254455566,0,0.0,0.0,0.0,,0.0,,22.0,86.0,86.0,16,4187
dag_15_nodes_22_edges_none_random,NOTEARS-MLP,0.7506458759307861,0,0.0,0.0,0.0,,0.0,,22.0,86.0,86.0,17,4135
dag_15_nodes_22_edges_none_random,NOTEARS-MLP,0.5104310512542725,0,0.0,0.0,0.0,,0.0,,22.0,86.0,86.0,18,5174
dag_15_nodes_22_edges_none_random,NOTEARS-MLP,0.5578906536102295,0,0.0,0.0,0.0,,0.0,,22.0,86.0,86.0,19,5303
dag_15_nodes_22_edges_none_random,NOTEARS-MLP,0.39477992057800293,0,0.0,0.0,0.0,,0.0,,22.0,86.0,86.0,20,3942
dag_15_nodes_22_edges_none_random,NOTEARS-MLP,0.7068958282470703,0,0.0,0.0,0.0,,0.0,,22.0,86.0,86.0,21,2778
dag_15_nodes_22_edges_none_random,NOTEARS-MLP,0.5520315170288086,0,0.0,0.0,0.0,,0.0,,22.0,86.0,86.0,22,2804
dag_15_nodes_22_edges_none_random,NOTEARS-MLP,0.41127848625183105,0,0.0,0.0,0.0,,0.0,,22.0,86.0,86.0,23,2145
