dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_15_nodes_22_edges_semantics_SF,MPC,0.017561912536621094,9,0.0,0.6429,0.0,0.4444,0.2857,0.3478,10.0,35.0,77.0,0,7816
dag_15_nodes_22_edges_semantics_SF,MPC,0.01913309097290039,11,0.0,0.7857,0.0,0.3636,0.2857,0.32,9.0,7.0,91.0,1,3578
dag_15_nodes_22_edges_semantics_SF,MPC,0.01412820816040039,10,0.0,0.7143,0.0,0.3,0.2143,0.25,9.0,25.0,73.0,2,2656
dag_15_nodes_22_edges_semantics_SF,MPC,0.0344998836517334,13,0.1538,0.7857,0.022,0.3846,0.3571,0.3704,13.0,3.0,105.0,3,2688
dag_15_nodes_22_edges_semantics_SF,MPC,0.013039112091064453,9,0.1111,0.5714,0.011,0.2222,0.1429,0.1739,9.0,19.0,61.0,4,2494
dag_15_nodes_22_edges_semantics_SF,MPC,0.01994609832763672,13,0.0769,0.8571,0.011,0.2308,0.2143,0.2222,9.0,7.0,86.0,5,183
dag_15_nodes_22_edges_semantics_SF,MPC,0.015536308288574219,11,0.2727,0.5714,0.033,0.1818,0.1429,0.16,13.0,19.0,65.0,6,7977
dag_15_nodes_22_edges_semantics_SF,MPC,0.014819860458374023,6,0.0,0.4286,0.0,0.3333,0.1429,0.2,12.0,24.0,58.0,7,3199
dag_15_nodes_22_edges_semantics_SF,MPC,0.0264739990234375,13,0.1538,0.7857,0.022,0.3077,0.2857,0.2963,10.0,9.0,82.0,8,316
dag_15_nodes_22_edges_semantics_SF,MPC,0.01723766326904297,9,0.0,0.6429,0.0,0.4444,0.2857,0.3478,10.0,46.0,83.0,9,8266
dag_15_nodes_22_edges_semantics_SF,MPC,0.018358469009399414,11,0.0,0.7857,0.0,0.2727,0.2143,0.24,9.0,5.0,90.0,10,1532
dag_15_nodes_22_edges_semantics_SF,MPC,0.014379024505615234,8,0.125,0.5,0.011,0.125,0.0714,0.0909,11.0,21.0,59.0,11,1009
dag_15_nodes_22_edges_semantics_SF,MPC,0.03805208206176758,13,0.2308,0.7143,0.033,0.3077,0.2857,0.2963,13.0,8.0,96.0,12,2250
dag_15_nodes_22_edges_semantics_SF,MPC,0.016481399536132812,12,0.0833,0.7857,0.011,0.25,0.2143,0.2308,9.0,46.0,86.0,13,4447
dag_15_nodes_22_edges_semantics_SF,MPC,0.03884577751159668,16,0.1875,0.9286,0.033,0.3125,0.3571,0.3333,12.0,1.0,107.0,14,2415
dag_15_nodes_22_edges_semantics_SF,MPC,0.012129068374633789,8,0.25,0.4286,0.022,0.125,0.0714,0.0909,11.0,21.0,58.0,15,3595
dag_15_nodes_22_edges_semantics_SF,MPC,0.02973771095275879,14,0.1429,0.8571,0.022,0.2857,0.2857,0.2857,10.0,7.0,86.0,16,4187
dag_15_nodes_22_edges_semantics_SF,MPC,0.014812707901000977,8,0.0,0.5714,0.0,0.25,0.1429,0.1818,9.0,23.0,62.0,17,4135
dag_15_nodes_22_edges_semantics_SF,MPC,0.016773223876953125,9,0.1111,0.5714,0.011,0.3333,0.2143,0.2609,11.0,36.0,70.0,18,5174
dag_15_nodes_22_edges_semantics_SF,MPC,0.018718957901000977,8,0.0,0.5714,0.0,0.25,0.1429,0.1818,11.0,32.0,71.0,19,5303
dag_15_nodes_22_edges_semantics_SF,MPC,0.024300336837768555,12,0.1667,0.7143,0.022,0.3333,0.2857,0.3077,12.0,5.0,89.0,20,3942
dag_15_nodes_22_edges_semantics_SF,MPC,0.017220258712768555,12,0.0833,0.7857,0.011,0.3333,0.2857,0.3077,9.0,37.0,82.0,21,2778
dag_15_nodes_22_edges_semantics_SF,MPC,0.01532745361328125,9,0.0,0.6429,0.0,0.3333,0.2143,0.2609,9.0,18.0,66.0,22,2804
dag_15_nodes_22_edges_semantics_SF,MPC,0.028224468231201172,13,0.1538,0.7857,0.022,0.3077,0.2857,0.2963,11.0,8.0,93.0,23,2145
dag_15_nodes_22_edges_semantics_SF,MPC,0.01943063735961914,9,0.2222,0.5,0.022,0.3333,0.2143,0.2609,12.0,23.0,57.0,24,150
dag_15_nodes_22_edges_semantics_SF,MPC,0.030581951141357422,14,0.0714,0.9286,0.011,0.3571,0.3571,0.3571,9.0,1.0,109.0,25,8823
dag_15_nodes_22_edges_semantics_SF,MPC,0.030165910720825195,14,0.1429,0.8571,0.022,0.2857,0.2857,0.2857,11.0,3.0,93.0,26,4669
dag_15_nodes_22_edges_semantics_SF,MPC,0.014645814895629883,9,0.2222,0.5,0.022,0.1111,0.0714,0.087,13.0,31.0,65.0,27,6131
dag_15_nodes_22_edges_semantics_SF,MPC,0.025840282440185547,12,0.0833,0.7857,0.011,0.3333,0.2857,0.3077,12.0,6.0,100.0,28,2617
dag_15_nodes_22_edges_semantics_SF,MPC,0.02451014518737793,13,0.1538,0.7857,0.022,0.2308,0.2143,0.2222,11.0,5.0,94.0,29,7166
dag_15_nodes_22_edges_semantics_SF,MPC,0.02115035057067871,15,0.2667,0.7857,0.044,0.2,0.2143,0.2069,13.0,8.0,83.0,30,1428
dag_15_nodes_22_edges_semantics_SF,MPC,0.021277189254760742,12,0.1667,0.7143,0.022,0.25,0.2143,0.2308,12.0,6.0,87.0,31,8328
dag_15_nodes_22_edges_semantics_SF,MPC,0.027080059051513672,13,0.0,0.9286,0.0,0.3077,0.2857,0.2963,8.0,2.0,96.0,32,8289
dag_15_nodes_22_edges_semantics_SF,MPC,0.019507646560668945,11,0.1818,0.6429,0.022,0.2727,0.2143,0.24,12.0,9.0,87.0,33,5978
dag_15_nodes_22_edges_semantics_SF,MPC,0.014025688171386719,8,0.0,0.5714,0.0,0.375,0.2143,0.2727,10.0,30.0,71.0,34,5511
dag_15_nodes_22_edges_semantics_SF,MPC,0.014477729797363281,8,0.125,0.5,0.011,0.375,0.2143,0.2727,12.0,33.0,75.0,35,5864
dag_15_nodes_22_edges_semantics_SF,MPC,0.027674436569213867,11,0.0,0.7857,0.0,0.4545,0.3571,0.4,10.0,3.0,98.0,36,606
dag_15_nodes_22_edges_semantics_SF,MPC,0.019483566284179688,9,0.1111,0.5714,0.011,0.2222,0.1429,0.1739,11.0,22.0,66.0,37,1933
dag_15_nodes_22_edges_semantics_SF,MPC,0.014979839324951172,11,0.0,0.7857,0.0,0.3636,0.2857,0.32,9.0,41.0,86.0,38,6071
dag_15_nodes_22_edges_semantics_SF,MPC,0.023489713668823242,11,0.0909,0.7143,0.011,0.2727,0.2143,0.24,10.0,38.0,79.0,39,5504
dag_15_nodes_22_edges_semantics_SF,MPC,0.01777362823486328,9,0.1111,0.5714,0.011,0.4444,0.2857,0.3478,11.0,52.0,80.0,40,5163
dag_15_nodes_22_edges_semantics_SF,MPC,0.03161907196044922,10,0.0,0.7143,0.0,0.4,0.2857,0.3333,11.0,5.0,98.0,41,2406
dag_15_nodes_22_edges_semantics_SF,MPC,0.01697397232055664,10,0.1,0.6429,0.011,0.3,0.2143,0.25,11.0,39.0,73.0,42,304
dag_15_nodes_22_edges_semantics_SF,MPC,0.01673269271850586,12,0.0833,0.7857,0.011,0.25,0.2143,0.2308,10.0,8.0,84.0,43,3391
dag_15_nodes_22_edges_semantics_SF,MPC,0.019751787185668945,12,0.0833,0.7857,0.011,0.4167,0.3571,0.3846,10.0,7.0,90.0,44,359
dag_15_nodes_22_edges_semantics_SF,MPC,0.033609867095947266,12,0.25,0.6429,0.033,0.4167,0.3571,0.3846,14.0,6.0,95.0,45,9096
dag_15_nodes_22_edges_semantics_SF,MPC,0.017937183380126953,10,0.1,0.6429,0.011,0.3,0.2143,0.25,12.0,7.0,74.0,46,3533
dag_15_nodes_22_edges_semantics_SF,MPC,0.016869306564331055,10,0.0,0.7143,0.0,0.4,0.2857,0.3333,9.0,6.0,84.0,47,4125
dag_15_nodes_22_edges_semantics_SF,MPC,0.014819622039794922,10,0.1,0.6429,0.011,0.3,0.2143,0.25,10.0,35.0,74.0,48,3094
