dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_15_nodes_22_edges_semantics_SF,MPC,0.017561912536621094,2,0.5,0.0714,0.011,0.5,0.0714,0.125,13.0,33.0,0,7816
dag_15_nodes_22_edges_semantics_SF,MPC,0.01913309097290039,0,0.0,0.0,0.0,,0.0,,14.0,30.0,1,3578
dag_15_nodes_22_edges_semantics_SF,MPC,0.01412820816040039,0,0.0,0.0,0.0,,0.0,,14.0,30.0,2,2656
dag_15_nodes_22_edges_semantics_SF,MPC,0.0344998836517334,4,0.75,0.0714,0.033,0.25,0.0714,0.1111,14.0,35.0,3,2688
dag_15_nodes_22_edges_semantics_SF,MPC,0.013039112091064453,0,0.0,0.0,0.0,,0.0,,14.0,30.0,4,2494
dag_15_nodes_22_edges_semantics_SF,MPC,0.01994609832763672,3,0.0,0.2143,0.0,1.0,0.2143,0.3529,11.0,23.0,5,183
dag_15_nodes_22_edges_semantics_SF,MPC,0.015536308288574219,5,0.4,0.2143,0.022,0.6,0.2143,0.3158,12.0,24.0,6,7977
dag_15_nodes_22_edges_semantics_SF,MPC,0.014819860458374023,0,0.0,0.0,0.0,,0.0,,14.0,30.0,7,3199
dag_15_nodes_22_edges_semantics_SF,MPC,0.0264739990234375,0,0.0,0.0,0.0,,0.0,,14.0,30.0,8,316
dag_15_nodes_22_edges_semantics_SF,MPC,0.01723766326904297,0,0.0,0.0,0.0,,0.0,,14.0,30.0,9,8266
dag_15_nodes_22_edges_semantics_SF,MPC,0.018358469009399414,0,0.0,0.0,0.0,,0.0,,14.0,30.0,10,1532
dag_15_nodes_22_edges_semantics_SF,MPC,0.014379024505615234,0,0.0,0.0,0.0,,0.0,,14.0,30.0,11,1009
dag_15_nodes_22_edges_semantics_SF,MPC,0.03805208206176758,0,0.0,0.0,0.0,,0.0,,14.0,30.0,12,2250
dag_15_nodes_22_edges_semantics_SF,MPC,0.016481399536132812,5,0.4,0.2143,0.022,0.6,0.2143,0.3158,11.0,36.0,13,4447
dag_15_nodes_22_edges_semantics_SF,MPC,0.03884577751159668,0,0.0,0.0,0.0,,0.0,,14.0,30.0,14,2415
dag_15_nodes_22_edges_semantics_SF,MPC,0.012129068374633789,0,0.0,0.0,0.0,,0.0,,14.0,30.0,15,3595
dag_15_nodes_22_edges_semantics_SF,MPC,0.02973771095275879,0,0.0,0.0,0.0,,0.0,,14.0,30.0,16,4187
dag_15_nodes_22_edges_semantics_SF,MPC,0.014812707901000977,2,0.5,0.0714,0.011,0.5,0.0714,0.125,13.0,33.0,17,4135
