dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_5_nodes_5_edges_degrees_SF,MPC,0.0022230148315429688,0,0.0,0.0,0.0,,0.0,,4.0,10.0,0,7816
dag_5_nodes_5_edges_degrees_SF,MPC,0.003367185592651367,0,0.0,0.0,0.0,,0.0,,4.0,10.0,1,3578
dag_5_nodes_5_edges_degrees_SF,MPC,0.0024497509002685547,0,0.0,0.0,0.0,,0.0,,4.0,10.0,2,2656
dag_5_nodes_5_edges_degrees_SF,MPC,0.0034270286560058594,0,0.0,0.0,0.0,,0.0,,4.0,10.0,3,2688
dag_5_nodes_5_edges_degrees_SF,MPC,0.003470897674560547,0,0.0,0.0,0.0,,0.0,,4.0,10.0,4,2494
dag_5_nodes_5_edges_degrees_SF,MPC,0.0021257400512695312,0,0.0,0.0,0.0,,0.0,,4.0,10.0,5,183
dag_5_nodes_5_edges_degrees_SF,MPC,0.0020813941955566406,0,0.0,0.0,0.0,,0.0,,4.0,10.0,6,7977
dag_5_nodes_5_edges_degrees_SF,MPC,0.0020194053649902344,0,0.0,0.0,0.0,,0.0,,4.0,10.0,7,3199
dag_5_nodes_5_edges_degrees_SF,MPC,0.0024557113647460938,0,0.0,0.0,0.0,,0.0,,4.0,10.0,8,316
dag_5_nodes_5_edges_degrees_SF,MPC,0.002361774444580078,0,0.0,0.0,0.0,,0.0,,4.0,10.0,9,8266
dag_5_nodes_5_edges_degrees_SF,MPC,0.004325389862060547,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,8.0,10,1532
dag_5_nodes_5_edges_degrees_SF,MPC,0.0037326812744140625,0,0.0,0.0,0.0,,0.0,,4.0,10.0,11,1009
dag_5_nodes_5_edges_degrees_SF,MPC,0.004704952239990234,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,12,2250
dag_5_nodes_5_edges_degrees_SF,MPC,0.0019142627716064453,0,0.0,0.0,0.0,,0.0,,4.0,10.0,13,4447
