dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_5_nodes_5_edges_degrees_random,MPC,0.002058744430541992,0,0.0,0.0,0.0,,0.0,,5.0,9.0,0,7816
dag_5_nodes_5_edges_degrees_random,MPC,0.0037081241607666016,0,0.0,0.0,0.0,,0.0,,5.0,9.0,1,3578
dag_5_nodes_5_edges_degrees_random,MPC,0.006571769714355469,0,0.0,0.0,0.0,,0.0,,5.0,9.0,2,2656
dag_5_nodes_5_edges_degrees_random,MPC,0.005845308303833008,3,0.3333,0.4,0.2,0.6667,0.4,0.5,3.0,6.0,3,2688
dag_5_nodes_5_edges_degrees_random,MPC,0.0036759376525878906,0,0.0,0.0,0.0,,0.0,,5.0,9.0,4,2494
dag_5_nodes_5_edges_degrees_random,MPC,0.004290580749511719,0,0.0,0.0,0.0,,0.0,,5.0,9.0,5,183
dag_5_nodes_5_edges_degrees_random,MPC,0.0052869319915771484,0,0.0,0.0,0.0,,0.0,,5.0,9.0,6,7977
dag_5_nodes_5_edges_degrees_random,MPC,0.0020422935485839844,0,0.0,0.0,0.0,,0.0,,5.0,9.0,7,3199
dag_5_nodes_5_edges_degrees_random,MPC,0.006773948669433594,4,0.25,0.6,0.2,0.75,0.6,0.6667,2.0,7.0,8,316
dag_5_nodes_5_edges_degrees_random,MPC,0.004523515701293945,0,0.0,0.0,0.0,,0.0,,5.0,9.0,9,8266
dag_5_nodes_5_edges_degrees_random,MPC,0.002058267593383789,0,0.0,0.0,0.0,,0.0,,5.0,9.0,10,1532
dag_5_nodes_5_edges_degrees_random,MPC,0.0036737918853759766,0,0.0,0.0,0.0,,0.0,,5.0,9.0,11,1009
dag_5_nodes_5_edges_degrees_random,MPC,0.0020377635955810547,0,0.0,0.0,0.0,,0.0,,5.0,9.0,12,2250
dag_5_nodes_5_edges_degrees_random,MPC,0.00391697883605957,0,0.0,0.0,0.0,,0.0,,5.0,9.0,13,4447
dag_5_nodes_5_edges_degrees_random,MPC,0.0062007904052734375,2,0.5,0.2,0.2,0.5,0.2,0.2857,4.0,11.0,14,2415
dag_5_nodes_5_edges_degrees_random,MPC,0.0051419734954833984,0,0.0,0.0,0.0,,0.0,,5.0,9.0,15,3595
dag_5_nodes_5_edges_degrees_random,MPC,0.004191875457763672,0,0.0,0.0,0.0,,0.0,,5.0,9.0,16,4187
dag_5_nodes_5_edges_degrees_random,MPC,0.006476163864135742,0,0.0,0.0,0.0,,0.0,,5.0,9.0,17,4135
dag_5_nodes_5_edges_degrees_random,MPC,0.0034055709838867188,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,5.0,18,5174
dag_5_nodes_5_edges_degrees_random,MPC,0.0075490474700927734,2,1.0,0.0,0.4,0.0,0.0,,5.0,13.0,19,5303
dag_5_nodes_5_edges_degrees_random,MPC,0.005073070526123047,0,0.0,0.0,0.0,,0.0,,5.0,9.0,20,3942
dag_5_nodes_5_edges_degrees_random,MPC,0.007426023483276367,4,0.5,0.4,0.4,0.5,0.4,0.4444,4.0,8.0,21,2778
dag_5_nodes_5_edges_degrees_random,MPC,0.007495880126953125,0,0.0,0.0,0.0,,0.0,,5.0,9.0,22,2804
dag_5_nodes_5_edges_degrees_random,MPC,0.002226591110229492,0,0.0,0.0,0.0,,0.0,,5.0,9.0,23,2145
dag_5_nodes_5_edges_degrees_random,MPC,0.004119873046875,0,0.0,0.0,0.0,,0.0,,5.0,9.0,24,150
dag_5_nodes_5_edges_degrees_random,MPC,0.005795478820800781,0,0.0,0.0,0.0,,0.0,,5.0,9.0,25,8823
dag_5_nodes_5_edges_degrees_random,MPC,0.003017425537109375,0,0.0,0.0,0.0,,0.0,,5.0,9.0,26,4669
dag_5_nodes_5_edges_degrees_random,MPC,0.0026929378509521484,0,0.0,0.0,0.0,,0.0,,5.0,9.0,27,6131
dag_5_nodes_5_edges_degrees_random,MPC,0.0042362213134765625,0,0.0,0.0,0.0,,0.0,,5.0,9.0,28,2617
dag_5_nodes_5_edges_degrees_random,MPC,0.009598970413208008,6,0.6667,0.4,0.8,0.3333,0.4,0.3636,5.0,9.0,29,7166
dag_5_nodes_5_edges_degrees_random,MPC,0.002382993698120117,0,0.0,0.0,0.0,,0.0,,5.0,9.0,30,1428
dag_5_nodes_5_edges_degrees_random,MPC,0.0024406909942626953,2,1.0,0.0,0.4,0.0,0.0,,5.0,13.0,31,8328
dag_5_nodes_5_edges_degrees_random,MPC,0.011501550674438477,0,0.0,0.0,0.0,,0.0,,5.0,9.0,32,8289
dag_5_nodes_5_edges_degrees_random,MPC,0.003411531448364258,0,0.0,0.0,0.0,,0.0,,5.0,9.0,33,5978
dag_5_nodes_5_edges_degrees_random,MPC,0.003560781478881836,0,0.0,0.0,0.0,,0.0,,5.0,9.0,34,5511
dag_5_nodes_5_edges_degrees_random,MPC,0.0022885799407958984,0,0.0,0.0,0.0,,0.0,,5.0,9.0,35,5864
dag_5_nodes_5_edges_degrees_random,MPC,0.0045816898345947266,0,0.0,0.0,0.0,,0.0,,5.0,9.0,36,606
dag_5_nodes_5_edges_degrees_random,MPC,0.002370595932006836,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,5.0,37,1933
dag_5_nodes_5_edges_degrees_random,MPC,0.0042192935943603516,0,0.0,0.0,0.0,,0.0,,5.0,9.0,38,6071
dag_5_nodes_5_edges_degrees_random,MPC,0.003473520278930664,0,0.0,0.0,0.0,,0.0,,5.0,9.0,39,5504
dag_5_nodes_5_edges_degrees_random,MPC,0.002009153366088867,0,0.0,0.0,0.0,,0.0,,5.0,9.0,40,5163
dag_5_nodes_5_edges_degrees_random,MPC,0.0024471282958984375,0,0.0,0.0,0.0,,0.0,,5.0,9.0,41,2406
dag_5_nodes_5_edges_degrees_random,MPC,0.0024318695068359375,0,0.0,0.0,0.0,,0.0,,5.0,9.0,42,304
dag_5_nodes_5_edges_degrees_random,MPC,0.0024034976959228516,0,0.0,0.0,0.0,,0.0,,5.0,9.0,43,3391
dag_5_nodes_5_edges_degrees_random,MPC,0.0022857189178466797,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,5.0,44,359
dag_5_nodes_5_edges_degrees_random,MPC,0.0026636123657226562,0,0.0,0.0,0.0,,0.0,,5.0,9.0,45,9096
dag_5_nodes_5_edges_degrees_random,MPC,0.0018372535705566406,0,0.0,0.0,0.0,,0.0,,5.0,9.0,46,3533
dag_5_nodes_5_edges_degrees_random,MPC,0.0047495365142822266,0,0.0,0.0,0.0,,0.0,,5.0,9.0,47,4125
dag_5_nodes_5_edges_degrees_random,MPC,0.002665281295776367,0,0.0,0.0,0.0,,0.0,,5.0,9.0,48,3094
dag_5_nodes_5_edges_degrees_random,MPC,0.002263784408569336,0,0.0,0.0,0.0,,0.0,,5.0,9.0,49,6398
