dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.11880278587341309,0,0.0,0.0,0.0,,0.0,,5.0,11.0,0,7816
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.10236692428588867,0,0.0,0.0,0.0,,0.0,,5.0,11.0,1,3578
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.08359074592590332,0,0.0,0.0,0.0,,0.0,,5.0,11.0,2,2656
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.09836483001708984,0,0.0,0.0,0.0,,0.0,,5.0,11.0,3,2688
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.11207938194274902,0,0.0,0.0,0.0,,0.0,,5.0,11.0,4,2494
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.09607481956481934,0,0.0,0.0,0.0,,0.0,,5.0,11.0,5,183
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.12755370140075684,0,0.0,0.0,0.0,,0.0,,5.0,11.0,6,7977
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.19326043128967285,0,0.0,0.0,0.0,,0.0,,5.0,11.0,7,3199
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.05027127265930176,0,0.0,0.0,0.0,,0.0,,5.0,11.0,8,316
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.09316158294677734,0,0.0,0.0,0.0,,0.0,,5.0,11.0,9,8266
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.10230875015258789,0,0.0,0.0,0.0,,0.0,,5.0,11.0,10,1532
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.11608505249023438,0,0.0,0.0,0.0,,0.0,,5.0,11.0,11,1009
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.13587474822998047,0,0.0,0.0,0.0,,0.0,,5.0,11.0,12,2250
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.10532832145690918,0,0.0,0.0,0.0,,0.0,,5.0,11.0,13,4447
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.06740951538085938,0,0.0,0.0,0.0,,0.0,,5.0,11.0,14,2415
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.10494709014892578,0,0.0,0.0,0.0,,0.0,,5.0,11.0,15,3595
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.06989812850952148,0,0.0,0.0,0.0,,0.0,,5.0,11.0,16,4187
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.11040258407592773,0,0.0,0.0,0.0,,0.0,,5.0,11.0,17,4135
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.1008150577545166,0,0.0,0.0,0.0,,0.0,,5.0,11.0,18,5174
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.2338109016418457,0,0.0,0.0,0.0,,0.0,,5.0,11.0,19,5303
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.08332324028015137,0,0.0,0.0,0.0,,0.0,,5.0,11.0,20,3942
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.09450244903564453,0,0.0,0.0,0.0,,0.0,,5.0,11.0,21,2778
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.06575632095336914,0,0.0,0.0,0.0,,0.0,,5.0,11.0,22,2804
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.13628387451171875,0,0.0,0.0,0.0,,0.0,,5.0,11.0,23,2145
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.13057827949523926,0,0.0,0.0,0.0,,0.0,,5.0,11.0,24,150
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.09515571594238281,0,0.0,0.0,0.0,,0.0,,5.0,11.0,25,8823
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.08388781547546387,0,0.0,0.0,0.0,,0.0,,5.0,11.0,26,4669
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.08055281639099121,0,0.0,0.0,0.0,,0.0,,5.0,11.0,27,6131
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.11707401275634766,0,0.0,0.0,0.0,,0.0,,5.0,11.0,28,2617
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.06666374206542969,0,0.0,0.0,0.0,,0.0,,5.0,11.0,29,7166
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.05428504943847656,0,0.0,0.0,0.0,,0.0,,5.0,11.0,30,1428
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.09411430358886719,0,0.0,0.0,0.0,,0.0,,5.0,11.0,31,8328
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.06926465034484863,0,0.0,0.0,0.0,,0.0,,5.0,11.0,32,8289
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.10338521003723145,0,0.0,0.0,0.0,,0.0,,5.0,11.0,33,5978
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.08485174179077148,0,0.0,0.0,0.0,,0.0,,5.0,11.0,34,5511
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.05737614631652832,0,0.0,0.0,0.0,,0.0,,5.0,11.0,35,5864
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.250913143157959,0,0.0,0.0,0.0,,0.0,,5.0,11.0,36,606
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.13745880126953125,0,0.0,0.0,0.0,,0.0,,5.0,11.0,37,1933
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.10805487632751465,0,0.0,0.0,0.0,,0.0,,5.0,11.0,38,6071
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.10983586311340332,0,0.0,0.0,0.0,,0.0,,5.0,11.0,39,5504
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.14609909057617188,0,0.0,0.0,0.0,,0.0,,5.0,11.0,40,5163
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.056268930435180664,0,0.0,0.0,0.0,,0.0,,5.0,11.0,41,2406
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.2402782440185547,1,1.0,0.0,0.2,0.0,0.0,,5.0,13.0,42,304
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.1492600440979004,0,0.0,0.0,0.0,,0.0,,5.0,11.0,43,3391
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.07530903816223145,0,0.0,0.0,0.0,,0.0,,5.0,11.0,44,359
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.0897514820098877,0,0.0,0.0,0.0,,0.0,,5.0,11.0,45,9096
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.08064460754394531,0,0.0,0.0,0.0,,0.0,,5.0,11.0,46,3533
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.19300317764282227,0,0.0,0.0,0.0,,0.0,,5.0,11.0,47,4125
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.10951566696166992,0,0.0,0.0,0.0,,0.0,,5.0,11.0,48,3094
dag_5_nodes_5_edges_none_ER,NOTEARS-MLP,0.06168174743652344,0,0.0,0.0,0.0,,0.0,,5.0,11.0,49,6398
