dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_5_nodes_5_edges_none_random,MPC,0.003782510757446289,4,0.25,0.6,0.2,0.5,0.4,0.4444,3.0,4.0,20.0,0,7816
dag_5_nodes_5_edges_none_random,MPC,0.0027980804443359375,3,0.0,0.6,0.0,0.3333,0.2,0.25,3.0,5.0,20.0,1,3578
dag_5_nodes_5_edges_none_random,MPC,0.003949403762817383,3,0.0,0.6,0.0,0.6667,0.4,0.5,2.0,4.0,20.0,2,2656
dag_5_nodes_5_edges_none_random,MPC,0.00601649284362793,6,0.1667,1.0,0.2,0.3333,0.4,0.3636,3.0,0.0,20.0,3,2688
dag_5_nodes_5_edges_none_random,MPC,0.002530336380004883,3,0.0,0.6,0.0,0.3333,0.2,0.25,3.0,7.0,19.0,4,2494
dag_5_nodes_5_edges_none_random,MPC,0.003958463668823242,4,0.0,0.8,0.0,0.5,0.4,0.4444,3.0,1.0,16.0,5,183
dag_5_nodes_5_edges_none_random,MPC,0.002083301544189453,2,0.0,0.4,0.0,0.5,0.2,0.2857,3.0,7.0,17.0,6,7977
dag_5_nodes_5_edges_none_random,MPC,0.005388736724853516,4,0.0,0.8,0.0,0.25,0.2,0.2222,3.0,10.0,20.0,7,3199
dag_5_nodes_5_edges_none_random,MPC,0.006409406661987305,4,0.0,0.8,0.0,0.5,0.4,0.4444,2.0,3.0,20.0,8,316
dag_5_nodes_5_edges_none_random,MPC,0.002363920211791992,3,0.0,0.6,0.0,0.3333,0.2,0.25,3.0,7.0,19.0,9,8266
dag_5_nodes_5_edges_none_random,MPC,0.006362199783325195,5,0.0,1.0,0.0,0.4,0.4,0.4,2.0,0.0,20.0,10,1532
dag_5_nodes_5_edges_none_random,MPC,0.0035867691040039062,4,0.0,0.8,0.0,0.5,0.4,0.4444,2.0,3.0,20.0,11,1009
dag_5_nodes_5_edges_none_random,MPC,0.004008769989013672,4,0.25,0.6,0.2,0.5,0.4,0.4444,4.0,4.0,16.0,12,2250
dag_5_nodes_5_edges_none_random,MPC,0.0036363601684570312,4,0.0,0.8,0.0,0.25,0.2,0.2222,3.0,10.0,20.0,13,4447
dag_5_nodes_5_edges_none_random,MPC,0.0053484439849853516,3,0.0,0.6,0.0,0.3333,0.2,0.25,4.0,10.0,16.0,14,2415
dag_5_nodes_5_edges_none_random,MPC,0.0029871463775634766,3,0.0,0.6,0.0,0.6667,0.4,0.5,2.0,4.0,20.0,15,3595
dag_5_nodes_5_edges_none_random,MPC,0.0021097660064697266,2,0.0,0.4,0.0,0.0,0.0,,4.0,10.0,16.0,16,4187
dag_5_nodes_5_edges_none_random,MPC,0.003515481948852539,4,0.5,0.4,0.4,0.25,0.2,0.2222,5.0,6.0,20.0,17,4135
dag_5_nodes_5_edges_none_random,MPC,0.0030417442321777344,3,0.0,0.6,0.0,0.3333,0.2,0.25,3.0,6.0,17.0,18,5174
dag_5_nodes_5_edges_none_random,MPC,0.00331878662109375,3,0.0,0.6,0.0,0.6667,0.4,0.5,2.0,4.0,20.0,19,5303
dag_5_nodes_5_edges_none_random,MPC,0.008090496063232422,5,0.0,1.0,0.0,0.4,0.4,0.4,2.0,0.0,20.0,20,3942
dag_5_nodes_5_edges_none_random,MPC,0.004292726516723633,4,0.0,0.8,0.0,0.5,0.4,0.4444,2.0,2.0,18.0,21,2778
dag_5_nodes_5_edges_none_random,MPC,0.005406856536865234,5,0.0,1.0,0.0,0.4,0.4,0.4,2.0,0.0,20.0,22,2804
dag_5_nodes_5_edges_none_random,MPC,0.0028090476989746094,3,0.0,0.6,0.0,0.3333,0.2,0.25,3.0,5.0,20.0,23,2145
dag_5_nodes_5_edges_none_random,MPC,0.0043354034423828125,4,0.0,0.8,0.0,0.5,0.4,0.4444,2.0,3.0,20.0,24,150
