dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_5_nodes_5_edges_semantics_ER,NOTEARS-MLP,0.2142331600189209,0,0.0,0.0,0.0,,0.0,,5.0,8.0,0,7816
dag_5_nodes_5_edges_semantics_ER,NOTEARS-MLP,0.12524771690368652,0,0.0,0.0,0.0,,0.0,,5.0,8.0,1,3578
dag_5_nodes_5_edges_semantics_ER,NOTEARS-MLP,0.13471269607543945,0,0.0,0.0,0.0,,0.0,,5.0,8.0,2,2656
dag_5_nodes_5_edges_semantics_ER,NOTEARS-MLP,0.1261451244354248,0,0.0,0.0,0.0,,0.0,,5.0,8.0,3,2688
dag_5_nodes_5_edges_semantics_ER,NOTEARS-MLP,0.153886079788208,0,0.0,0.0,0.0,,0.0,,5.0,8.0,4,2494
dag_5_nodes_5_edges_semantics_ER,NOTEARS-MLP,0.07369208335876465,0,0.0,0.0,0.0,,0.0,,5.0,8.0,5,183
dag_5_nodes_5_edges_semantics_ER,NOTEARS-MLP,0.18363261222839355,0,0.0,0.0,0.0,,0.0,,5.0,8.0,6,7977
dag_5_nodes_5_edges_semantics_ER,NOTEARS-MLP,0.1031644344329834,0,0.0,0.0,0.0,,0.0,,5.0,8.0,7,3199
dag_5_nodes_5_edges_semantics_ER,NOTEARS-MLP,0.0524747371673584,0,0.0,0.0,0.0,,0.0,,5.0,8.0,8,316
dag_5_nodes_5_edges_semantics_ER,NOTEARS-MLP,0.08892822265625,0,0.0,0.0,0.0,,0.0,,5.0,8.0,9,8266
dag_5_nodes_5_edges_semantics_ER,NOTEARS-MLP,0.16788434982299805,0,0.0,0.0,0.0,,0.0,,5.0,8.0,10,1532
dag_5_nodes_5_edges_semantics_ER,NOTEARS-MLP,0.0998072624206543,0,0.0,0.0,0.0,,0.0,,5.0,8.0,11,1009
dag_5_nodes_5_edges_semantics_ER,NOTEARS-MLP,0.1529078483581543,0,0.0,0.0,0.0,,0.0,,5.0,8.0,12,2250
dag_5_nodes_5_edges_semantics_ER,NOTEARS-MLP,0.07806277275085449,0,0.0,0.0,0.0,,0.0,,5.0,8.0,13,4447
dag_5_nodes_5_edges_semantics_ER,NOTEARS-MLP,0.08056497573852539,0,0.0,0.0,0.0,,0.0,,5.0,8.0,14,2415
dag_5_nodes_5_edges_semantics_ER,NOTEARS-MLP,0.10745620727539062,0,0.0,0.0,0.0,,0.0,,5.0,8.0,15,3595
dag_5_nodes_5_edges_semantics_ER,NOTEARS-MLP,0.1142265796661377,0,0.0,0.0,0.0,,0.0,,5.0,8.0,16,4187
dag_5_nodes_5_edges_semantics_ER,NOTEARS-MLP,0.0915834903717041,0,0.0,0.0,0.0,,0.0,,5.0,8.0,17,4135
dag_5_nodes_5_edges_semantics_ER,NOTEARS-MLP,0.12046957015991211,0,0.0,0.0,0.0,,0.0,,5.0,8.0,18,5174
dag_5_nodes_5_edges_semantics_ER,NOTEARS-MLP,0.1164097785949707,0,0.0,0.0,0.0,,0.0,,5.0,8.0,19,5303
dag_5_nodes_5_edges_semantics_ER,NOTEARS-MLP,0.10344576835632324,0,0.0,0.0,0.0,,0.0,,5.0,8.0,20,3942
dag_5_nodes_5_edges_semantics_ER,NOTEARS-MLP,0.10290837287902832,0,0.0,0.0,0.0,,0.0,,5.0,8.0,21,2778
dag_5_nodes_5_edges_semantics_ER,NOTEARS-MLP,0.1044301986694336,0,0.0,0.0,0.0,,0.0,,5.0,8.0,22,2804
dag_5_nodes_5_edges_semantics_ER,NOTEARS-MLP,0.11770224571228027,0,0.0,0.0,0.0,,0.0,,5.0,8.0,23,2145
dag_5_nodes_5_edges_semantics_ER,NOTEARS-MLP,0.11671662330627441,0,0.0,0.0,0.0,,0.0,,5.0,8.0,24,150
