dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_5_nodes_5_edges_semantics_SF,FGS,0.07318949699401855,4,0.5,0.5,0.3333,0.25,0.25,0.25,5.0,6.0,15.0,0,7816
dag_5_nodes_5_edges_semantics_SF,FGS,0.07178664207458496,4,0.5,0.5,0.3333,0.25,0.25,0.25,4.0,2.0,6.0,1,3578
dag_5_nodes_5_edges_semantics_SF,FGS,0.06757378578186035,1,0.0,0.25,0.0,0.0,0.0,,3.0,5.0,9.0,2,2656
dag_5_nodes_5_edges_semantics_SF,FGS,0.07380938529968262,2,0.0,0.5,0.0,0.0,0.0,,3.0,4.0,13.0,3,2688
dag_5_nodes_5_edges_semantics_SF,FGS,0.0710756778717041,3,0.3333,0.5,0.1667,0.3333,0.25,0.2857,4.0,2.0,11.0,4,2494
dag_5_nodes_5_edges_semantics_SF,FGS,0.0719766616821289,3,0.0,0.75,0.0,0.0,0.0,,2.0,3.0,16.0,5,183
dag_5_nodes_5_edges_semantics_SF,FGS,0.07722735404968262,4,0.0,1.0,0.0,0.25,0.25,0.25,2.0,5.0,18.0,6,7977
dag_5_nodes_5_edges_semantics_SF,FGS,0.07007861137390137,1,0.0,0.25,0.0,0.0,0.0,,3.0,5.0,9.0,7,3199
dag_5_nodes_5_edges_semantics_SF,FGS,0.07435345649719238,2,0.0,0.5,0.0,0.0,0.0,,3.0,4.0,13.0,8,316
dag_5_nodes_5_edges_semantics_SF,FGS,0.07811450958251953,4,0.0,1.0,0.0,0.25,0.25,0.25,2.0,5.0,18.0,9,8266
dag_5_nodes_5_edges_semantics_SF,FGS,0.07891535758972168,2,0.0,0.5,0.0,0.0,0.0,,3.0,4.0,13.0,10,1532
dag_5_nodes_5_edges_semantics_SF,FGS,0.08620595932006836,3,0.6667,0.25,0.3333,0.0,0.0,,5.0,3.0,8.0,11,1009
dag_5_nodes_5_edges_semantics_SF,FGS,0.07050967216491699,2,1.0,0.0,0.3333,0.0,0.0,,5.0,9.0,9.0,12,2250
dag_5_nodes_5_edges_semantics_SF,FGS,0.07128596305847168,4,0.0,1.0,0.0,0.25,0.25,0.25,2.0,5.0,18.0,13,4447
dag_5_nodes_5_edges_semantics_SF,FGS,0.07484841346740723,4,0.5,0.5,0.3333,0.25,0.25,0.25,5.0,6.0,15.0,14,2415
dag_5_nodes_5_edges_semantics_SF,FGS,0.07795119285583496,3,0.0,0.75,0.0,0.0,0.0,,2.0,3.0,16.0,15,3595
dag_5_nodes_5_edges_semantics_SF,FGS,0.07466530799865723,3,0.3333,0.5,0.1667,0.3333,0.25,0.2857,4.0,2.0,11.0,16,4187
dag_5_nodes_5_edges_semantics_SF,FGS,0.07735180854797363,3,0.0,0.75,0.0,0.3333,0.25,0.2857,3.0,6.0,15.0,17,4135
dag_5_nodes_5_edges_semantics_SF,FGS,0.07241344451904297,,,,,,,,,,,18,5174
dag_5_nodes_5_edges_semantics_SF,FGS,0.07928848266601562,4,0.5,0.5,0.3333,0.25,0.25,0.25,4.0,2.0,6.0,19,5303
dag_5_nodes_5_edges_semantics_SF,FGS,0.0777750015258789,1,0.0,0.25,0.0,0.0,0.0,,3.0,5.0,9.0,20,3942
dag_5_nodes_5_edges_semantics_SF,FGS,0.06705474853515625,1,0.0,0.25,0.0,0.0,0.0,,3.0,5.0,9.0,21,2778
dag_5_nodes_5_edges_semantics_SF,FGS,0.07233047485351562,4,0.5,0.5,0.3333,0.25,0.25,0.25,5.0,6.0,15.0,22,2804
dag_5_nodes_5_edges_semantics_SF,FGS,0.07259416580200195,3,0.3333,0.5,0.1667,0.3333,0.25,0.2857,4.0,2.0,11.0,23,2145
dag_5_nodes_5_edges_semantics_SF,FGS,0.06895565986633301,2,0.0,0.5,0.0,0.0,0.0,,3.0,4.0,13.0,24,150
dag_5_nodes_5_edges_semantics_SF,FGS,0.07389521598815918,3,0.0,0.75,0.0,0.3333,0.25,0.2857,3.0,6.0,15.0,25,8823
dag_5_nodes_5_edges_semantics_SF,FGS,0.07463765144348145,2,0.0,0.5,0.0,0.5,0.25,0.3333,3.0,2.0,11.0,26,4669
dag_5_nodes_5_edges_semantics_SF,FGS,0.07623767852783203,2,0.5,0.25,0.1667,0.0,0.0,,4.0,3.0,8.0,27,6131
dag_5_nodes_5_edges_semantics_SF,FGS,0.068878173828125,,,,,,,,,,,28,2617
dag_5_nodes_5_edges_semantics_SF,FGS,0.07282114028930664,3,0.0,0.75,0.0,0.3333,0.25,0.2857,3.0,6.0,15.0,29,7166
dag_5_nodes_5_edges_semantics_SF,FGS,0.06841754913330078,1,0.0,0.25,0.0,0.0,0.0,,3.0,5.0,9.0,30,1428
dag_5_nodes_5_edges_semantics_SF,FGS,0.29378557205200195,,,,,,,,,,,31,8328
dag_5_nodes_5_edges_semantics_SF,FGS,0.3091409206390381,1,0.0,0.25,0.0,0.0,0.0,,3.0,5.0,9.0,32,8289
dag_5_nodes_5_edges_semantics_SF,FGS,0.07291936874389648,1,0.0,0.25,0.0,0.0,0.0,,3.0,5.0,9.0,33,5978
dag_5_nodes_5_edges_semantics_SF,FGS,0.07727265357971191,3,0.0,0.75,0.0,0.3333,0.25,0.2857,3.0,6.0,15.0,34,5511
dag_5_nodes_5_edges_semantics_SF,FGS,0.08002209663391113,2,0.5,0.25,0.1667,0.0,0.0,,4.0,3.0,8.0,35,5864
dag_5_nodes_5_edges_semantics_SF,FGS,0.07999110221862793,2,0.5,0.25,0.1667,0.0,0.0,,4.0,3.0,8.0,36,606
dag_5_nodes_5_edges_semantics_SF,FGS,0.06669473648071289,1,0.0,0.25,0.0,0.0,0.0,,3.0,5.0,9.0,37,1933
dag_5_nodes_5_edges_semantics_SF,FGS,0.06800413131713867,1,0.0,0.25,0.0,0.0,0.0,,3.0,5.0,9.0,38,6071
dag_5_nodes_5_edges_semantics_SF,FGS,0.06913280487060547,4,0.0,1.0,0.0,0.25,0.25,0.25,2.0,5.0,18.0,39,5504
dag_5_nodes_5_edges_semantics_SF,FGS,0.07713913917541504,2,0.0,0.5,0.0,0.0,0.0,,3.0,4.0,13.0,40,5163
dag_5_nodes_5_edges_semantics_SF,FGS,0.07633328437805176,4,0.5,0.5,0.3333,0.25,0.25,0.25,5.0,6.0,15.0,41,2406
dag_5_nodes_5_edges_semantics_SF,FGS,0.07326912879943848,2,0.0,0.5,0.0,0.0,0.0,,3.0,4.0,13.0,42,304
dag_5_nodes_5_edges_semantics_SF,FGS,0.07443404197692871,3,0.0,0.75,0.0,0.3333,0.25,0.2857,3.0,6.0,15.0,43,3391
dag_5_nodes_5_edges_semantics_SF,FGS,0.0715785026550293,3,0.3333,0.5,0.1667,0.3333,0.25,0.2857,4.0,2.0,11.0,44,359
dag_5_nodes_5_edges_semantics_SF,FGS,0.0722513198852539,1,0.0,0.25,0.0,0.0,0.0,,3.0,5.0,9.0,45,9096
