dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_5_nodes_5_edges_semantics_random,FGS,0.08853435516357422,6,0.1667,1.0,0.2,0.6667,0.8,0.7273,4.0,5.0,18.0,0,7816
dag_5_nodes_5_edges_semantics_random,FGS,0.07304501533508301,2,0.5,0.2,0.2,0.5,0.2,0.2857,4.0,9.0,9.0,1,3578
dag_5_nodes_5_edges_semantics_random,FGS,0.07568526268005371,3,0.6667,0.2,0.4,0.3333,0.2,0.25,6.0,8.0,9.0,2,2656
dag_5_nodes_5_edges_semantics_random,FGS,0.07216548919677734,5,0.8,0.2,0.8,0.2,0.2,0.2,7.0,5.0,14.0,3,2688
dag_5_nodes_5_edges_semantics_random,FGS,0.06978416442871094,4,0.0,0.8,0.0,0.75,0.6,0.6667,3.0,7.0,18.0,4,2494
dag_5_nodes_5_edges_semantics_random,FGS,0.0722806453704834,3,0.0,0.6,0.0,1.0,0.6,0.75,3.0,3.0,14.0,5,183
dag_5_nodes_5_edges_semantics_random,FGS,0.0719151496887207,2,0.0,0.4,0.0,1.0,0.4,0.5714,4.0,6.0,13.0,6,7977
dag_5_nodes_5_edges_semantics_random,FGS,0.07526421546936035,5,0.8,0.2,0.8,0.2,0.2,0.2,7.0,5.0,14.0,7,3199
dag_5_nodes_5_edges_semantics_random,FGS,0.07585310935974121,3,0.0,0.6,0.0,1.0,0.6,0.75,3.0,3.0,12.0,8,316
dag_5_nodes_5_edges_semantics_random,FGS,0.06892275810241699,3,0.0,0.6,0.0,0.6667,0.4,0.5,4.0,7.0,17.0,9,8266
dag_5_nodes_5_edges_semantics_random,FGS,0.06844925880432129,2,0.5,0.2,0.2,0.5,0.2,0.2857,5.0,5.0,10.0,10,1532
dag_5_nodes_5_edges_semantics_random,FGS,0.0713968276977539,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,4.0,13.0,11,1009
dag_5_nodes_5_edges_semantics_random,FGS,0.07382512092590332,4,0.25,0.6,0.2,0.5,0.4,0.4444,4.0,3.0,17.0,12,2250
dag_5_nodes_5_edges_semantics_random,FGS,0.07249617576599121,3,0.6667,0.2,0.4,0.3333,0.2,0.25,6.0,4.0,12.0,13,4447
dag_5_nodes_5_edges_semantics_random,FGS,0.07810664176940918,4,0.5,0.4,0.4,0.5,0.4,0.4444,7.0,8.0,11.0,14,2415
