dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_5_nodes_5_edges_semantics_random,MPC,0.00574183464050293,3,0.3333,0.4,0.2,0.6667,0.4,0.5,3.0,10.0,0,7816
dag_5_nodes_5_edges_semantics_random,MPC,0.007069110870361328,0,0.0,0.0,0.0,,0.0,,5.0,9.0,1,3578
dag_5_nodes_5_edges_semantics_random,MPC,0.0050201416015625,0,0.0,0.0,0.0,,0.0,,5.0,9.0,2,2656
dag_5_nodes_5_edges_semantics_random,MPC,0.0056302547454833984,0,0.0,0.0,0.0,,0.0,,5.0,9.0,3,2688
dag_5_nodes_5_edges_semantics_random,MPC,0.003802776336669922,0,0.0,0.0,0.0,,0.0,,5.0,9.0,4,2494
dag_5_nodes_5_edges_semantics_random,MPC,0.003970146179199219,0,0.0,0.0,0.0,,0.0,,5.0,9.0,5,183
dag_5_nodes_5_edges_semantics_random,MPC,0.002112865447998047,0,0.0,0.0,0.0,,0.0,,5.0,9.0,6,7977
dag_5_nodes_5_edges_semantics_random,MPC,0.007908344268798828,0,0.0,0.0,0.0,,0.0,,5.0,9.0,7,3199
dag_5_nodes_5_edges_semantics_random,MPC,0.0030548572540283203,0,0.0,0.0,0.0,,0.0,,5.0,9.0,8,316
dag_5_nodes_5_edges_semantics_random,MPC,0.0037360191345214844,0,0.0,0.0,0.0,,0.0,,5.0,9.0,9,8266
dag_5_nodes_5_edges_semantics_random,MPC,0.003755807876586914,0,0.0,0.0,0.0,,0.0,,5.0,9.0,10,1532
dag_5_nodes_5_edges_semantics_random,MPC,0.0028531551361083984,0,0.0,0.0,0.0,,0.0,,5.0,9.0,11,1009
dag_5_nodes_5_edges_semantics_random,MPC,0.00826573371887207,0,0.0,0.0,0.0,,0.0,,5.0,9.0,12,2250
dag_5_nodes_5_edges_semantics_random,MPC,0.0039670467376708984,2,0.5,0.2,0.2,0.5,0.2,0.2857,4.0,9.0,13,4447
dag_5_nodes_5_edges_semantics_random,MPC,0.0041866302490234375,0,0.0,0.0,0.0,,0.0,,5.0,9.0,14,2415
dag_5_nodes_5_edges_semantics_random,MPC,0.0024542808532714844,0,0.0,0.0,0.0,,0.0,,5.0,9.0,15,3595
dag_5_nodes_5_edges_semantics_random,MPC,0.0042836666107177734,0,0.0,0.0,0.0,,0.0,,5.0,9.0,16,4187
dag_5_nodes_5_edges_semantics_random,MPC,0.003138303756713867,0,0.0,0.0,0.0,,0.0,,5.0,9.0,17,4135
dag_5_nodes_5_edges_semantics_random,MPC,0.003738880157470703,0,0.0,0.0,0.0,,0.0,,5.0,9.0,18,5174
dag_5_nodes_5_edges_semantics_random,MPC,0.0023207664489746094,0,0.0,0.0,0.0,,0.0,,5.0,9.0,19,5303
dag_5_nodes_5_edges_semantics_random,MPC,0.005277395248413086,0,0.0,0.0,0.0,,0.0,,5.0,9.0,20,3942
dag_5_nodes_5_edges_semantics_random,MPC,0.004557371139526367,0,0.0,0.0,0.0,,0.0,,5.0,9.0,21,2778
dag_5_nodes_5_edges_semantics_random,MPC,0.0050258636474609375,0,0.0,0.0,0.0,,0.0,,5.0,9.0,22,2804
dag_5_nodes_5_edges_semantics_random,MPC,0.003154277801513672,0,0.0,0.0,0.0,,0.0,,5.0,9.0,23,2145
dag_5_nodes_5_edges_semantics_random,MPC,0.003540515899658203,0,0.0,0.0,0.0,,0.0,,5.0,9.0,24,150
dag_5_nodes_5_edges_semantics_random,MPC,0.004154682159423828,0,0.0,0.0,0.0,,0.0,,5.0,9.0,25,8823
dag_5_nodes_5_edges_semantics_random,MPC,0.004069089889526367,0,0.0,0.0,0.0,,0.0,,5.0,9.0,26,4669
dag_5_nodes_5_edges_semantics_random,MPC,0.008228302001953125,0,0.0,0.0,0.0,,0.0,,5.0,9.0,27,6131
dag_5_nodes_5_edges_semantics_random,MPC,0.004644155502319336,2,0.5,0.2,0.2,0.5,0.2,0.2857,4.0,9.0,28,2617
dag_5_nodes_5_edges_semantics_random,MPC,0.005921125411987305,0,0.0,0.0,0.0,,0.0,,5.0,9.0,29,7166
dag_5_nodes_5_edges_semantics_random,MPC,0.0030913352966308594,0,0.0,0.0,0.0,,0.0,,5.0,9.0,30,1428
dag_5_nodes_5_edges_semantics_random,MPC,0.0069310665130615234,0,0.0,0.0,0.0,,0.0,,5.0,9.0,31,8328
dag_5_nodes_5_edges_semantics_random,MPC,0.002559185028076172,0,0.0,0.0,0.0,,0.0,,5.0,9.0,32,8289
dag_5_nodes_5_edges_semantics_random,MPC,0.005171537399291992,0,0.0,0.0,0.0,,0.0,,5.0,9.0,33,5978
dag_5_nodes_5_edges_semantics_random,MPC,0.004874467849731445,0,0.0,0.0,0.0,,0.0,,5.0,9.0,34,5511
dag_5_nodes_5_edges_semantics_random,MPC,0.00525355339050293,5,0.4,0.6,0.4,0.6,0.6,0.6,3.0,6.0,35,5864
dag_5_nodes_5_edges_semantics_random,MPC,0.007111072540283203,0,0.0,0.0,0.0,,0.0,,5.0,9.0,36,606
dag_5_nodes_5_edges_semantics_random,MPC,0.003656148910522461,0,0.0,0.0,0.0,,0.0,,5.0,9.0,37,1933
dag_5_nodes_5_edges_semantics_random,MPC,0.0047414302825927734,4,0.75,0.2,0.6,0.25,0.2,0.2222,5.0,9.0,38,6071
dag_5_nodes_5_edges_semantics_random,MPC,0.0020792484283447266,0,0.0,0.0,0.0,,0.0,,5.0,9.0,39,5504
dag_5_nodes_5_edges_semantics_random,MPC,0.004269838333129883,0,0.0,0.0,0.0,,0.0,,5.0,9.0,40,5163
dag_5_nodes_5_edges_semantics_random,MPC,0.002078533172607422,0,0.0,0.0,0.0,,0.0,,5.0,9.0,41,2406
dag_5_nodes_5_edges_semantics_random,MPC,0.0034394264221191406,0,0.0,0.0,0.0,,0.0,,5.0,9.0,42,304
dag_5_nodes_5_edges_semantics_random,MPC,0.002328634262084961,0,0.0,0.0,0.0,,0.0,,5.0,9.0,43,3391
dag_5_nodes_5_edges_semantics_random,MPC,0.008031129837036133,3,1.0,0.0,0.6,0.0,0.0,,6.0,13.0,44,359
dag_5_nodes_5_edges_semantics_random,MPC,0.003570556640625,0,0.0,0.0,0.0,,0.0,,5.0,9.0,45,9096
dag_5_nodes_5_edges_semantics_random,MPC,0.002690553665161133,0,0.0,0.0,0.0,,0.0,,5.0,9.0,46,3533
dag_5_nodes_5_edges_semantics_random,MPC,0.010986089706420898,0,0.0,0.0,0.0,,0.0,,5.0,9.0,47,4125
dag_5_nodes_5_edges_semantics_random,MPC,0.0032966136932373047,0,0.0,0.0,0.0,,0.0,,5.0,9.0,48,3094
dag_5_nodes_5_edges_semantics_random,MPC,0.006273508071899414,3,0.0,0.6,0.0,1.0,0.6,0.75,2.0,5.0,49,6398
