dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_5_nodes_7_edges_degrees_ER,FGS,0.07985186576843262,4,0.5,0.2857,0.6667,0.5,0.2857,0.3636,6.0,10.0,0,7816
dag_5_nodes_7_edges_degrees_ER,FGS,0.07683706283569336,4,0.75,0.1429,1.0,0.25,0.1429,0.1818,8.0,18.0,1,3578
dag_5_nodes_7_edges_degrees_ER,FGS,0.07185983657836914,3,0.3333,0.2857,0.3333,0.6667,0.2857,0.4,6.0,10.0,2,2656
dag_5_nodes_7_edges_degrees_ER,FGS,0.07871580123901367,5,0.8,0.1429,1.3333,0.2,0.1429,0.1667,8.0,18.0,3,2688
dag_5_nodes_7_edges_degrees_ER,FGS,0.08094120025634766,6,0.5,0.4286,1.0,0.5,0.4286,0.4615,6.0,7.0,4,2494
dag_5_nodes_7_edges_degrees_ER,FGS,0.07392311096191406,6,0.5,0.4286,1.0,0.5,0.4286,0.4615,6.0,10.0,5,183
dag_5_nodes_7_edges_degrees_ER,FGS,0.0832524299621582,6,0.5,0.4286,1.0,0.5,0.4286,0.4615,6.0,8.0,6,7977
dag_5_nodes_7_edges_degrees_ER,FGS,0.08021140098571777,6,0.5,0.4286,1.0,0.5,0.4286,0.4615,6.0,8.0,7,3199
dag_5_nodes_7_edges_degrees_ER,FGS,0.07813072204589844,5,0.8,0.1429,1.3333,0.2,0.1429,0.1667,7.0,14.0,8,316
dag_5_nodes_7_edges_degrees_ER,FGS,0.07493972778320312,5,0.4,0.4286,0.6667,0.6,0.4286,0.5,6.0,9.0,9,8266
dag_5_nodes_7_edges_degrees_ER,FGS,0.07777118682861328,5,0.6,0.2857,1.0,0.4,0.2857,0.3333,7.0,17.0,10,1532
dag_5_nodes_7_edges_degrees_ER,FGS,0.08045768737792969,6,0.6667,0.2857,1.3333,0.3333,0.2857,0.3077,7.0,17.0,11,1009
dag_5_nodes_7_edges_degrees_ER,FGS,0.07308197021484375,3,0.3333,0.2857,0.3333,0.6667,0.2857,0.4,6.0,10.0,12,2250
