dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_5_nodes_7_edges_degrees_SF,MPC,0.0020148754119873047,1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,6.0,10.0,0,7816
dag_5_nodes_7_edges_degrees_SF,MPC,0.004007816314697266,4,0.25,0.75,0.1667,0.25,0.25,0.25,4.0,6.0,15.0,1,3578
dag_5_nodes_7_edges_degrees_SF,MPC,0.003545045852661133,4,0.25,0.75,0.1667,0.0,0.0,,4.0,6.0,15.0,2,2656
dag_5_nodes_7_edges_degrees_SF,MPC,0.002478361129760742,3,0.0,0.75,0.0,0.3333,0.25,0.2857,2.0,3.0,16.0,3,2688
dag_5_nodes_7_edges_degrees_SF,MPC,0.0033071041107177734,1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,6.0,10.0,4,2494
dag_5_nodes_7_edges_degrees_SF,MPC,0.0035665035247802734,4,0.0,1.0,0.0,0.25,0.25,0.25,2.0,5.0,18.0,5,183
dag_5_nodes_7_edges_degrees_SF,MPC,0.0027048587799072266,3,0.0,0.75,0.0,0.3333,0.25,0.2857,3.0,7.0,16.0,6,7977
dag_5_nodes_7_edges_degrees_SF,MPC,0.006222724914550781,4,0.0,1.0,0.0,0.25,0.25,0.25,2.0,5.0,18.0,7,3199
dag_5_nodes_7_edges_degrees_SF,MPC,0.004908084869384766,4,0.0,1.0,0.0,0.25,0.25,0.25,2.0,5.0,18.0,8,316
dag_5_nodes_7_edges_degrees_SF,MPC,0.0033121109008789062,4,0.0,1.0,0.0,0.25,0.25,0.25,2.0,5.0,18.0,9,8266
dag_5_nodes_7_edges_degrees_SF,MPC,0.0036199092864990234,4,0.0,1.0,0.0,0.25,0.25,0.25,2.0,5.0,18.0,10,1532
dag_5_nodes_7_edges_degrees_SF,MPC,0.0031061172485351562,3,0.0,0.75,0.0,0.3333,0.25,0.2857,2.0,1.0,14.0,11,1009
dag_5_nodes_7_edges_degrees_SF,MPC,0.0030105113983154297,3,0.0,0.75,0.0,0.0,0.0,,3.0,6.0,15.0,12,2250
dag_5_nodes_7_edges_degrees_SF,MPC,0.0023970603942871094,2,0.0,0.5,0.0,0.0,0.0,,3.0,2.0,11.0,13,4447
dag_5_nodes_7_edges_degrees_SF,MPC,0.003543376922607422,4,0.0,1.0,0.0,0.25,0.25,0.25,2.0,5.0,18.0,14,2415
dag_5_nodes_7_edges_degrees_SF,MPC,0.002998828887939453,3,0.0,0.75,0.0,0.3333,0.25,0.2857,2.0,1.0,14.0,15,3595
dag_5_nodes_7_edges_degrees_SF,MPC,0.007653713226318359,5,0.2,1.0,0.1667,0.2,0.25,0.2222,3.0,5.0,18.0,16,4187
dag_5_nodes_7_edges_degrees_SF,MPC,0.002415180206298828,3,0.0,0.75,0.0,0.3333,0.25,0.2857,2.0,3.0,16.0,17,4135
dag_5_nodes_7_edges_degrees_SF,MPC,0.0027430057525634766,3,0.0,0.75,0.0,0.3333,0.25,0.2857,2.0,3.0,16.0,18,5174
dag_5_nodes_7_edges_degrees_SF,MPC,0.0021276473999023438,2,0.0,0.5,0.0,0.0,0.0,,3.0,4.0,13.0,19,5303
dag_5_nodes_7_edges_degrees_SF,MPC,0.0020601749420166016,1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,6.0,10.0,20,3942
dag_5_nodes_7_edges_degrees_SF,MPC,0.0033712387084960938,3,0.0,0.75,0.0,0.0,0.0,,3.0,6.0,15.0,21,2778
dag_5_nodes_7_edges_degrees_SF,MPC,0.005282163619995117,2,0.0,0.5,0.0,0.5,0.25,0.3333,2.0,4.0,12.0,22,2804
dag_5_nodes_7_edges_degrees_SF,MPC,0.0019342899322509766,1,0.0,0.25,0.0,0.0,0.0,,3.0,5.0,9.0,23,2145
dag_5_nodes_7_edges_degrees_SF,MPC,0.0019373893737792969,2,0.0,0.5,0.0,0.5,0.25,0.3333,3.0,3.0,12.0,24,150
dag_5_nodes_7_edges_degrees_SF,MPC,0.0026216506958007812,2,0.0,0.5,0.0,0.0,0.0,,4.0,8.0,13.0,25,8823
dag_5_nodes_7_edges_degrees_SF,MPC,0.0019445419311523438,2,0.0,0.5,0.0,0.0,0.0,,3.0,4.0,13.0,26,4669
dag_5_nodes_7_edges_degrees_SF,MPC,0.0035924911499023438,3,0.0,0.75,0.0,0.0,0.0,,3.0,6.0,15.0,27,6131
dag_5_nodes_7_edges_degrees_SF,MPC,0.002454519271850586,2,0.0,0.5,0.0,0.5,0.25,0.3333,2.0,4.0,12.0,28,2617
dag_5_nodes_7_edges_degrees_SF,MPC,0.0020220279693603516,2,0.0,0.5,0.0,0.0,0.0,,3.0,4.0,13.0,29,7166
dag_5_nodes_7_edges_degrees_SF,MPC,0.002835988998413086,3,0.0,0.75,0.0,0.3333,0.25,0.2857,2.0,1.0,14.0,30,1428
dag_5_nodes_7_edges_degrees_SF,MPC,0.004025459289550781,3,0.0,0.75,0.0,0.3333,0.25,0.2857,2.0,1.0,14.0,31,8328
dag_5_nodes_7_edges_degrees_SF,MPC,0.0029244422912597656,3,0.0,0.75,0.0,0.0,0.0,,3.0,6.0,15.0,32,8289
dag_5_nodes_7_edges_degrees_SF,MPC,0.006700754165649414,4,0.0,1.0,0.0,0.25,0.25,0.25,2.0,5.0,18.0,33,5978
dag_5_nodes_7_edges_degrees_SF,MPC,0.005138874053955078,4,0.0,1.0,0.0,0.25,0.25,0.25,2.0,5.0,18.0,34,5511
dag_5_nodes_7_edges_degrees_SF,MPC,0.002615213394165039,3,0.0,0.75,0.0,0.3333,0.25,0.2857,3.0,7.0,16.0,35,5864
dag_5_nodes_7_edges_degrees_SF,MPC,0.001990795135498047,2,0.0,0.5,0.0,0.0,0.0,,3.0,4.0,13.0,36,606
dag_5_nodes_7_edges_degrees_SF,MPC,0.0018737316131591797,2,0.0,0.5,0.0,0.5,0.25,0.3333,3.0,5.0,14.0,37,1933
dag_5_nodes_7_edges_degrees_SF,MPC,0.002820730209350586,3,0.0,0.75,0.0,0.0,0.0,,3.0,6.0,15.0,38,6071
dag_5_nodes_7_edges_degrees_SF,MPC,0.0019276142120361328,1,0.0,0.25,0.0,0.0,0.0,,4.0,4.0,9.0,39,5504
dag_5_nodes_7_edges_degrees_SF,MPC,0.002898693084716797,3,0.0,0.75,0.0,0.3333,0.25,0.2857,2.0,1.0,14.0,40,5163
dag_5_nodes_7_edges_degrees_SF,MPC,0.003376483917236328,4,0.0,1.0,0.0,0.25,0.25,0.25,2.0,5.0,18.0,41,2406
dag_5_nodes_7_edges_degrees_SF,MPC,0.0035965442657470703,4,0.0,1.0,0.0,0.25,0.25,0.25,2.0,5.0,18.0,42,304
dag_5_nodes_7_edges_degrees_SF,MPC,0.0019154548645019531,1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,6.0,10.0,43,3391
dag_5_nodes_7_edges_degrees_SF,MPC,0.004469633102416992,4,0.25,0.75,0.1667,0.25,0.25,0.25,3.0,1.0,14.0,44,359
dag_5_nodes_7_edges_degrees_SF,MPC,0.0023403167724609375,2,0.0,0.5,0.0,0.0,0.0,,3.0,2.0,11.0,45,9096
dag_5_nodes_7_edges_degrees_SF,MPC,0.0023343563079833984,3,0.0,0.75,0.0,0.3333,0.25,0.2857,2.0,3.0,16.0,46,3533
dag_5_nodes_7_edges_degrees_SF,MPC,0.0018773078918457031,1,0.0,0.25,0.0,0.0,0.0,,4.0,6.0,11.0,47,4125
dag_5_nodes_7_edges_degrees_SF,MPC,0.003113985061645508,3,0.0,0.75,0.0,0.3333,0.25,0.2857,2.0,1.0,14.0,48,3094
