dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_5_nodes_7_edges_degrees_random,FGS,0.07085061073303223,3,0.6667,0.1429,0.6667,0.3333,0.1429,0.2,6.0,15.0,0,7816
dag_5_nodes_7_edges_degrees_random,FGS,0.07596874237060547,5,0.6,0.2857,1.0,0.4,0.2857,0.3333,5.0,14.0,1,3578
dag_5_nodes_7_edges_degrees_random,FGS,0.07040929794311523,4,1.0,0.0,1.3333,0.0,0.0,,9.0,20.0,2,2656
dag_5_nodes_7_edges_degrees_random,FGS,0.07725286483764648,6,0.8333,0.1429,1.6667,0.1667,0.1429,0.1538,8.0,19.0,3,2688
dag_5_nodes_7_edges_degrees_random,FGS,0.07348990440368652,6,1.0,0.0,2.0,0.0,0.0,,8.0,20.0,4,2494
dag_5_nodes_7_edges_degrees_random,FGS,0.07537508010864258,6,1.0,0.0,2.0,0.0,0.0,,9.0,20.0,5,183
dag_5_nodes_7_edges_degrees_random,FGS,0.07275867462158203,3,1.0,0.0,1.0,0.0,0.0,,7.0,20.0,6,7977
dag_5_nodes_7_edges_degrees_random,FGS,0.07384896278381348,5,1.0,0.0,1.6667,0.0,0.0,,7.0,20.0,7,3199
dag_5_nodes_7_edges_degrees_random,FGS,0.0786740779876709,6,1.0,0.0,2.0,0.0,0.0,,9.0,20.0,8,316
dag_5_nodes_7_edges_degrees_random,FGS,0.07198715209960938,5,1.0,0.0,1.6667,0.0,0.0,,8.0,20.0,9,8266
dag_5_nodes_7_edges_degrees_random,FGS,0.07483744621276855,5,1.0,0.0,1.6667,0.0,0.0,,9.0,20.0,10,1532
dag_5_nodes_7_edges_degrees_random,FGS,0.07509708404541016,4,0.75,0.1429,1.0,0.25,0.1429,0.1818,7.0,18.0,11,1009
dag_5_nodes_7_edges_degrees_random,FGS,0.0729222297668457,4,1.0,0.0,1.3333,0.0,0.0,,8.0,20.0,12,2250
dag_5_nodes_7_edges_degrees_random,FGS,0.08029007911682129,4,0.75,0.1429,1.0,0.25,0.1429,0.1818,7.0,15.0,13,4447
dag_5_nodes_7_edges_degrees_random,FGS,0.0732884407043457,3,1.0,0.0,1.0,0.0,0.0,,8.0,20.0,14,2415
dag_5_nodes_7_edges_degrees_random,FGS,0.0698094367980957,3,0.6667,0.1429,0.6667,0.3333,0.1429,0.2,7.0,15.0,15,3595
dag_5_nodes_7_edges_degrees_random,FGS,0.0739295482635498,4,0.75,0.1429,1.0,0.25,0.1429,0.1818,7.0,15.0,16,4187
dag_5_nodes_7_edges_degrees_random,FGS,0.08240056037902832,5,1.0,0.0,1.6667,0.0,0.0,,9.0,20.0,17,4135
dag_5_nodes_7_edges_degrees_random,FGS,0.07765960693359375,6,0.8333,0.1429,1.6667,0.1667,0.1429,0.1538,7.0,19.0,18,5174
dag_5_nodes_7_edges_degrees_random,FGS,0.07456660270690918,5,1.0,0.0,1.6667,0.0,0.0,,7.0,20.0,19,5303
dag_5_nodes_7_edges_degrees_random,FGS,0.07858681678771973,6,1.0,0.0,2.0,0.0,0.0,,9.0,20.0,20,3942
dag_5_nodes_7_edges_degrees_random,FGS,0.06923389434814453,4,0.75,0.1429,1.0,0.25,0.1429,0.1818,7.0,15.0,21,2778
dag_5_nodes_7_edges_degrees_random,FGS,0.07557058334350586,4,1.0,0.0,1.3333,0.0,0.0,,8.0,20.0,22,2804
dag_5_nodes_7_edges_degrees_random,FGS,0.07657670974731445,5,1.0,0.0,1.6667,0.0,0.0,,8.0,20.0,23,2145
dag_5_nodes_7_edges_degrees_random,FGS,0.08442473411560059,5,0.8,0.1429,1.3333,0.2,0.1429,0.1667,7.0,19.0,24,150
dag_5_nodes_7_edges_degrees_random,FGS,0.08959174156188965,6,0.8333,0.1429,1.6667,0.1667,0.1429,0.1538,7.0,19.0,25,8823
dag_5_nodes_7_edges_degrees_random,FGS,0.3294527530670166,5,0.8,0.1429,1.3333,0.2,0.1429,0.1667,6.0,19.0,26,4669
dag_5_nodes_7_edges_degrees_random,FGS,0.0875694751739502,6,1.0,0.0,2.0,0.0,0.0,,9.0,20.0,27,6131
dag_5_nodes_7_edges_degrees_random,FGS,0.06914114952087402,3,0.6667,0.1429,0.6667,0.3333,0.1429,0.2,6.0,15.0,28,2617
dag_5_nodes_7_edges_degrees_random,FGS,0.08402395248413086,7,1.0,0.0,2.3333,0.0,0.0,,9.0,20.0,29,7166
dag_5_nodes_7_edges_degrees_random,FGS,0.08079910278320312,6,1.0,0.0,2.0,0.0,0.0,,9.0,20.0,30,1428
dag_5_nodes_7_edges_degrees_random,FGS,0.0764319896697998,3,1.0,0.0,1.0,0.0,0.0,,7.0,20.0,31,8328
