dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_5_nodes_7_edges_degrees_random,MPC,0.0035440921783447266,3,0.0,0.4286,0.0,0.3333,0.1429,0.2,4.0,9.0,20.0,0,7816
dag_5_nodes_7_edges_degrees_random,MPC,0.005682945251464844,6,0.1667,0.7143,0.3333,0.1667,0.1429,0.1538,3.0,5.0,19.0,1,3578
dag_5_nodes_7_edges_degrees_random,MPC,0.003528118133544922,4,0.25,0.4286,0.3333,0.25,0.1429,0.1818,5.0,7.0,20.0,2,2656
dag_5_nodes_7_edges_degrees_random,MPC,0.014352560043334961,5,0.2,0.5714,0.3333,0.0,0.0,,4.0,8.0,20.0,3,2688
dag_5_nodes_7_edges_degrees_random,MPC,0.0069196224212646484,7,0.0,1.0,0.0,0.1429,0.1429,0.1429,0.0,0.0,19.0,4,2494
dag_5_nodes_7_edges_degrees_random,MPC,0.007366657257080078,6,0.0,0.8571,0.0,0.1667,0.1429,0.1538,1.0,3.0,20.0,5,183
dag_5_nodes_7_edges_degrees_random,MPC,0.0024263858795166016,3,0.0,0.4286,0.0,0.3333,0.1429,0.2,4.0,8.0,20.0,6,7977
dag_5_nodes_7_edges_degrees_random,MPC,0.005638599395751953,6,0.1667,0.7143,0.3333,0.1667,0.1429,0.1538,3.0,7.0,18.0,7,3199
dag_5_nodes_7_edges_degrees_random,MPC,0.006600618362426758,6,0.0,0.8571,0.0,0.1667,0.1429,0.1538,1.0,3.0,19.0,8,316
dag_5_nodes_7_edges_degrees_random,MPC,0.008078813552856445,5,0.0,0.7143,0.0,0.2,0.1429,0.1667,2.0,4.0,20.0,9,8266
dag_5_nodes_7_edges_degrees_random,MPC,0.0053937435150146484,5,0.0,0.7143,0.0,0.2,0.1429,0.1667,2.0,6.0,20.0,10,1532
dag_5_nodes_7_edges_degrees_random,MPC,0.0058324337005615234,5,0.0,0.7143,0.0,0.2,0.1429,0.1667,2.0,5.0,17.0,11,1009
dag_5_nodes_7_edges_degrees_random,MPC,0.004958629608154297,5,0.0,0.7143,0.0,0.2,0.1429,0.1667,2.0,6.0,20.0,12,2250
dag_5_nodes_7_edges_degrees_random,MPC,0.0035860538482666016,4,0.0,0.5714,0.0,0.25,0.1429,0.1818,3.0,5.0,20.0,13,4447
dag_5_nodes_7_edges_degrees_random,MPC,0.003975868225097656,4,0.0,0.5714,0.0,0.25,0.1429,0.1818,3.0,6.0,18.0,14,2415
dag_5_nodes_7_edges_degrees_random,MPC,0.0029463768005371094,3,0.0,0.4286,0.0,0.3333,0.1429,0.2,4.0,10.0,20.0,15,3595
dag_5_nodes_7_edges_degrees_random,MPC,0.004287242889404297,4,0.25,0.4286,0.3333,0.25,0.1429,0.1818,5.0,6.0,18.0,16,4187
dag_5_nodes_7_edges_degrees_random,MPC,0.007257223129272461,5,0.0,0.7143,0.0,0.2,0.1429,0.1667,2.0,4.0,19.0,17,4135
dag_5_nodes_7_edges_degrees_random,MPC,0.009949684143066406,7,0.1429,0.8571,0.3333,0.1429,0.1429,0.1429,2.0,4.0,19.0,18,5174
dag_5_nodes_7_edges_degrees_random,MPC,0.0070455074310302734,5,0.0,0.7143,0.0,0.0,0.0,,2.0,10.0,20.0,19,5303
dag_5_nodes_7_edges_degrees_random,MPC,0.010768413543701172,6,0.0,0.8571,0.0,0.1667,0.1429,0.1538,1.0,1.0,19.0,20,3942
dag_5_nodes_7_edges_degrees_random,MPC,0.004519462585449219,4,0.0,0.5714,0.0,0.25,0.1429,0.1818,3.0,5.0,20.0,21,2778
dag_5_nodes_7_edges_degrees_random,MPC,0.005803585052490234,5,0.0,0.7143,0.0,0.0,0.0,,2.0,10.0,20.0,22,2804
dag_5_nodes_7_edges_degrees_random,MPC,0.00764775276184082,5,0.0,0.7143,0.0,0.2,0.1429,0.1667,2.0,6.0,20.0,23,2145
dag_5_nodes_7_edges_degrees_random,MPC,0.005972623825073242,5,0.2,0.5714,0.3333,0.2,0.1429,0.1667,4.0,8.0,20.0,24,150
dag_5_nodes_7_edges_degrees_random,MPC,0.007204294204711914,6,0.1667,0.7143,0.3333,0.1667,0.1429,0.1538,3.0,5.0,19.0,25,8823
dag_5_nodes_7_edges_degrees_random,MPC,0.0061299800872802734,5,0.0,0.7143,0.0,0.2,0.1429,0.1667,2.0,6.0,20.0,26,4669
dag_5_nodes_7_edges_degrees_random,MPC,0.010053873062133789,6,0.0,0.8571,0.0,0.1667,0.1429,0.1538,1.0,3.0,19.0,27,6131
dag_5_nodes_7_edges_degrees_random,MPC,0.00523686408996582,5,0.0,0.7143,0.0,0.2,0.1429,0.1667,2.0,4.0,20.0,28,2617
dag_5_nodes_7_edges_degrees_random,MPC,0.012628793716430664,7,0.0,1.0,0.0,0.1429,0.1429,0.1429,0.0,0.0,19.0,29,7166
dag_5_nodes_7_edges_degrees_random,MPC,0.0063359737396240234,6,0.0,0.8571,0.0,0.1667,0.1429,0.1538,1.0,3.0,19.0,30,1428
dag_5_nodes_7_edges_degrees_random,MPC,0.0023903846740722656,3,0.0,0.4286,0.0,0.0,0.0,,4.0,12.0,20.0,31,8328
dag_5_nodes_7_edges_degrees_random,MPC,0.007245540618896484,6,0.0,0.8571,0.0,0.1667,0.1429,0.1538,1.0,3.0,20.0,32,8289
dag_5_nodes_7_edges_degrees_random,MPC,0.01006174087524414,7,0.1429,0.8571,0.3333,0.1429,0.1429,0.1429,2.0,3.0,20.0,33,5978
dag_5_nodes_7_edges_degrees_random,MPC,0.00574946403503418,6,0.0,0.8571,0.0,0.1667,0.1429,0.1538,1.0,3.0,20.0,34,5511
dag_5_nodes_7_edges_degrees_random,MPC,0.002344846725463867,2,0.0,0.2857,0.0,0.0,0.0,,5.0,13.0,15.0,35,5864
dag_5_nodes_7_edges_degrees_random,MPC,0.009257793426513672,7,0.1429,0.8571,0.3333,0.1429,0.1429,0.1429,2.0,4.0,19.0,36,606
dag_5_nodes_7_edges_degrees_random,MPC,0.008668661117553711,5,0.0,0.7143,0.0,0.2,0.1429,0.1667,2.0,4.0,20.0,37,1933
dag_5_nodes_7_edges_degrees_random,MPC,0.0046253204345703125,5,0.0,0.7143,0.0,0.2,0.1429,0.1667,2.0,5.0,17.0,38,6071
dag_5_nodes_7_edges_degrees_random,MPC,0.0044286251068115234,4,0.0,0.5714,0.0,0.25,0.1429,0.1818,3.0,7.0,20.0,39,5504
dag_5_nodes_7_edges_degrees_random,MPC,0.00412297248840332,4,0.0,0.5714,0.0,0.25,0.1429,0.1818,3.0,7.0,20.0,40,5163
dag_5_nodes_7_edges_degrees_random,MPC,0.009489774703979492,7,0.0,1.0,0.0,0.1429,0.1429,0.1429,0.0,0.0,19.0,41,2406
dag_5_nodes_7_edges_degrees_random,MPC,0.0032265186309814453,2,0.0,0.2857,0.0,0.5,0.1429,0.2222,5.0,11.0,20.0,42,304
dag_5_nodes_7_edges_degrees_random,MPC,0.00815439224243164,6,0.1667,0.7143,0.3333,0.1667,0.1429,0.1538,3.0,7.0,20.0,43,3391
dag_5_nodes_7_edges_degrees_random,MPC,0.0038988590240478516,3,0.0,0.4286,0.0,0.0,0.0,,4.0,13.0,15.0,44,359
dag_5_nodes_7_edges_degrees_random,MPC,0.0068836212158203125,6,0.0,0.8571,0.0,0.1667,0.1429,0.1538,1.0,2.0,18.0,45,9096
dag_5_nodes_7_edges_degrees_random,MPC,0.005933284759521484,6,0.1667,0.7143,0.3333,0.1667,0.1429,0.1538,3.0,4.0,16.0,46,3533
dag_5_nodes_7_edges_degrees_random,MPC,0.01013636589050293,7,0.0,1.0,0.0,0.1429,0.1429,0.1429,0.0,0.0,19.0,47,4125
dag_5_nodes_7_edges_degrees_random,MPC,0.004866838455200195,4,0.0,0.5714,0.0,0.25,0.1429,0.1818,3.0,7.0,20.0,48,3094
dag_5_nodes_7_edges_degrees_random,MPC,0.007103443145751953,7,0.1429,0.8571,0.3333,0.1429,0.1429,0.1429,2.0,4.0,19.0,49,6398
