dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_5_nodes_7_edges_degrees_random,NOTEARS-MLP,0.09408307075500488,0,0.0,0.0,0.0,,0.0,,7.0,16.0,16.0,0,7816
dag_5_nodes_7_edges_degrees_random,NOTEARS-MLP,0.1357734203338623,0,0.0,0.0,0.0,,0.0,,7.0,16.0,16.0,1,3578
dag_5_nodes_7_edges_degrees_random,NOTEARS-MLP,0.07758069038391113,0,0.0,0.0,0.0,,0.0,,7.0,16.0,16.0,2,2656
dag_5_nodes_7_edges_degrees_random,NOTEARS-MLP,0.08527255058288574,0,0.0,0.0,0.0,,0.0,,7.0,16.0,16.0,3,2688
dag_5_nodes_7_edges_degrees_random,NOTEARS-MLP,0.05663895606994629,0,0.0,0.0,0.0,,0.0,,7.0,16.0,16.0,4,2494
dag_5_nodes_7_edges_degrees_random,NOTEARS-MLP,0.06496691703796387,0,0.0,0.0,0.0,,0.0,,7.0,16.0,16.0,5,183
dag_5_nodes_7_edges_degrees_random,NOTEARS-MLP,0.13701128959655762,0,0.0,0.0,0.0,,0.0,,7.0,16.0,16.0,6,7977
dag_5_nodes_7_edges_degrees_random,NOTEARS-MLP,0.07424283027648926,0,0.0,0.0,0.0,,0.0,,7.0,16.0,16.0,7,3199
dag_5_nodes_7_edges_degrees_random,NOTEARS-MLP,0.03568625450134277,0,0.0,0.0,0.0,,0.0,,7.0,16.0,16.0,8,316
dag_5_nodes_7_edges_degrees_random,NOTEARS-MLP,0.06542015075683594,0,0.0,0.0,0.0,,0.0,,7.0,16.0,16.0,9,8266
dag_5_nodes_7_edges_degrees_random,NOTEARS-MLP,0.07129120826721191,0,0.0,0.0,0.0,,0.0,,7.0,16.0,16.0,10,1532
dag_5_nodes_7_edges_degrees_random,NOTEARS-MLP,0.09286832809448242,0,0.0,0.0,0.0,,0.0,,7.0,16.0,16.0,11,1009
dag_5_nodes_7_edges_degrees_random,NOTEARS-MLP,0.1860189437866211,1,0.0,0.1429,0.0,1.0,0.1429,0.25,6.0,12.0,20.0,12,2250
dag_5_nodes_7_edges_degrees_random,NOTEARS-MLP,0.09168481826782227,0,0.0,0.0,0.0,,0.0,,7.0,16.0,16.0,13,4447
dag_5_nodes_7_edges_degrees_random,NOTEARS-MLP,0.08643698692321777,0,0.0,0.0,0.0,,0.0,,7.0,16.0,16.0,14,2415
dag_5_nodes_7_edges_degrees_random,NOTEARS-MLP,0.19770193099975586,1,0.0,0.1429,0.0,1.0,0.1429,0.25,6.0,12.0,20.0,15,3595
dag_5_nodes_7_edges_degrees_random,NOTEARS-MLP,0.1332263946533203,0,0.0,0.0,0.0,,0.0,,7.0,16.0,16.0,16,4187
dag_5_nodes_7_edges_degrees_random,NOTEARS-MLP,0.12340521812438965,0,0.0,0.0,0.0,,0.0,,7.0,16.0,16.0,17,4135
dag_5_nodes_7_edges_degrees_random,NOTEARS-MLP,0.14483094215393066,0,0.0,0.0,0.0,,0.0,,7.0,16.0,16.0,18,5174
dag_5_nodes_7_edges_degrees_random,NOTEARS-MLP,0.19136500358581543,0,0.0,0.0,0.0,,0.0,,7.0,16.0,16.0,19,5303
dag_5_nodes_7_edges_degrees_random,NOTEARS-MLP,0.13239455223083496,0,0.0,0.0,0.0,,0.0,,7.0,16.0,16.0,20,3942
dag_5_nodes_7_edges_degrees_random,NOTEARS-MLP,0.10379648208618164,0,0.0,0.0,0.0,,0.0,,7.0,16.0,16.0,21,2778
dag_5_nodes_7_edges_degrees_random,NOTEARS-MLP,0.05779290199279785,0,0.0,0.0,0.0,,0.0,,7.0,16.0,16.0,22,2804
dag_5_nodes_7_edges_degrees_random,NOTEARS-MLP,0.08591747283935547,0,0.0,0.0,0.0,,0.0,,7.0,16.0,16.0,23,2145
