dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_5_nodes_7_edges_none_ER,FGS,0.07112455368041992,4,0.75,0.1429,1.0,0.25,0.1429,0.1818,6.0,17.0,0,7816
dag_5_nodes_7_edges_none_ER,FGS,0.06836819648742676,3,0.6667,0.1429,0.6667,0.3333,0.1429,0.2,6.0,17.0,1,3578
dag_5_nodes_7_edges_none_ER,FGS,0.07014966011047363,5,0.8,0.1429,1.3333,0.2,0.1429,0.1667,7.0,16.0,2,2656
dag_5_nodes_7_edges_none_ER,FGS,0.07654762268066406,5,0.8,0.1429,1.3333,0.2,0.1429,0.1667,6.0,15.0,3,2688
dag_5_nodes_7_edges_none_ER,FGS,0.07204890251159668,5,0.8,0.1429,1.3333,0.2,0.1429,0.1667,6.0,15.0,4,2494
dag_5_nodes_7_edges_none_ER,FGS,0.32027435302734375,5,1.0,0.0,1.6667,0.0,0.0,,7.0,19.0,5,183
dag_5_nodes_7_edges_none_ER,FGS,0.07137894630432129,3,1.0,0.0,1.0,0.0,0.0,,7.0,15.0,6,7977
dag_5_nodes_7_edges_none_ER,FGS,0.07877421379089355,4,0.75,0.1429,1.0,0.25,0.1429,0.1818,6.0,15.0,7,3199
dag_5_nodes_7_edges_none_ER,FGS,0.10931253433227539,8,0.875,0.1429,2.3333,0.125,0.1429,0.1333,7.0,15.0,8,316
dag_5_nodes_7_edges_none_ER,FGS,0.06767678260803223,3,1.0,0.0,1.0,0.0,0.0,,7.0,19.0,9,8266
dag_5_nodes_7_edges_none_ER,FGS,0.07393026351928711,5,1.0,0.0,1.6667,0.0,0.0,,7.0,19.0,10,1532
dag_5_nodes_7_edges_none_ER,FGS,0.07042837142944336,5,0.8,0.1429,1.3333,0.2,0.1429,0.1667,7.0,16.0,11,1009
dag_5_nodes_7_edges_none_ER,FGS,0.07200932502746582,5,0.8,0.1429,1.3333,0.2,0.1429,0.1667,6.0,15.0,12,2250
dag_5_nodes_7_edges_none_ER,FGS,0.07474708557128906,7,0.8571,0.1429,2.0,0.1429,0.1429,0.1429,6.0,15.0,13,4447
dag_5_nodes_7_edges_none_ER,FGS,0.07622718811035156,6,0.8333,0.1429,1.6667,0.1667,0.1429,0.1538,6.0,15.0,14,2415
dag_5_nodes_7_edges_none_ER,FGS,0.07123446464538574,5,0.8,0.1429,1.3333,0.2,0.1429,0.1667,7.0,16.0,15,3595
dag_5_nodes_7_edges_none_ER,FGS,0.0685877799987793,3,1.0,0.0,1.0,0.0,0.0,,7.0,15.0,16,4187
dag_5_nodes_7_edges_none_ER,FGS,0.07443928718566895,6,0.8333,0.1429,1.6667,0.1667,0.1429,0.1538,7.0,15.0,17,4135
dag_5_nodes_7_edges_none_ER,FGS,0.0731499195098877,4,0.75,0.1429,1.0,0.25,0.1429,0.1818,7.0,13.0,18,5174
dag_5_nodes_7_edges_none_ER,FGS,0.06551527976989746,2,1.0,0.0,0.6667,0.0,0.0,,7.0,19.0,19,5303
dag_5_nodes_7_edges_none_ER,FGS,0.07019400596618652,3,1.0,0.0,1.0,0.0,0.0,,7.0,19.0,20,3942
dag_5_nodes_7_edges_none_ER,FGS,0.07430124282836914,6,0.8333,0.1429,1.6667,0.1667,0.1429,0.1538,7.0,16.0,21,2778
dag_5_nodes_7_edges_none_ER,FGS,0.07025575637817383,5,0.8,0.1429,1.3333,0.2,0.1429,0.1667,6.0,15.0,22,2804
dag_5_nodes_7_edges_none_ER,FGS,0.07316231727600098,5,0.8,0.1429,1.3333,0.2,0.1429,0.1667,7.0,16.0,23,2145
dag_5_nodes_7_edges_none_ER,FGS,0.07624268531799316,5,1.0,0.0,1.6667,0.0,0.0,,7.0,19.0,24,150
dag_5_nodes_7_edges_none_ER,FGS,0.0756978988647461,5,0.8,0.1429,1.3333,0.2,0.1429,0.1667,6.0,15.0,25,8823
dag_5_nodes_7_edges_none_ER,FGS,0.07278966903686523,6,0.8333,0.1429,1.6667,0.1667,0.1429,0.1538,6.0,15.0,26,4669
dag_5_nodes_7_edges_none_ER,FGS,0.06870388984680176,5,0.6,0.2857,1.0,0.4,0.2857,0.3333,6.0,15.0,27,6131
dag_5_nodes_7_edges_none_ER,FGS,0.07162117958068848,5,0.8,0.1429,1.3333,0.2,0.1429,0.1667,7.0,13.0,28,2617
dag_5_nodes_7_edges_none_ER,FGS,0.06909823417663574,4,0.5,0.2857,0.6667,0.5,0.2857,0.3636,5.0,16.0,29,7166
dag_5_nodes_7_edges_none_ER,FGS,0.32657384872436523,4,0.75,0.1429,1.0,0.25,0.1429,0.1818,6.0,17.0,30,1428
dag_5_nodes_7_edges_none_ER,FGS,0.0807795524597168,6,0.8333,0.1429,1.6667,0.1667,0.1429,0.1538,6.0,15.0,31,8328
dag_5_nodes_7_edges_none_ER,FGS,0.07084512710571289,3,0.3333,0.2857,0.3333,0.6667,0.2857,0.4,5.0,12.0,32,8289
dag_5_nodes_7_edges_none_ER,FGS,0.06788253784179688,4,0.75,0.1429,1.0,0.25,0.1429,0.1818,6.0,15.0,33,5978
dag_5_nodes_7_edges_none_ER,FGS,0.0700979232788086,4,0.75,0.1429,1.0,0.25,0.1429,0.1818,7.0,16.0,34,5511
dag_5_nodes_7_edges_none_ER,FGS,0.0656428337097168,3,1.0,0.0,1.0,0.0,0.0,,7.0,15.0,35,5864
dag_5_nodes_7_edges_none_ER,FGS,0.0848543643951416,3,1.0,0.0,1.0,0.0,0.0,,7.0,15.0,36,606
dag_5_nodes_7_edges_none_ER,FGS,0.06883549690246582,3,1.0,0.0,1.0,0.0,0.0,,7.0,19.0,37,1933
dag_5_nodes_7_edges_none_ER,FGS,0.07177948951721191,5,0.8,0.1429,1.3333,0.2,0.1429,0.1667,6.0,17.0,38,6071
dag_5_nodes_7_edges_none_ER,FGS,0.11273550987243652,5,0.8,0.1429,1.3333,0.2,0.1429,0.1667,6.0,15.0,39,5504
dag_5_nodes_7_edges_none_ER,FGS,0.07407164573669434,4,0.75,0.1429,1.0,0.25,0.1429,0.1818,6.0,17.0,40,5163
dag_5_nodes_7_edges_none_ER,FGS,0.07975196838378906,3,0.6667,0.1429,0.6667,0.3333,0.1429,0.2,6.0,17.0,41,2406
dag_5_nodes_7_edges_none_ER,FGS,0.07477736473083496,5,1.0,0.0,1.6667,0.0,0.0,,7.0,19.0,42,304
dag_5_nodes_7_edges_none_ER,FGS,0.06976842880249023,3,1.0,0.0,1.0,0.0,0.0,,7.0,19.0,43,3391
dag_5_nodes_7_edges_none_ER,FGS,0.07970428466796875,4,0.75,0.1429,1.0,0.25,0.1429,0.1818,6.0,15.0,44,359
