dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_5_nodes_7_edges_none_SF,MPC,0.001981496810913086,0,0.0,0.0,0.0,,0.0,,4.0,5.0,0,7816
dag_5_nodes_7_edges_none_SF,MPC,0.0024852752685546875,0,0.0,0.0,0.0,,0.0,,4.0,5.0,1,3578
dag_5_nodes_7_edges_none_SF,MPC,0.00330352783203125,0,0.0,0.0,0.0,,0.0,,4.0,5.0,2,2656
dag_5_nodes_7_edges_none_SF,MPC,0.0021314620971679688,0,0.0,0.0,0.0,,0.0,,4.0,5.0,3,2688
dag_5_nodes_7_edges_none_SF,MPC,0.003439188003540039,2,0.0,0.5,0.0,1.0,0.5,0.6667,2.0,2.0,4,2494
dag_5_nodes_7_edges_none_SF,MPC,0.0027692317962646484,0,0.0,0.0,0.0,,0.0,,4.0,5.0,5,183
dag_5_nodes_7_edges_none_SF,MPC,0.0024209022521972656,0,0.0,0.0,0.0,,0.0,,4.0,5.0,6,7977
dag_5_nodes_7_edges_none_SF,MPC,0.002713441848754883,0,0.0,0.0,0.0,,0.0,,4.0,5.0,7,3199
dag_5_nodes_7_edges_none_SF,MPC,0.003365755081176758,0,0.0,0.0,0.0,,0.0,,4.0,5.0,8,316
dag_5_nodes_7_edges_none_SF,MPC,0.0039234161376953125,0,0.0,0.0,0.0,,0.0,,4.0,5.0,9,8266
dag_5_nodes_7_edges_none_SF,MPC,0.0038652420043945312,3,0.3333,0.5,0.1667,0.6667,0.5,0.5714,2.0,6.0,10,1532
dag_5_nodes_7_edges_none_SF,MPC,0.0054514408111572266,0,0.0,0.0,0.0,,0.0,,4.0,5.0,11,1009
dag_5_nodes_7_edges_none_SF,MPC,0.003035306930541992,0,0.0,0.0,0.0,,0.0,,4.0,5.0,12,2250
dag_5_nodes_7_edges_none_SF,MPC,0.003708362579345703,0,0.0,0.0,0.0,,0.0,,4.0,5.0,13,4447
dag_5_nodes_7_edges_none_SF,MPC,0.002452373504638672,0,0.0,0.0,0.0,,0.0,,4.0,5.0,14,2415
dag_5_nodes_7_edges_none_SF,MPC,0.0020554065704345703,0,0.0,0.0,0.0,,0.0,,4.0,5.0,15,3595
dag_5_nodes_7_edges_none_SF,MPC,0.0032961368560791016,0,0.0,0.0,0.0,,0.0,,4.0,5.0,16,4187
dag_5_nodes_7_edges_none_SF,MPC,0.0020270347595214844,0,0.0,0.0,0.0,,0.0,,4.0,5.0,17,4135
dag_5_nodes_7_edges_none_SF,MPC,0.0030548572540283203,0,0.0,0.0,0.0,,0.0,,4.0,5.0,18,5174
dag_5_nodes_7_edges_none_SF,MPC,0.002028226852416992,0,0.0,0.0,0.0,,0.0,,4.0,5.0,19,5303
dag_5_nodes_7_edges_none_SF,MPC,0.0022139549255371094,0,0.0,0.0,0.0,,0.0,,4.0,5.0,20,3942
dag_5_nodes_7_edges_none_SF,MPC,0.002863168716430664,0,0.0,0.0,0.0,,0.0,,4.0,5.0,21,2778
dag_5_nodes_7_edges_none_SF,MPC,0.0045375823974609375,0,0.0,0.0,0.0,,0.0,,4.0,5.0,22,2804
dag_5_nodes_7_edges_none_SF,MPC,0.0053179264068603516,0,0.0,0.0,0.0,,0.0,,4.0,5.0,23,2145
dag_5_nodes_7_edges_none_SF,MPC,0.0022542476654052734,0,0.0,0.0,0.0,,0.0,,4.0,5.0,24,150
dag_5_nodes_7_edges_none_SF,MPC,0.005234956741333008,0,0.0,0.0,0.0,,0.0,,4.0,5.0,25,8823
dag_5_nodes_7_edges_none_SF,MPC,0.0031855106353759766,0,0.0,0.0,0.0,,0.0,,4.0,5.0,26,4669
dag_5_nodes_7_edges_none_SF,MPC,0.0066070556640625,0,0.0,0.0,0.0,,0.0,,4.0,5.0,27,6131
dag_5_nodes_7_edges_none_SF,MPC,0.00331878662109375,0,0.0,0.0,0.0,,0.0,,4.0,5.0,28,2617
dag_5_nodes_7_edges_none_SF,MPC,0.0035834312438964844,0,0.0,0.0,0.0,,0.0,,4.0,5.0,29,7166
dag_5_nodes_7_edges_none_SF,MPC,0.0036089420318603516,0,0.0,0.0,0.0,,0.0,,4.0,5.0,30,1428
dag_5_nodes_7_edges_none_SF,MPC,0.0023643970489501953,0,0.0,0.0,0.0,,0.0,,4.0,5.0,31,8328
dag_5_nodes_7_edges_none_SF,MPC,0.0020742416381835938,0,0.0,0.0,0.0,,0.0,,4.0,5.0,32,8289
dag_5_nodes_7_edges_none_SF,MPC,0.005148887634277344,0,0.0,0.0,0.0,,0.0,,4.0,5.0,33,5978
dag_5_nodes_7_edges_none_SF,MPC,0.0027315616607666016,0,0.0,0.0,0.0,,0.0,,4.0,5.0,34,5511
dag_5_nodes_7_edges_none_SF,MPC,0.004717350006103516,0,0.0,0.0,0.0,,0.0,,4.0,5.0,35,5864
dag_5_nodes_7_edges_none_SF,MPC,0.006814479827880859,0,0.0,0.0,0.0,,0.0,,4.0,5.0,36,606
dag_5_nodes_7_edges_none_SF,MPC,0.004104137420654297,3,0.3333,0.5,0.1667,0.6667,0.5,0.5714,2.0,6.0,37,1933
dag_5_nodes_7_edges_none_SF,MPC,0.004590272903442383,0,0.0,0.0,0.0,,0.0,,4.0,5.0,38,6071
dag_5_nodes_7_edges_none_SF,MPC,0.003065347671508789,0,0.0,0.0,0.0,,0.0,,4.0,5.0,39,5504
