dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_5_nodes_7_edges_semantics_random,FGS,0.07273221015930176,5,0.6,0.2857,1.0,0.4,0.2857,0.3333,6.0,16.0,0,7816
dag_5_nodes_7_edges_semantics_random,FGS,0.0731658935546875,6,0.8333,0.1429,1.6667,0.1667,0.1429,0.1538,9.0,12.0,1,3578
dag_5_nodes_7_edges_semantics_random,FGS,0.06962966918945312,4,0.75,0.1429,1.0,0.25,0.1429,0.1818,7.0,17.0,2,2656
dag_5_nodes_7_edges_semantics_random,FGS,0.07249593734741211,6,0.8333,0.1429,1.6667,0.1667,0.1429,0.1538,9.0,17.0,3,2688
dag_5_nodes_7_edges_semantics_random,FGS,0.09845399856567383,6,0.5,0.4286,1.0,0.5,0.4286,0.4615,5.0,13.0,4,2494
dag_5_nodes_7_edges_semantics_random,FGS,0.07629227638244629,4,0.5,0.2857,0.6667,0.5,0.2857,0.3636,6.0,12.0,5,183
dag_5_nodes_7_edges_semantics_random,FGS,0.07341575622558594,4,0.5,0.2857,0.6667,0.5,0.2857,0.3636,6.0,12.0,6,7977
dag_5_nodes_7_edges_semantics_random,FGS,0.37769246101379395,3,0.6667,0.1429,0.6667,0.3333,0.1429,0.2,7.0,13.0,7,3199
dag_5_nodes_7_edges_semantics_random,FGS,0.07648277282714844,6,0.5,0.4286,1.0,0.5,0.4286,0.4615,4.0,14.0,8,316
dag_5_nodes_7_edges_semantics_random,FGS,0.07345318794250488,5,0.6,0.2857,1.0,0.4,0.2857,0.3333,7.0,10.0,9,8266
dag_5_nodes_7_edges_semantics_random,FGS,0.07125377655029297,6,0.6667,0.2857,1.3333,0.3333,0.2857,0.3077,5.0,17.0,10,1532
dag_5_nodes_7_edges_semantics_random,FGS,0.07163596153259277,4,0.5,0.2857,0.6667,0.5,0.2857,0.3636,5.0,17.0,11,1009
dag_5_nodes_7_edges_semantics_random,FGS,0.10389852523803711,4,0.5,0.2857,0.6667,0.5,0.2857,0.3636,5.0,17.0,12,2250
dag_5_nodes_7_edges_semantics_random,FGS,0.06890320777893066,5,0.4,0.4286,0.6667,0.6,0.4286,0.5,5.0,10.0,13,4447
