dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_10_nodes_10_edges_degrees_SF,BOSS,3.467707872390747,4,0.0,0.4444,0.0,0.75,0.3333,0.4615,7.0,14.0,26.0,0,7816
dag_10_nodes_10_edges_degrees_SF,BOSS,11.450065612792969,8,0.0,0.8889,0.0,0.625,0.5556,0.5882,7.0,1.0,58.0,1,3578
dag_10_nodes_10_edges_degrees_SF,BOSS,4.627347230911255,7,0.1429,0.6667,0.0278,0.4286,0.3333,0.375,8.0,27.0,50.0,2,2656
dag_10_nodes_10_edges_degrees_SF,BOSS,1.5115890502929688,7,0.0,0.7778,0.0,0.5714,0.4444,0.5,7.0,30.0,49.0,3,2688
dag_10_nodes_10_edges_degrees_SF,BOSS,2.29038405418396,5,0.0,0.5556,0.0,0.8,0.4444,0.5714,7.0,13.0,35.0,4,2494
dag_10_nodes_10_edges_degrees_SF,BOSS,5.026331424713135,10,0.1,1.0,0.0278,0.6,0.6667,0.6316,8.0,0.0,67.0,5,183
dag_10_nodes_10_edges_degrees_SF,BOSS,5.175307273864746,7,0.0,0.7778,0.0,0.5714,0.4444,0.5,7.0,30.0,49.0,6,7977
dag_10_nodes_10_edges_degrees_SF,BOSS,2.857167959213257,4,0.0,0.4444,0.0,0.75,0.3333,0.4615,7.0,14.0,26.0,7,3199
dag_10_nodes_10_edges_degrees_SF,BOSS,0.8148868083953857,3,0.0,0.3333,0.0,0.6667,0.2222,0.3333,7.0,10.0,22.0,8,316
dag_10_nodes_10_edges_degrees_SF,BOSS,5.068502426147461,6,0.1667,0.5556,0.0278,0.5,0.3333,0.4,8.0,12.0,34.0,9,8266
dag_10_nodes_10_edges_degrees_SF,BOSS,1.1521220207214355,3,0.0,0.3333,0.0,0.6667,0.2222,0.3333,8.0,15.0,23.0,10,1532
dag_10_nodes_10_edges_degrees_SF,BOSS,2.6590700149536133,6,0.0,0.6667,0.0,0.6667,0.4444,0.5333,7.0,19.0,41.0,11,1009
dag_10_nodes_10_edges_degrees_SF,BOSS,3.2368264198303223,4,0.0,0.4444,0.0,0.75,0.3333,0.4615,7.0,14.0,26.0,12,2250
dag_10_nodes_10_edges_degrees_SF,BOSS,2.2374625205993652,5,0.0,0.5556,0.0,0.8,0.4444,0.5714,7.0,13.0,35.0,13,4447
dag_10_nodes_10_edges_degrees_SF,BOSS,2.9423933029174805,10,0.2,0.8889,0.0556,0.5,0.5556,0.5263,9.0,1.0,58.0,14,2415
dag_10_nodes_10_edges_degrees_SF,BOSS,3.23712158203125,4,0.0,0.4444,0.0,0.75,0.3333,0.4615,7.0,14.0,26.0,15,3595
