dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_10_nodes_10_edges_degrees_random,GRaSP,4.918328046798706,10,0.0,1.0,0.0,0.6,0.6,0.6,8.0,0.0,68.0,0,7816
dag_10_nodes_10_edges_degrees_random,GRaSP,8.62888479232788,9,0.0,0.9,0.0,0.5556,0.5,0.5263,8.0,1.0,67.0,1,3578
dag_10_nodes_10_edges_degrees_random,GRaSP,9.650086641311646,10,0.0,1.0,0.0,0.6,0.6,0.6,8.0,0.0,68.0,2,2656
dag_10_nodes_10_edges_degrees_random,GRaSP,1.6492812633514404,8,0.0,0.8,0.0,0.5,0.4,0.4444,8.0,34.0,66.0,3,2688
dag_10_nodes_10_edges_degrees_random,GRaSP,3.3240461349487305,9,0.1111,0.8,0.0286,0.4444,0.4,0.4211,9.0,2.0,58.0,4,2494
dag_10_nodes_10_edges_degrees_random,GRaSP,4.72643780708313,9,0.0,0.9,0.0,0.5556,0.5,0.5263,9.0,4.0,68.0,5,183
dag_10_nodes_10_edges_degrees_random,GRaSP,5.32654595375061,10,0.0,1.0,0.0,0.6,0.6,0.6,8.0,0.0,68.0,6,7977
dag_10_nodes_10_edges_degrees_random,GRaSP,6.670148134231567,9,0.0,0.9,0.0,0.6667,0.6,0.6316,8.0,30.0,64.0,7,3199
dag_10_nodes_10_edges_degrees_random,GRaSP,2.459233283996582,8,0.0,0.8,0.0,0.625,0.5,0.5556,8.0,31.0,61.0,8,316
dag_10_nodes_10_edges_degrees_random,GRaSP,7.347253084182739,10,0.1,0.9,0.0286,0.5,0.5,0.5,9.0,1.0,67.0,9,8266
dag_10_nodes_10_edges_degrees_random,GRaSP,3.956477403640747,9,0.2222,0.7,0.0571,0.5556,0.5,0.5263,10.0,9.0,55.0,10,1532
dag_10_nodes_10_edges_degrees_random,GRaSP,6.569196939468384,10,0.0,1.0,0.0,0.6,0.6,0.6,8.0,0.0,68.0,11,1009
dag_10_nodes_10_edges_degrees_random,GRaSP,3.95788836479187,9,0.0,0.9,0.0,0.6667,0.6,0.6316,8.0,35.0,65.0,12,2250
dag_10_nodes_10_edges_degrees_random,GRaSP,3.6773691177368164,9,0.0,0.9,0.0,0.6667,0.6,0.6316,8.0,35.0,65.0,13,4447
dag_10_nodes_10_edges_degrees_random,GRaSP,1.2231600284576416,7,0.0,0.7,0.0,0.7143,0.5,0.5882,9.0,38.0,58.0,14,2415
dag_10_nodes_10_edges_degrees_random,GRaSP,6.545488357543945,9,0.0,0.9,0.0,0.6667,0.6,0.6316,8.0,35.0,65.0,15,3595
