dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_10_nodes_10_edges_none_SF,BOSS,1.648200273513794,0,0.0,0.0,0.0,,0.0,,9.0,12.0,0,7816
dag_10_nodes_10_edges_none_SF,BOSS,1.2404661178588867,0,0.0,0.0,0.0,,0.0,,9.0,12.0,1,3578
dag_10_nodes_10_edges_none_SF,BOSS,1.0653924942016602,2,0.0,0.2222,0.0,1.0,0.2222,0.3636,7.0,10.0,2,2656
dag_10_nodes_10_edges_none_SF,BOSS,0.6191906929016113,2,0.0,0.2222,0.0,1.0,0.2222,0.3636,7.0,10.0,3,2688
dag_10_nodes_10_edges_none_SF,BOSS,1.3723268508911133,2,0.0,0.2222,0.0,1.0,0.2222,0.3636,7.0,10.0,4,2494
dag_10_nodes_10_edges_none_SF,BOSS,0.7184197902679443,2,0.0,0.2222,0.0,1.0,0.2222,0.3636,7.0,10.0,5,183
dag_10_nodes_10_edges_none_SF,BOSS,1.7834362983703613,2,0.0,0.2222,0.0,1.0,0.2222,0.3636,7.0,10.0,6,7977
dag_10_nodes_10_edges_none_SF,BOSS,0.8205556869506836,2,0.0,0.2222,0.0,1.0,0.2222,0.3636,7.0,10.0,7,3199
dag_10_nodes_10_edges_none_SF,BOSS,2.9923558235168457,7,0.0,0.7778,0.0,1.0,0.7778,0.875,2.0,2.0,8,316
dag_10_nodes_10_edges_none_SF,BOSS,1.4567441940307617,2,0.0,0.2222,0.0,1.0,0.2222,0.3636,7.0,10.0,9,8266
dag_10_nodes_10_edges_none_SF,BOSS,1.0515086650848389,6,0.0,0.6667,0.0,1.0,0.6667,0.8,3.0,3.0,10,1532
dag_10_nodes_10_edges_none_SF,BOSS,1.2473013401031494,2,0.0,0.2222,0.0,1.0,0.2222,0.3636,7.0,10.0,11,1009
dag_10_nodes_10_edges_none_SF,BOSS,1.3654508590698242,2,0.0,0.2222,0.0,1.0,0.2222,0.3636,7.0,10.0,12,2250
dag_10_nodes_10_edges_none_SF,BOSS,1.3612992763519287,2,0.0,0.2222,0.0,1.0,0.2222,0.3636,7.0,10.0,13,4447
dag_10_nodes_10_edges_none_SF,BOSS,1.1512446403503418,2,0.0,0.2222,0.0,1.0,0.2222,0.3636,7.0,10.0,14,2415
dag_10_nodes_10_edges_none_SF,BOSS,1.4247896671295166,2,0.0,0.2222,0.0,1.0,0.2222,0.3636,7.0,10.0,15,3595
dag_10_nodes_10_edges_none_SF,BOSS,1.2639517784118652,2,0.0,0.2222,0.0,1.0,0.2222,0.3636,7.0,10.0,16,4187
dag_10_nodes_10_edges_none_SF,BOSS,1.786409854888916,2,0.0,0.2222,0.0,1.0,0.2222,0.3636,7.0,10.0,17,4135
