dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_10_nodes_10_edges_none_random,BOSS,3.0378150939941406,7,0.0,0.7,0.0,0.7143,0.5,0.5882,7.0,12.0,38.0,0,7816
dag_10_nodes_10_edges_none_random,BOSS,2.569187641143799,6,0.0,0.6,0.0,0.6667,0.4,0.5,7.0,14.0,30.0,1,3578
dag_10_nodes_10_edges_none_random,BOSS,6.6450419425964355,10,0.0,1.0,0.0,0.7,0.7,0.7,7.0,0.0,61.0,2,2656
dag_10_nodes_10_edges_none_random,BOSS,4.705322265625,8,0.0,0.8,0.0,0.75,0.6,0.6667,9.0,4.0,59.0,3,2688
dag_10_nodes_10_edges_none_random,BOSS,3.87835693359375,8,0.0,0.8,0.0,0.75,0.6,0.6667,8.0,4.0,52.0,4,2494
dag_10_nodes_10_edges_none_random,BOSS,2.980316638946533,10,0.0,1.0,0.0,0.7,0.7,0.7,7.0,0.0,61.0,5,183
dag_10_nodes_10_edges_none_random,BOSS,7.651030540466309,8,0.0,0.8,0.0,0.625,0.5,0.5556,8.0,35.0,53.0,6,7977
dag_10_nodes_10_edges_none_random,BOSS,5.264071226119995,9,0.0,0.9,0.0,0.6667,0.6,0.6316,7.0,32.0,55.0,7,3199
dag_10_nodes_10_edges_none_random,BOSS,4.182410955429077,9,0.1111,0.8,0.0286,0.5556,0.5,0.5263,8.0,2.0,56.0,8,316
dag_10_nodes_10_edges_none_random,BOSS,8.11317253112793,9,0.0,0.9,0.0,0.6667,0.6,0.6316,8.0,3.0,61.0,9,8266
dag_10_nodes_10_edges_none_random,BOSS,1.680603265762329,7,0.0,0.7,0.0,0.7143,0.5,0.5882,8.0,26.0,44.0,10,1532
dag_10_nodes_10_edges_none_random,BOSS,6.079456090927124,8,0.0,0.8,0.0,0.75,0.6,0.6667,8.0,4.0,52.0,11,1009
dag_10_nodes_10_edges_none_random,BOSS,4.6973631381988525,7,0.0,0.7,0.0,0.7143,0.5,0.5882,7.0,10.0,36.0,12,2250
dag_10_nodes_10_edges_none_random,BOSS,3.881366014480591,8,0.0,0.8,0.0,0.625,0.5,0.5556,8.0,4.0,57.0,13,4447
dag_10_nodes_10_edges_none_random,BOSS,5.806782245635986,10,0.0,1.0,0.0,0.7,0.7,0.7,7.0,0.0,61.0,14,2415
dag_10_nodes_10_edges_none_random,BOSS,4.372268438339233,9,0.1111,0.8,0.0286,0.6667,0.6,0.6316,8.0,5.0,46.0,15,3595
dag_10_nodes_10_edges_none_random,BOSS,11.673056840896606,10,0.0,1.0,0.0,0.7,0.7,0.7,7.0,0.0,61.0,16,4187
dag_10_nodes_10_edges_none_random,BOSS,3.4734296798706055,7,0.0,0.7,0.0,0.5714,0.4,0.4706,8.0,24.0,45.0,17,4135
dag_10_nodes_10_edges_none_random,BOSS,2.9701521396636963,6,0.0,0.6,0.0,0.6667,0.4,0.5,7.0,14.0,30.0,18,5174
dag_10_nodes_10_edges_none_random,BOSS,6.004935264587402,7,0.1429,0.6,0.0286,0.4286,0.3,0.3529,9.0,29.0,50.0,19,5303
dag_10_nodes_10_edges_none_random,BOSS,4.716389179229736,9,0.2222,0.7,0.0571,0.4444,0.4,0.4211,9.0,20.0,43.0,20,3942
dag_10_nodes_10_edges_none_random,BOSS,5.440011501312256,10,0.2,0.8,0.0571,0.5,0.5,0.5,9.0,14.0,46.0,21,2778
dag_10_nodes_10_edges_none_random,BOSS,1.851139783859253,6,0.0,0.6,0.0,0.6667,0.4,0.5,7.0,14.0,30.0,22,2804
dag_10_nodes_10_edges_none_random,BOSS,5.357425212860107,9,0.0,0.9,0.0,0.7778,0.7,0.7368,7.0,1.0,52.0,23,2145
dag_10_nodes_10_edges_none_random,BOSS,3.392315149307251,6,0.0,0.6,0.0,0.6667,0.4,0.5,7.0,14.0,30.0,24,150
dag_10_nodes_10_edges_none_random,BOSS,6.227705955505371,10,0.0,1.0,0.0,0.7,0.7,0.7,7.0,0.0,61.0,25,8823
dag_10_nodes_10_edges_none_random,BOSS,3.3784749507904053,6,0.0,0.6,0.0,0.6667,0.4,0.5,7.0,14.0,30.0,26,4669
dag_10_nodes_10_edges_none_random,BOSS,7.043323040008545,10,0.0,1.0,0.0,0.7,0.7,0.7,7.0,0.0,61.0,27,6131
dag_10_nodes_10_edges_none_random,BOSS,3.919107437133789,6,0.0,0.6,0.0,0.6667,0.4,0.5,8.0,15.0,36.0,28,2617
dag_10_nodes_10_edges_none_random,BOSS,3.982989549636841,9,0.0,0.9,0.0,0.6667,0.6,0.6316,8.0,3.0,61.0,29,7166
dag_10_nodes_10_edges_none_random,BOSS,3.7166571617126465,7,0.0,0.7,0.0,0.5714,0.4,0.4706,8.0,24.0,45.0,30,1428
dag_10_nodes_10_edges_none_random,BOSS,3.8355038166046143,8,0.0,0.8,0.0,0.75,0.6,0.6667,8.0,4.0,52.0,31,8328
dag_10_nodes_10_edges_none_random,BOSS,3.762840747833252,9,0.0,0.9,0.0,0.7778,0.7,0.7368,7.0,1.0,52.0,32,8289
dag_10_nodes_10_edges_none_random,BOSS,7.056891441345215,9,0.0,0.9,0.0,0.7778,0.7,0.7368,7.0,1.0,52.0,33,5978
dag_10_nodes_10_edges_none_random,BOSS,2.8720929622650146,7,0.1429,0.6,0.0286,0.4286,0.3,0.3529,8.0,16.0,40.0,34,5511
dag_10_nodes_10_edges_none_random,BOSS,4.08983588218689,9,0.0,0.9,0.0,0.6667,0.6,0.6316,8.0,3.0,61.0,35,5864
dag_10_nodes_10_edges_none_random,BOSS,6.377378463745117,9,0.0,0.9,0.0,0.6667,0.6,0.6316,7.0,1.0,60.0,36,606
dag_10_nodes_10_edges_none_random,BOSS,2.4101450443267822,6,0.0,0.6,0.0,0.6667,0.4,0.5,7.0,14.0,30.0,37,1933
dag_10_nodes_10_edges_none_random,BOSS,1.530200481414795,4,0.0,0.4,0.0,0.5,0.2,0.2857,7.0,11.0,25.0,38,6071
dag_10_nodes_10_edges_none_random,BOSS,2.034381866455078,6,0.1667,0.5,0.0286,0.3333,0.2,0.25,8.0,19.0,41.0,39,5504
dag_10_nodes_10_edges_none_random,BOSS,3.3506064414978027,6,0.0,0.6,0.0,0.6667,0.4,0.5,7.0,14.0,30.0,40,5163
