dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_10_nodes_10_edges_semantics_ER,BOSS,8.75836181640625,4,0.0,0.4,0.0,1.0,0.4,0.5714,6.0,23.0,0,7816
dag_10_nodes_10_edges_semantics_ER,BOSS,8.351502895355225,6,0.0,0.6,0.0,1.0,0.6,0.75,4.0,16.0,1,3578
dag_10_nodes_10_edges_semantics_ER,BOSS,15.476446866989136,6,0.0,0.6,0.0,1.0,0.6,0.75,4.0,16.0,2,2656
dag_10_nodes_10_edges_semantics_ER,BOSS,5.4107959270477295,6,0.0,0.6,0.0,1.0,0.6,0.75,4.0,16.0,3,2688
dag_10_nodes_10_edges_semantics_ER,BOSS,14.323538064956665,4,0.0,0.4,0.0,1.0,0.4,0.5714,6.0,30.0,4,2494
dag_10_nodes_10_edges_semantics_ER,BOSS,3.3739964962005615,0,0.0,0.0,0.0,,0.0,,10.0,40.0,5,183
dag_10_nodes_10_edges_semantics_ER,BOSS,8.198937892913818,2,0.0,0.2,0.0,1.0,0.2,0.3333,8.0,33.0,6,7977
dag_10_nodes_10_edges_semantics_ER,BOSS,8.961715936660767,2,0.0,0.2,0.0,1.0,0.2,0.3333,8.0,34.0,7,3199
dag_10_nodes_10_edges_semantics_ER,BOSS,17.24584436416626,6,0.0,0.6,0.0,1.0,0.6,0.75,4.0,16.0,8,316
dag_10_nodes_10_edges_semantics_ER,BOSS,10.15227198600769,4,0.0,0.4,0.0,1.0,0.4,0.5714,6.0,23.0,9,8266
dag_10_nodes_10_edges_semantics_ER,BOSS,10.91183876991272,6,0.1667,0.5,0.0286,0.8333,0.5,0.625,5.0,27.0,10,1532
dag_10_nodes_10_edges_semantics_ER,BOSS,16.475436210632324,2,0.0,0.2,0.0,1.0,0.2,0.3333,8.0,33.0,11,1009
dag_10_nodes_10_edges_semantics_ER,BOSS,13.923595428466797,4,0.0,0.4,0.0,1.0,0.4,0.5714,6.0,23.0,12,2250
dag_10_nodes_10_edges_semantics_ER,BOSS,9.022080421447754,8,0.375,0.5,0.0857,0.625,0.5,0.5556,6.0,25.0,13,4447
dag_10_nodes_10_edges_semantics_ER,BOSS,13.35551905632019,2,0.0,0.2,0.0,1.0,0.2,0.3333,8.0,33.0,14,2415
dag_10_nodes_10_edges_semantics_ER,BOSS,13.370812177658081,5,0.0,0.5,0.0,1.0,0.5,0.6667,5.0,25.0,15,3595
dag_10_nodes_10_edges_semantics_ER,BOSS,10.807323455810547,6,0.0,0.6,0.0,1.0,0.6,0.75,4.0,16.0,16,4187
dag_10_nodes_10_edges_semantics_ER,BOSS,11.269362211227417,2,0.0,0.2,0.0,1.0,0.2,0.3333,8.0,33.0,17,4135
dag_10_nodes_10_edges_semantics_ER,BOSS,18.333245038986206,5,0.2,0.4,0.0286,0.8,0.4,0.5333,6.0,36.0,18,5174
dag_10_nodes_10_edges_semantics_ER,BOSS,21.059909105300903,5,0.6,0.2,0.0857,0.4,0.2,0.2667,9.0,41.0,19,5303
dag_10_nodes_10_edges_semantics_ER,BOSS,9.695974111557007,6,0.0,0.6,0.0,1.0,0.6,0.75,4.0,16.0,20,3942
dag_10_nodes_10_edges_semantics_ER,BOSS,6.144491195678711,6,0.0,0.6,0.0,1.0,0.6,0.75,4.0,16.0,21,2778
dag_10_nodes_10_edges_semantics_ER,BOSS,9.3210928440094,6,0.0,0.6,0.0,1.0,0.6,0.75,4.0,16.0,22,2804
dag_10_nodes_10_edges_semantics_ER,BOSS,10.77903938293457,5,0.0,0.5,0.0,1.0,0.5,0.6667,5.0,25.0,23,2145
dag_10_nodes_10_edges_semantics_ER,BOSS,13.32175350189209,5,0.0,0.5,0.0,1.0,0.5,0.6667,5.0,25.0,24,150
dag_10_nodes_10_edges_semantics_ER,BOSS,8.044386863708496,6,0.0,0.6,0.0,1.0,0.6,0.75,4.0,16.0,25,8823
dag_10_nodes_10_edges_semantics_ER,BOSS,12.913674592971802,4,0.0,0.4,0.0,1.0,0.4,0.5714,6.0,27.0,26,4669
dag_10_nodes_10_edges_semantics_ER,BOSS,16.90135383605957,4,0.0,0.4,0.0,1.0,0.4,0.5714,6.0,23.0,27,6131
dag_10_nodes_10_edges_semantics_ER,BOSS,9.904649496078491,4,0.0,0.4,0.0,1.0,0.4,0.5714,6.0,27.0,28,2617
dag_10_nodes_10_edges_semantics_ER,BOSS,9.73801326751709,4,0.0,0.4,0.0,1.0,0.4,0.5714,6.0,23.0,29,7166
dag_10_nodes_10_edges_semantics_ER,BOSS,13.251567602157593,4,0.0,0.4,0.0,1.0,0.4,0.5714,6.0,27.0,30,1428
dag_10_nodes_10_edges_semantics_ER,BOSS,6.19281792640686,0,0.0,0.0,0.0,,0.0,,10.0,40.0,31,8328
dag_10_nodes_10_edges_semantics_ER,BOSS,11.218532085418701,6,0.0,0.6,0.0,1.0,0.6,0.75,4.0,16.0,32,8289
dag_10_nodes_10_edges_semantics_ER,BOSS,17.57523536682129,6,0.0,0.6,0.0,1.0,0.6,0.75,4.0,16.0,33,5978
dag_10_nodes_10_edges_semantics_ER,BOSS,10.349210739135742,5,0.0,0.5,0.0,1.0,0.5,0.6667,5.0,18.0,34,5511
dag_10_nodes_10_edges_semantics_ER,BOSS,5.560558557510376,0,0.0,0.0,0.0,,0.0,,10.0,40.0,35,5864
dag_10_nodes_10_edges_semantics_ER,BOSS,5.898983001708984,5,0.0,0.5,0.0,1.0,0.5,0.6667,5.0,18.0,36,606
dag_10_nodes_10_edges_semantics_ER,BOSS,8.087810039520264,2,0.0,0.2,0.0,1.0,0.2,0.3333,8.0,33.0,37,1933
dag_10_nodes_10_edges_semantics_ER,BOSS,10.21143889427185,5,0.6,0.2,0.0857,0.4,0.2,0.2667,9.0,43.0,38,6071
dag_10_nodes_10_edges_semantics_ER,BOSS,16.39410972595215,9,0.2222,0.7,0.0571,0.7778,0.7,0.7368,4.0,9.0,39,5504
dag_10_nodes_10_edges_semantics_ER,BOSS,11.379844427108765,6,0.0,0.6,0.0,1.0,0.6,0.75,4.0,16.0,40,5163
dag_10_nodes_10_edges_semantics_ER,BOSS,19.23054265975952,5,0.0,0.5,0.0,1.0,0.5,0.6667,5.0,25.0,41,2406
dag_10_nodes_10_edges_semantics_ER,BOSS,13.782375812530518,5,0.0,0.5,0.0,1.0,0.5,0.6667,5.0,25.0,42,304
dag_10_nodes_10_edges_semantics_ER,BOSS,18.445565462112427,6,0.0,0.6,0.0,1.0,0.6,0.75,4.0,16.0,43,3391
dag_10_nodes_10_edges_semantics_ER,BOSS,12.783177614212036,4,0.0,0.4,0.0,1.0,0.4,0.5714,6.0,30.0,44,359
dag_10_nodes_10_edges_semantics_ER,BOSS,13.012746334075928,5,0.0,0.5,0.0,1.0,0.5,0.6667,5.0,25.0,45,9096
dag_10_nodes_10_edges_semantics_ER,BOSS,7.619857549667358,6,0.0,0.6,0.0,1.0,0.6,0.75,4.0,16.0,46,3533
dag_10_nodes_10_edges_semantics_ER,BOSS,8.348913669586182,6,0.3333,0.4,0.0571,0.6667,0.4,0.5,6.0,38.0,47,4125
dag_10_nodes_10_edges_semantics_ER,BOSS,13.396934747695923,6,0.0,0.6,0.0,1.0,0.6,0.75,4.0,16.0,48,3094
dag_10_nodes_10_edges_semantics_ER,BOSS,11.388845920562744,6,0.0,0.6,0.0,1.0,0.6,0.75,4.0,16.0,49,6398
