dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_10_nodes_10_edges_semantics_SF,BOSS,0.6187372207641602,0,0.0,0.0,0.0,,0.0,,9.0,13.0,0,7816
dag_10_nodes_10_edges_semantics_SF,BOSS,1.1059298515319824,3,0.0,0.3333,0.0,1.0,0.3333,0.5,6.0,10.0,1,3578
dag_10_nodes_10_edges_semantics_SF,BOSS,1.8373310565948486,3,0.0,0.3333,0.0,1.0,0.3333,0.5,6.0,10.0,2,2656
dag_10_nodes_10_edges_semantics_SF,BOSS,1.2985098361968994,3,0.0,0.3333,0.0,1.0,0.3333,0.5,6.0,10.0,3,2688
dag_10_nodes_10_edges_semantics_SF,BOSS,2.2596724033355713,5,0.0,0.5556,0.0,1.0,0.5556,0.7143,4.0,5.0,4,2494
dag_10_nodes_10_edges_semantics_SF,BOSS,2.3617403507232666,5,0.4,0.3333,0.0556,0.6,0.3333,0.4286,7.0,11.0,5,183
dag_10_nodes_10_edges_semantics_SF,BOSS,1.851745843887329,3,0.0,0.3333,0.0,1.0,0.3333,0.5,6.0,10.0,6,7977
dag_10_nodes_10_edges_semantics_SF,BOSS,0.6138319969177246,0,0.0,0.0,0.0,,0.0,,9.0,13.0,7,3199
dag_10_nodes_10_edges_semantics_SF,BOSS,1.9501233100891113,8,0.0,0.8889,0.0,1.0,0.8889,0.9412,1.0,1.0,8,316
dag_10_nodes_10_edges_semantics_SF,BOSS,3.9953479766845703,8,0.375,0.5556,0.0833,0.625,0.5556,0.5882,5.0,14.0,9,8266
dag_10_nodes_10_edges_semantics_SF,BOSS,0.538067102432251,0,0.0,0.0,0.0,,0.0,,9.0,13.0,10,1532
dag_10_nodes_10_edges_semantics_SF,BOSS,1.6158041954040527,3,0.0,0.3333,0.0,1.0,0.3333,0.5,6.0,10.0,11,1009
dag_10_nodes_10_edges_semantics_SF,BOSS,1.9516048431396484,3,0.0,0.3333,0.0,1.0,0.3333,0.5,6.0,10.0,12,2250
dag_10_nodes_10_edges_semantics_SF,BOSS,3.8370180130004883,8,0.375,0.5556,0.0833,0.625,0.5556,0.5882,4.0,24.0,13,4447
dag_10_nodes_10_edges_semantics_SF,BOSS,0.9069750308990479,4,0.0,0.4444,0.0,1.0,0.4444,0.6154,5.0,6.0,14,2415
dag_10_nodes_10_edges_semantics_SF,BOSS,3.2458488941192627,4,0.0,0.4444,0.0,1.0,0.4444,0.6154,5.0,6.0,15,3595
dag_10_nodes_10_edges_semantics_SF,BOSS,0.9310591220855713,3,0.0,0.3333,0.0,1.0,0.3333,0.5,6.0,10.0,16,4187
dag_10_nodes_10_edges_semantics_SF,BOSS,1.8705894947052002,3,0.0,0.3333,0.0,1.0,0.3333,0.5,6.0,10.0,17,4135
dag_10_nodes_10_edges_semantics_SF,BOSS,1.8786890506744385,3,0.0,0.3333,0.0,1.0,0.3333,0.5,6.0,10.0,18,5174
dag_10_nodes_10_edges_semantics_SF,BOSS,1.0489678382873535,3,0.0,0.3333,0.0,1.0,0.3333,0.5,6.0,10.0,19,5303
dag_10_nodes_10_edges_semantics_SF,BOSS,1.543320894241333,3,0.0,0.3333,0.0,1.0,0.3333,0.5,6.0,10.0,20,3942
dag_10_nodes_10_edges_semantics_SF,BOSS,1.3789911270141602,3,0.0,0.3333,0.0,1.0,0.3333,0.5,6.0,10.0,21,2778
dag_10_nodes_10_edges_semantics_SF,BOSS,4.702279329299927,8,0.0,0.8889,0.0,1.0,0.8889,0.9412,1.0,1.0,22,2804
dag_10_nodes_10_edges_semantics_SF,BOSS,1.8014960289001465,6,0.0,0.6667,0.0,1.0,0.6667,0.8,3.0,6.0,23,2145
dag_10_nodes_10_edges_semantics_SF,BOSS,9.742298126220703,7,0.0,0.7778,0.0,1.0,0.7778,0.875,2.0,2.0,24,150
dag_10_nodes_10_edges_semantics_SF,BOSS,1.5069169998168945,3,0.0,0.3333,0.0,1.0,0.3333,0.5,6.0,10.0,25,8823
dag_10_nodes_10_edges_semantics_SF,BOSS,3.35002064704895,3,0.0,0.3333,0.0,1.0,0.3333,0.5,6.0,10.0,26,4669
dag_10_nodes_10_edges_semantics_SF,BOSS,1.4345905780792236,5,0.4,0.3333,0.0556,0.6,0.3333,0.4286,7.0,17.0,27,6131
dag_10_nodes_10_edges_semantics_SF,BOSS,0.7357385158538818,0,0.0,0.0,0.0,,0.0,,9.0,13.0,28,2617
dag_10_nodes_10_edges_semantics_SF,BOSS,0.9711272716522217,3,0.0,0.3333,0.0,1.0,0.3333,0.5,6.0,10.0,29,7166
dag_10_nodes_10_edges_semantics_SF,BOSS,7.112631559371948,8,0.0,0.8889,0.0,1.0,0.8889,0.9412,1.0,1.0,30,1428
