dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_10_nodes_15_edges_degrees_ER,BOSS,6.244112491607666,11,0.0,0.7333,0.0,0.5455,0.4,0.4615,12.0,17.0,85.0,0,7816
dag_10_nodes_15_edges_degrees_ER,BOSS,9.938802003860474,15,0.0,1.0,0.0,0.4667,0.4667,0.4667,12.0,0.0,86.0,1,3578
dag_10_nodes_15_edges_degrees_ER,BOSS,10.929901361465454,12,0.0,0.8,0.0,0.3333,0.2667,0.2963,13.0,7.0,86.0,2,2656
dag_10_nodes_15_edges_degrees_ER,BOSS,3.8821396827697754,14,0.0,0.9333,0.0,0.4286,0.4,0.4138,12.0,2.0,86.0,3,2688
dag_10_nodes_15_edges_degrees_ER,BOSS,15.287038326263428,14,0.0,0.9333,0.0,0.5,0.4667,0.4828,13.0,8.0,86.0,4,2494
dag_10_nodes_15_edges_degrees_ER,BOSS,10.23004412651062,15,0.0667,0.9333,0.0333,0.4,0.4,0.4,13.0,2.0,86.0,5,183
dag_10_nodes_15_edges_degrees_ER,BOSS,14.366227388381958,11,0.0,0.7333,0.0,0.4545,0.3333,0.3846,13.0,14.0,86.0,6,7977
dag_10_nodes_15_edges_degrees_ER,BOSS,4.465930223464966,11,0.0,0.7333,0.0,0.3636,0.2667,0.3077,13.0,8.0,86.0,7,3199
dag_10_nodes_15_edges_degrees_ER,BOSS,8.073016881942749,16,0.125,0.9333,0.0667,0.4375,0.4667,0.4516,14.0,1.0,77.0,8,316
dag_10_nodes_15_edges_degrees_ER,BOSS,9.573858261108398,13,0.0769,0.8,0.0333,0.3846,0.3333,0.3571,13.0,6.0,86.0,9,8266
dag_10_nodes_15_edges_degrees_ER,BOSS,13.148245334625244,10,0.0,0.6667,0.0,0.4,0.2667,0.32,12.0,16.0,77.0,10,1532
dag_10_nodes_15_edges_degrees_ER,BOSS,14.075424671173096,13,0.0769,0.8,0.0333,0.3077,0.2667,0.2857,14.0,7.0,86.0,11,1009
dag_10_nodes_15_edges_degrees_ER,BOSS,12.71127462387085,11,0.0,0.7333,0.0,0.3636,0.2667,0.3077,12.0,15.0,86.0,12,2250
dag_10_nodes_15_edges_degrees_ER,BOSS,11.739984273910522,12,0.0,0.8,0.0,0.5,0.4,0.4444,13.0,12.0,86.0,13,4447
dag_10_nodes_15_edges_degrees_ER,BOSS,11.288537502288818,12,0.0,0.8,0.0,0.4167,0.3333,0.3704,12.0,6.0,86.0,14,2415
dag_10_nodes_15_edges_degrees_ER,BOSS,13.493655681610107,14,0.0,0.9333,0.0,0.4286,0.4,0.4138,12.0,1.0,86.0,15,3595
dag_10_nodes_15_edges_degrees_ER,BOSS,10.901777982711792,12,0.0833,0.7333,0.0333,0.4167,0.3333,0.3704,14.0,17.0,84.0,16,4187
dag_10_nodes_15_edges_degrees_ER,BOSS,21.985098838806152,13,0.0769,0.8,0.0333,0.3846,0.3333,0.3571,13.0,10.0,78.0,17,4135
dag_10_nodes_15_edges_degrees_ER,BOSS,10.363424062728882,12,0.0833,0.7333,0.0333,0.4167,0.3333,0.3704,14.0,14.0,86.0,18,5174
dag_10_nodes_15_edges_degrees_ER,BOSS,10.947857856750488,14,0.1429,0.8,0.0667,0.5,0.4667,0.4828,14.0,18.0,85.0,19,5303
dag_10_nodes_15_edges_degrees_ER,BOSS,5.3793768882751465,13,0.0769,0.8,0.0333,0.3077,0.2667,0.2857,14.0,7.0,86.0,20,3942
dag_10_nodes_15_edges_degrees_ER,BOSS,11.725514888763428,15,0.0,1.0,0.0,0.4667,0.4667,0.4667,12.0,0.0,86.0,21,2778
dag_10_nodes_15_edges_degrees_ER,BOSS,5.43294358253479,10,0.0,0.6667,0.0,0.4,0.2667,0.32,13.0,14.0,86.0,22,2804
dag_10_nodes_15_edges_degrees_ER,BOSS,18.69580864906311,13,0.0,0.8667,0.0,0.3846,0.3333,0.3571,13.0,6.0,86.0,23,2145
dag_10_nodes_15_edges_degrees_ER,BOSS,10.063075065612793,10,0.0,0.6667,0.0,0.4,0.2667,0.32,13.0,21.0,85.0,24,150
dag_10_nodes_15_edges_degrees_ER,BOSS,12.452608823776245,13,0.0,0.8667,0.0,0.4615,0.4,0.4286,13.0,10.0,86.0,25,8823
dag_10_nodes_15_edges_degrees_ER,BOSS,21.911510944366455,16,0.1875,0.8667,0.1,0.375,0.4,0.3871,15.0,5.0,85.0,26,4669
dag_10_nodes_15_edges_degrees_ER,BOSS,20.858015060424805,13,0.0769,0.8,0.0333,0.3846,0.3333,0.3571,14.0,7.0,86.0,27,6131
dag_10_nodes_15_edges_degrees_ER,BOSS,10.90826416015625,11,0.0909,0.6667,0.0333,0.3636,0.2667,0.3077,14.0,21.0,85.0,28,2617
dag_10_nodes_15_edges_degrees_ER,BOSS,12.111034631729126,14,0.0,0.9333,0.0,0.5,0.4667,0.4828,12.0,6.0,86.0,29,7166
dag_10_nodes_15_edges_degrees_ER,BOSS,9.970099210739136,9,0.0,0.6,0.0,0.3333,0.2,0.25,13.0,16.0,77.0,30,1428
dag_10_nodes_15_edges_degrees_ER,BOSS,7.5830488204956055,12,0.0,0.8,0.0,0.4167,0.3333,0.3704,13.0,7.0,86.0,31,8328
dag_10_nodes_15_edges_degrees_ER,BOSS,20.44191288948059,13,0.0,0.8667,0.0,0.4615,0.4,0.4286,12.0,7.0,86.0,32,8289
dag_10_nodes_15_edges_degrees_ER,BOSS,20.552993535995483,10,0.1,0.6,0.0333,0.4,0.2667,0.32,14.0,16.0,85.0,33,5978
dag_10_nodes_15_edges_degrees_ER,BOSS,16.905588626861572,12,0.0,0.8,0.0,0.5,0.4,0.4444,13.0,13.0,86.0,34,5511
dag_10_nodes_15_edges_degrees_ER,BOSS,17.5386962890625,13,0.1538,0.7333,0.0667,0.3846,0.3333,0.3571,14.0,18.0,85.0,35,5864
dag_10_nodes_15_edges_degrees_ER,BOSS,15.76738953590393,12,0.0,0.8,0.0,0.5,0.4,0.4444,13.0,13.0,86.0,36,606
dag_10_nodes_15_edges_degrees_ER,BOSS,16.456756353378296,14,0.0714,0.8667,0.0333,0.4286,0.4,0.4138,14.0,6.0,86.0,37,1933
dag_10_nodes_15_edges_degrees_ER,BOSS,9.843769550323486,8,0.0,0.5333,0.0,0.5,0.2667,0.3478,12.0,21.0,77.0,38,6071
dag_10_nodes_15_edges_degrees_ER,BOSS,16.703556776046753,15,0.0667,0.9333,0.0333,0.4,0.4,0.4,13.0,1.0,86.0,39,5504
dag_10_nodes_15_edges_degrees_ER,BOSS,20.56811785697937,15,0.0,1.0,0.0,0.4667,0.4667,0.4667,12.0,0.0,86.0,40,5163
dag_10_nodes_15_edges_degrees_ER,BOSS,10.553498983383179,11,0.0,0.7333,0.0,0.3636,0.2667,0.3077,13.0,14.0,86.0,41,2406
dag_10_nodes_15_edges_degrees_ER,BOSS,10.752716541290283,10,0.1,0.6,0.0333,0.4,0.2667,0.32,14.0,30.0,78.0,42,304
dag_10_nodes_15_edges_degrees_ER,BOSS,21.33234143257141,14,0.0714,0.8667,0.0333,0.3571,0.3333,0.3448,14.0,6.0,86.0,43,3391
dag_10_nodes_15_edges_degrees_ER,BOSS,15.813386917114258,13,0.0769,0.8,0.0333,0.3846,0.3333,0.3571,14.0,14.0,85.0,44,359
dag_10_nodes_15_edges_degrees_ER,BOSS,5.895406723022461,11,0.0909,0.6667,0.0333,0.2727,0.2,0.2308,14.0,15.0,77.0,45,9096
dag_10_nodes_15_edges_degrees_ER,BOSS,8.736454010009766,13,0.0769,0.8,0.0333,0.4615,0.4,0.4286,13.0,13.0,76.0,46,3533
dag_10_nodes_15_edges_degrees_ER,BOSS,11.120976448059082,12,0.0833,0.7333,0.0333,0.5,0.4,0.4444,15.0,19.0,85.0,47,4125
dag_10_nodes_15_edges_degrees_ER,BOSS,35.38409948348999,15,0.0,1.0,0.0,0.4667,0.4667,0.4667,12.0,0.0,86.0,48,3094
dag_10_nodes_15_edges_degrees_ER,BOSS,13.0618417263031,15,0.0,1.0,0.0,0.4667,0.4667,0.4667,12.0,0.0,86.0,49,6398
