dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_10_nodes_15_edges_degrees_SF,GRaSP,1.0212147235870361,4,0.25,0.1765,0.0357,0.75,0.1765,0.2857,14.0,28.0,0,7816
dag_10_nodes_15_edges_degrees_SF,GRaSP,2.1580913066864014,6,0.0,0.3529,0.0,1.0,0.3529,0.5217,11.0,18.0,1,3578
dag_10_nodes_15_edges_degrees_SF,GRaSP,2.578265428543091,8,0.875,0.0588,0.25,0.125,0.0588,0.08,20.0,46.0,2,2656
dag_10_nodes_15_edges_degrees_SF,GRaSP,3.328211784362793,9,0.5556,0.2353,0.1786,0.4444,0.2353,0.3077,15.0,37.0,3,2688
dag_10_nodes_15_edges_degrees_SF,GRaSP,2.902156352996826,8,1.0,0.0,0.2857,0.0,0.0,,22.0,47.0,4,2494
dag_10_nodes_15_edges_degrees_SF,GRaSP,2.1515133380889893,5,0.0,0.2941,0.0,1.0,0.2941,0.4545,12.0,24.0,5,183
dag_10_nodes_15_edges_degrees_SF,GRaSP,8.313509464263916,9,0.4444,0.2941,0.1429,0.5556,0.2941,0.3846,14.0,34.0,6,7977
dag_10_nodes_15_edges_degrees_SF,GRaSP,2.5342254638671875,11,0.5455,0.2941,0.2143,0.4545,0.2941,0.3571,14.0,39.0,7,3199
dag_10_nodes_15_edges_degrees_SF,GRaSP,1.6261379718780518,8,0.0,0.4706,0.0,1.0,0.4706,0.64,9.0,14.0,8,316
dag_10_nodes_15_edges_degrees_SF,GRaSP,0.7605042457580566,2,1.0,0.0,0.0714,0.0,0.0,,18.0,39.0,9,8266
dag_10_nodes_15_edges_degrees_SF,GRaSP,3.04097580909729,8,0.0,0.4706,0.0,1.0,0.4706,0.64,9.0,13.0,10,1532
dag_10_nodes_15_edges_degrees_SF,GRaSP,4.33697509765625,8,0.0,0.4706,0.0,1.0,0.4706,0.64,9.0,18.0,11,1009
dag_10_nodes_15_edges_degrees_SF,GRaSP,1.131932258605957,5,0.6,0.1176,0.1071,0.4,0.1176,0.1818,16.0,49.0,12,2250
