dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_10_nodes_15_edges_none_ER,BOSS,14.033891916275024,11,0.2727,0.5333,0.1,0.7273,0.5333,0.6154,8.0,29.0,0,7816
dag_10_nodes_15_edges_none_ER,BOSS,11.110113143920898,6,0.0,0.4,0.0,1.0,0.4,0.5714,9.0,31.0,1,3578
dag_10_nodes_15_edges_none_ER,BOSS,19.927489757537842,7,0.0,0.4667,0.0,1.0,0.4667,0.6364,8.0,25.0,2,2656
dag_10_nodes_15_edges_none_ER,BOSS,4.802387475967407,9,0.0,0.6,0.0,1.0,0.6,0.75,6.0,23.0,3,2688
dag_10_nodes_15_edges_none_ER,BOSS,14.531118631362915,7,0.5714,0.2,0.1333,0.4286,0.2,0.2727,14.0,54.0,4,2494
dag_10_nodes_15_edges_none_ER,BOSS,2.7769105434417725,5,0.4,0.2,0.0667,0.6,0.2,0.3,13.0,49.0,5,183
dag_10_nodes_15_edges_none_ER,BOSS,14.141554594039917,7,0.1429,0.4,0.0333,0.8571,0.4,0.5455,9.0,34.0,6,7977
dag_10_nodes_15_edges_none_ER,BOSS,10.18163275718689,8,0.25,0.4,0.0667,0.75,0.4,0.5217,10.0,33.0,7,3199
dag_10_nodes_15_edges_none_ER,BOSS,6.09310245513916,10,0.0,0.6667,0.0,1.0,0.6667,0.8,5.0,24.0,8,316
dag_10_nodes_15_edges_none_ER,BOSS,6.564213037490845,5,0.0,0.3333,0.0,1.0,0.3333,0.5,10.0,33.0,9,8266
dag_10_nodes_15_edges_none_ER,BOSS,10.199319124221802,11,0.0,0.7333,0.0,1.0,0.7333,0.8462,4.0,17.0,10,1532
dag_10_nodes_15_edges_none_ER,BOSS,5.881665468215942,7,0.0,0.4667,0.0,1.0,0.4667,0.6364,8.0,25.0,11,1009
dag_10_nodes_15_edges_none_ER,BOSS,19.50487494468689,3,0.0,0.2,0.0,1.0,0.2,0.3333,12.0,41.0,12,2250
dag_10_nodes_15_edges_none_ER,BOSS,14.72203516960144,9,0.0,0.6,0.0,1.0,0.6,0.75,6.0,22.0,13,4447
dag_10_nodes_15_edges_none_ER,BOSS,8.598833322525024,13,0.2308,0.6667,0.1,0.7692,0.6667,0.7143,6.0,24.0,14,2415
dag_10_nodes_15_edges_none_ER,BOSS,15.914425373077393,3,0.0,0.2,0.0,1.0,0.2,0.3333,12.0,41.0,15,3595
dag_10_nodes_15_edges_none_ER,BOSS,9.057662010192871,7,0.0,0.4667,0.0,1.0,0.4667,0.6364,8.0,25.0,16,4187
