dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_10_nodes_15_edges_semantics_SF,BOSS,8.360851287841797,13,0.1538,0.6471,0.0714,0.3077,0.2353,0.2667,18.0,16.0,76.0,0,7816
dag_10_nodes_15_edges_semantics_SF,BOSS,11.83805251121521,12,0.0833,0.6471,0.0357,0.25,0.1765,0.2069,17.0,14.0,76.0,1,3578
dag_10_nodes_15_edges_semantics_SF,BOSS,5.684889793395996,11,0.0,0.6471,0.0,0.3636,0.2353,0.2857,17.0,11.0,73.0,2,2656
dag_10_nodes_15_edges_semantics_SF,BOSS,13.340056896209717,15,0.2,0.7059,0.1071,0.2667,0.2353,0.25,19.0,13.0,78.0,3,2688
dag_10_nodes_15_edges_semantics_SF,BOSS,6.149077653884888,13,0.1538,0.6471,0.0714,0.3846,0.2941,0.3333,19.0,15.0,82.0,4,2494
dag_10_nodes_15_edges_semantics_SF,BOSS,8.25429654121399,16,0.125,0.8235,0.0714,0.4375,0.4118,0.4242,18.0,11.0,77.0,5,183
dag_10_nodes_15_edges_semantics_SF,BOSS,9.12807297706604,12,0.25,0.5294,0.1071,0.3333,0.2353,0.2759,20.0,18.0,72.0,6,7977
dag_10_nodes_15_edges_semantics_SF,BOSS,7.205862283706665,14,0.2143,0.6471,0.1071,0.3571,0.2941,0.3226,20.0,15.0,72.0,7,3199
dag_10_nodes_15_edges_semantics_SF,BOSS,9.004455327987671,18,0.1667,0.8824,0.1071,0.3889,0.4118,0.4,19.0,10.0,84.0,8,316
dag_10_nodes_15_edges_semantics_SF,BOSS,4.441428184509277,10,0.4,0.3529,0.1429,0.1,0.0588,0.0741,21.0,27.0,65.0,9,8266
dag_10_nodes_15_edges_semantics_SF,BOSS,6.994341135025024,18,0.1667,0.8824,0.1071,0.3889,0.4118,0.4,19.0,10.0,84.0,10,1532
dag_10_nodes_15_edges_semantics_SF,BOSS,18.650219678878784,16,0.25,0.7059,0.1429,0.25,0.2353,0.2424,20.0,9.0,76.0,11,1009
dag_10_nodes_15_edges_semantics_SF,BOSS,15.256257057189941,12,0.0,0.7059,0.0,0.3333,0.2353,0.2759,16.0,9.0,76.0,12,2250
dag_10_nodes_15_edges_semantics_SF,BOSS,4.054484605789185,13,0.1538,0.6471,0.0714,0.4615,0.3529,0.4,19.0,19.0,73.0,13,4447
dag_10_nodes_15_edges_semantics_SF,BOSS,10.316166400909424,14,0.0,0.8235,0.0,0.4286,0.3529,0.3871,17.0,8.0,84.0,14,2415
dag_10_nodes_15_edges_semantics_SF,BOSS,7.8664231300354,12,0.0,0.7059,0.0,0.3333,0.2353,0.2759,16.0,9.0,76.0,15,3595
dag_10_nodes_15_edges_semantics_SF,BOSS,7.923927545547485,14,0.2857,0.5882,0.1429,0.2143,0.1765,0.1935,20.0,17.0,76.0,16,4187
dag_10_nodes_15_edges_semantics_SF,BOSS,14.218028545379639,12,0.0,0.7059,0.0,0.3333,0.2353,0.2759,16.0,9.0,76.0,17,4135
dag_10_nodes_15_edges_semantics_SF,BOSS,3.4353981018066406,10,0.0,0.5882,0.0,0.4,0.2353,0.2963,17.0,16.0,72.0,18,5174
dag_10_nodes_15_edges_semantics_SF,BOSS,10.379602909088135,13,0.1538,0.6471,0.0714,0.2308,0.1765,0.2,18.0,13.0,76.0,19,5303
dag_10_nodes_15_edges_semantics_SF,BOSS,8.850819826126099,12,0.0,0.7059,0.0,0.3333,0.2353,0.2759,16.0,9.0,76.0,20,3942
dag_10_nodes_15_edges_semantics_SF,BOSS,10.958158254623413,12,0.0,0.7059,0.0,0.3333,0.2353,0.2759,16.0,9.0,76.0,21,2778
dag_10_nodes_15_edges_semantics_SF,BOSS,4.752596855163574,15,0.0,0.8824,0.0,0.5333,0.4706,0.5,17.0,7.0,84.0,22,2804
dag_10_nodes_15_edges_semantics_SF,BOSS,3.9237351417541504,10,0.0,0.5882,0.0,0.6,0.3529,0.4444,16.0,19.0,69.0,23,2145
dag_10_nodes_15_edges_semantics_SF,BOSS,9.718977451324463,16,0.25,0.7059,0.1429,0.375,0.3529,0.3636,20.0,16.0,77.0,24,150
dag_10_nodes_15_edges_semantics_SF,BOSS,7.722170829772949,11,0.0909,0.5882,0.0357,0.3636,0.2353,0.2857,18.0,16.0,72.0,25,8823
dag_10_nodes_15_edges_semantics_SF,BOSS,7.326043605804443,14,0.2143,0.6471,0.1071,0.2857,0.2353,0.2581,19.0,14.0,76.0,26,4669
dag_10_nodes_15_edges_semantics_SF,BOSS,7.053487300872803,12,0.0,0.7059,0.0,0.3333,0.2353,0.2759,16.0,9.0,76.0,27,6131
dag_10_nodes_15_edges_semantics_SF,BOSS,5.065014362335205,12,0.0,0.7059,0.0,0.4167,0.2941,0.3448,16.0,19.0,75.0,28,2617
dag_10_nodes_15_edges_semantics_SF,BOSS,3.525301218032837,11,0.0,0.6471,0.0,0.2727,0.1765,0.2143,16.0,14.0,76.0,29,7166
dag_10_nodes_15_edges_semantics_SF,BOSS,5.2287232875823975,15,0.2667,0.6471,0.1429,0.4,0.3529,0.375,20.0,23.0,74.0,30,1428
dag_10_nodes_15_edges_semantics_SF,BOSS,11.988945484161377,12,0.0833,0.6471,0.0357,0.25,0.1765,0.2069,17.0,14.0,76.0,31,8328
dag_10_nodes_15_edges_semantics_SF,BOSS,11.517858982086182,12,0.1667,0.5882,0.0714,0.3333,0.2353,0.2759,19.0,16.0,72.0,32,8289
