dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_10_nodes_15_edges_semantics_SF,GRaSP,4.977121353149414,13,0.1538,0.6471,0.0714,0.3077,0.2353,0.2667,18.0,17.0,69.0,0,7816
dag_10_nodes_15_edges_semantics_SF,GRaSP,4.537747621536255,11,0.0,0.6471,0.0,0.2727,0.1765,0.2143,16.0,14.0,76.0,1,3578
dag_10_nodes_15_edges_semantics_SF,GRaSP,3.651411771774292,10,0.2,0.4706,0.0714,0.3,0.1765,0.2222,19.0,25.0,70.0,2,2656
dag_10_nodes_15_edges_semantics_SF,GRaSP,5.171384572982788,11,0.0,0.6471,0.0,0.2727,0.1765,0.2143,16.0,14.0,76.0,3,2688
dag_10_nodes_15_edges_semantics_SF,GRaSP,4.121743440628052,13,0.0,0.7647,0.0,0.5385,0.4118,0.4667,17.0,13.0,84.0,4,2494
dag_10_nodes_15_edges_semantics_SF,GRaSP,2.4204397201538086,13,0.2308,0.5882,0.1071,0.2308,0.1765,0.2,19.0,17.0,64.0,5,183
dag_10_nodes_15_edges_semantics_SF,GRaSP,7.893805980682373,10,0.0,0.5882,0.0,0.4,0.2353,0.2963,17.0,15.0,73.0,6,7977
dag_10_nodes_15_edges_semantics_SF,GRaSP,5.141598701477051,13,0.3077,0.5294,0.1429,0.2308,0.1765,0.2,21.0,17.0,73.0,7,3199
dag_10_nodes_15_edges_semantics_SF,GRaSP,7.152983665466309,17,0.0,1.0,0.0,0.4706,0.4706,0.4706,16.0,0.0,84.0,8,316
dag_10_nodes_15_edges_semantics_SF,GRaSP,3.3517813682556152,10,0.3,0.4118,0.1071,0.2,0.1176,0.1481,20.0,23.0,65.0,9,8266
dag_10_nodes_15_edges_semantics_SF,GRaSP,6.949566602706909,16,0.0,0.9412,0.0,0.4375,0.4118,0.4242,16.0,5.0,84.0,10,1532
dag_10_nodes_15_edges_semantics_SF,GRaSP,11.923619270324707,13,0.2308,0.5882,0.1071,0.2308,0.1765,0.2,19.0,30.0,64.0,11,1009
dag_10_nodes_15_edges_semantics_SF,GRaSP,11.380738496780396,12,0.0,0.7059,0.0,0.3333,0.2353,0.2759,16.0,9.0,76.0,12,2250
dag_10_nodes_15_edges_semantics_SF,GRaSP,3.3919031620025635,11,0.1818,0.5294,0.0714,0.3636,0.2353,0.2857,19.0,25.0,61.0,13,4447
dag_10_nodes_15_edges_semantics_SF,GRaSP,7.737224340438843,13,0.0,0.7647,0.0,0.4615,0.3529,0.4,17.0,12.0,84.0,14,2415
dag_10_nodes_15_edges_semantics_SF,GRaSP,6.790056228637695,12,0.0,0.7059,0.0,0.3333,0.2353,0.2759,16.0,9.0,76.0,15,3595
dag_10_nodes_15_edges_semantics_SF,GRaSP,2.7075250148773193,11,0.0909,0.5882,0.0357,0.2727,0.1765,0.2143,17.0,24.0,74.0,16,4187
dag_10_nodes_15_edges_semantics_SF,GRaSP,9.691955089569092,12,0.0,0.7059,0.0,0.3333,0.2353,0.2759,16.0,9.0,76.0,17,4135
dag_10_nodes_15_edges_semantics_SF,GRaSP,2.627208709716797,8,0.0,0.4706,0.0,0.5,0.2353,0.32,17.0,22.0,65.0,18,5174
dag_10_nodes_15_edges_semantics_SF,GRaSP,6.461559057235718,12,0.0,0.7059,0.0,0.3333,0.2353,0.2759,16.0,9.0,76.0,19,5303
dag_10_nodes_15_edges_semantics_SF,GRaSP,6.406068801879883,11,0.0909,0.5882,0.0357,0.3636,0.2353,0.2857,17.0,15.0,76.0,20,3942
dag_10_nodes_15_edges_semantics_SF,GRaSP,6.205193281173706,12,0.0,0.7059,0.0,0.3333,0.2353,0.2759,16.0,9.0,76.0,21,2778
dag_10_nodes_15_edges_semantics_SF,GRaSP,2.0933969020843506,11,0.0909,0.5882,0.0357,0.4545,0.2941,0.3571,18.0,22.0,74.0,22,2804
dag_10_nodes_15_edges_semantics_SF,GRaSP,2.7661023139953613,11,0.0909,0.5882,0.0357,0.5455,0.3529,0.4286,17.0,19.0,69.0,23,2145
dag_10_nodes_15_edges_semantics_SF,GRaSP,6.730467081069946,15,0.0,0.8824,0.0,0.4667,0.4118,0.4375,16.0,6.0,78.0,24,150
dag_10_nodes_15_edges_semantics_SF,GRaSP,10.333233833312988,11,0.0,0.6471,0.0,0.3636,0.2353,0.2857,17.0,11.0,73.0,25,8823
dag_10_nodes_15_edges_semantics_SF,GRaSP,6.191441059112549,14,0.2143,0.6471,0.1071,0.2857,0.2353,0.2581,19.0,14.0,76.0,26,4669
dag_10_nodes_15_edges_semantics_SF,GRaSP,5.722097873687744,12,0.0,0.7059,0.0,0.3333,0.2353,0.2759,16.0,9.0,76.0,27,6131
dag_10_nodes_15_edges_semantics_SF,GRaSP,2.5380892753601074,13,0.0,0.7647,0.0,0.3846,0.2941,0.3333,16.0,18.0,75.0,28,2617
dag_10_nodes_15_edges_semantics_SF,GRaSP,3.437877655029297,10,0.0,0.5882,0.0,0.3,0.1765,0.2222,16.0,20.0,74.0,29,7166
dag_10_nodes_15_edges_semantics_SF,GRaSP,3.7797698974609375,15,0.0,0.8824,0.0,0.4667,0.4118,0.4375,16.0,6.0,78.0,30,1428
dag_10_nodes_15_edges_semantics_SF,GRaSP,8.552830696105957,14,0.2143,0.6471,0.1071,0.2857,0.2353,0.2581,19.0,13.0,76.0,31,8328
dag_10_nodes_15_edges_semantics_SF,GRaSP,11.36217737197876,10,0.1,0.5294,0.0357,0.4,0.2353,0.2963,18.0,21.0,71.0,32,8289
dag_10_nodes_15_edges_semantics_SF,GRaSP,6.221415042877197,10,0.0,0.5882,0.0,0.2,0.1176,0.1481,16.0,17.0,69.0,33,5978
dag_10_nodes_15_edges_semantics_SF,GRaSP,4.431938886642456,12,0.1667,0.5882,0.0714,0.5,0.3529,0.4138,18.0,19.0,70.0,34,5511
dag_10_nodes_15_edges_semantics_SF,GRaSP,7.960145473480225,17,0.0588,0.9412,0.0357,0.4118,0.4118,0.4118,17.0,5.0,84.0,35,5864
dag_10_nodes_15_edges_semantics_SF,GRaSP,2.596989154815674,15,0.4,0.5294,0.2143,0.4,0.3529,0.375,23.0,22.0,66.0,36,606
dag_10_nodes_15_edges_semantics_SF,GRaSP,4.251168251037598,15,0.0,0.8824,0.0,0.5333,0.4706,0.5,17.0,7.0,83.0,37,1933
dag_10_nodes_15_edges_semantics_SF,GRaSP,3.0979630947113037,12,0.0,0.7059,0.0,0.3333,0.2353,0.2759,16.0,17.0,81.0,38,6071
dag_10_nodes_15_edges_semantics_SF,GRaSP,8.841593980789185,12,0.0,0.7059,0.0,0.3333,0.2353,0.2759,16.0,9.0,76.0,39,5504
dag_10_nodes_15_edges_semantics_SF,GRaSP,3.5114948749542236,9,0.0,0.5294,0.0,0.2222,0.1176,0.1538,16.0,44.0,65.0,40,5163
dag_10_nodes_15_edges_semantics_SF,GRaSP,1.9126317501068115,9,0.2222,0.4118,0.0714,0.2222,0.1176,0.1538,18.0,29.0,66.0,41,2406
dag_10_nodes_15_edges_semantics_SF,GRaSP,2.2917778491973877,8,0.0,0.4706,0.0,0.25,0.1176,0.16,16.0,24.0,68.0,42,304
dag_10_nodes_15_edges_semantics_SF,GRaSP,6.9333624839782715,13,0.0,0.7647,0.0,0.3077,0.2353,0.2667,16.0,8.0,82.0,43,3391
dag_10_nodes_15_edges_semantics_SF,GRaSP,5.528298377990723,15,0.2,0.7059,0.1071,0.3333,0.2941,0.3125,19.0,17.0,77.0,44,359
