dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_15_nodes_15_edges_degrees_random,BOSS,18.065073013305664,14,0.0,0.9333,0.0,0.5,0.4667,0.4828,11.0,1.0,109.0,0,7816
dag_15_nodes_15_edges_degrees_random,BOSS,8.054613590240479,12,0.0,0.8,0.0,0.4167,0.3333,0.3704,10.0,39.0,80.0,1,3578
dag_15_nodes_15_edges_degrees_random,BOSS,14.724775314331055,12,0.0,0.8,0.0,0.5,0.4,0.4444,11.0,52.0,83.0,2,2656
dag_15_nodes_15_edges_degrees_random,BOSS,12.597303867340088,11,0.0,0.7333,0.0,0.3636,0.2667,0.3077,10.0,40.0,71.0,3,2688
dag_15_nodes_15_edges_degrees_random,BOSS,12.14708161354065,11,0.0,0.7333,0.0,0.3636,0.2667,0.3077,10.0,40.0,71.0,4,2494
dag_15_nodes_15_edges_degrees_random,BOSS,24.706523656845093,11,0.0,0.7333,0.0,0.3636,0.2667,0.3077,11.0,35.0,77.0,5,183
dag_15_nodes_15_edges_degrees_random,BOSS,7.695329189300537,11,0.0,0.7333,0.0,0.3636,0.2667,0.3077,11.0,10.0,83.0,6,7977
dag_15_nodes_15_edges_degrees_random,BOSS,19.530723333358765,15,0.0667,0.9333,0.0111,0.4,0.4,0.4,12.0,2.0,112.0,7,3199
dag_15_nodes_15_edges_degrees_random,BOSS,18.128180980682373,13,0.0,0.8667,0.0,0.5385,0.4667,0.5,10.0,2.0,104.0,8,316
dag_15_nodes_15_edges_degrees_random,BOSS,15.175343990325928,12,0.0,0.8,0.0,0.3333,0.2667,0.2963,10.0,34.0,80.0,9,8266
dag_15_nodes_15_edges_degrees_random,BOSS,13.018635511398315,12,0.0,0.8,0.0,0.3333,0.2667,0.2963,10.0,7.0,88.0,10,1532
dag_15_nodes_15_edges_degrees_random,BOSS,24.13341522216797,15,0.0,1.0,0.0,0.4667,0.4667,0.4667,10.0,0.0,112.0,11,1009
dag_15_nodes_15_edges_degrees_random,BOSS,10.803558349609375,12,0.0,0.8,0.0,0.4167,0.3333,0.3704,10.0,37.0,83.0,12,2250
dag_15_nodes_15_edges_degrees_random,BOSS,9.757356882095337,11,0.0,0.7333,0.0,0.3636,0.2667,0.3077,10.0,40.0,71.0,13,4447
dag_15_nodes_15_edges_degrees_random,BOSS,17.515305042266846,11,0.0,0.7333,0.0,0.3636,0.2667,0.3077,11.0,35.0,77.0,14,2415
dag_15_nodes_15_edges_degrees_random,BOSS,13.749141216278076,15,0.0,1.0,0.0,0.4667,0.4667,0.4667,10.0,0.0,112.0,15,3595
dag_15_nodes_15_edges_degrees_random,BOSS,20.372442960739136,14,0.0,0.9333,0.0,0.4286,0.4,0.4138,11.0,2.0,112.0,16,4187
dag_15_nodes_15_edges_degrees_random,BOSS,10.649025201797485,11,0.0,0.7333,0.0,0.3636,0.2667,0.3077,10.0,40.0,71.0,17,4135
dag_15_nodes_15_edges_degrees_random,BOSS,17.601443767547607,12,0.0,0.8,0.0,0.5,0.4,0.4444,11.0,52.0,83.0,18,5174
dag_15_nodes_15_edges_degrees_random,BOSS,16.472032070159912,15,0.0,1.0,0.0,0.4667,0.4667,0.4667,10.0,0.0,112.0,19,5303
dag_15_nodes_15_edges_degrees_random,BOSS,9.669622659683228,10,0.0,0.6667,0.0,0.3,0.2,0.24,10.0,31.0,66.0,20,3942
dag_15_nodes_15_edges_degrees_random,BOSS,12.871994495391846,13,0.0,0.8667,0.0,0.3846,0.3333,0.3571,11.0,6.0,103.0,21,2778
dag_15_nodes_15_edges_degrees_random,BOSS,9.817036390304565,11,0.0,0.7333,0.0,0.3636,0.2667,0.3077,10.0,40.0,71.0,22,2804
dag_15_nodes_15_edges_degrees_random,BOSS,10.240445375442505,14,0.0,0.9333,0.0,0.4286,0.4,0.4138,10.0,3.0,100.0,23,2145
dag_15_nodes_15_edges_degrees_random,BOSS,22.30598497390747,17,0.1765,0.9333,0.0333,0.3529,0.4,0.375,14.0,2.0,112.0,24,150
dag_15_nodes_15_edges_degrees_random,BOSS,10.999509572982788,14,0.0,0.9333,0.0,0.4286,0.4,0.4138,11.0,2.0,112.0,25,8823
dag_15_nodes_15_edges_degrees_random,BOSS,23.9166522026062,14,0.0,0.9333,0.0,0.4286,0.4,0.4138,10.0,3.0,108.0,26,4669
dag_15_nodes_15_edges_degrees_random,BOSS,18.835302591323853,14,0.0,0.9333,0.0,0.5,0.4667,0.4828,11.0,1.0,109.0,27,6131
dag_15_nodes_15_edges_degrees_random,BOSS,6.833028316497803,9,0.0,0.6,0.0,0.4444,0.2667,0.3333,11.0,35.0,70.0,28,2617
dag_15_nodes_15_edges_degrees_random,BOSS,15.381588697433472,14,0.0,0.9333,0.0,0.5,0.4667,0.4828,11.0,1.0,109.0,29,7166
dag_15_nodes_15_edges_degrees_random,BOSS,14.865449666976929,13,0.0,0.8667,0.0,0.3846,0.3333,0.3571,10.0,7.0,91.0,30,1428
dag_15_nodes_15_edges_degrees_random,BOSS,20.046416759490967,13,0.0,0.8667,0.0,0.4615,0.4,0.4286,11.0,5.0,98.0,31,8328
dag_15_nodes_15_edges_degrees_random,BOSS,21.942335844039917,14,0.0,0.9333,0.0,0.5,0.4667,0.4828,11.0,1.0,109.0,32,8289
dag_15_nodes_15_edges_degrees_random,BOSS,9.482975959777832,11,0.0,0.7333,0.0,0.3636,0.2667,0.3077,10.0,40.0,71.0,33,5978
dag_15_nodes_15_edges_degrees_random,BOSS,16.27449083328247,14,0.0,0.9333,0.0,0.5,0.4667,0.4828,11.0,1.0,109.0,34,5511
dag_15_nodes_15_edges_degrees_random,BOSS,16.014310836791992,15,0.2667,0.7333,0.0444,0.2,0.2,0.2,14.0,10.0,75.0,35,5864
dag_15_nodes_15_edges_degrees_random,BOSS,17.24658751487732,14,0.0,0.9333,0.0,0.5,0.4667,0.4828,10.0,3.0,109.0,36,606
dag_15_nodes_15_edges_degrees_random,BOSS,7.134731769561768,11,0.0,0.7333,0.0,0.3636,0.2667,0.3077,10.0,40.0,71.0,37,1933
dag_15_nodes_15_edges_degrees_random,BOSS,11.609495401382446,15,0.0,1.0,0.0,0.4667,0.4667,0.4667,10.0,0.0,112.0,38,6071
dag_15_nodes_15_edges_degrees_random,BOSS,16.962795972824097,14,0.0,0.9333,0.0,0.5,0.4667,0.4828,11.0,1.0,109.0,39,5504
dag_15_nodes_15_edges_degrees_random,BOSS,22.374353408813477,14,0.0,0.9333,0.0,0.4286,0.4,0.4138,10.0,4.0,101.0,40,5163
dag_15_nodes_15_edges_degrees_random,BOSS,12.268835067749023,11,0.0,0.7333,0.0,0.3636,0.2667,0.3077,10.0,40.0,71.0,41,2406
dag_15_nodes_15_edges_degrees_random,BOSS,10.317164659500122,11,0.0,0.7333,0.0,0.3636,0.2667,0.3077,10.0,40.0,71.0,42,304
dag_15_nodes_15_edges_degrees_random,BOSS,6.4206461906433105,9,0.0,0.6,0.0,0.2222,0.1333,0.1667,10.0,34.0,62.0,43,3391
dag_15_nodes_15_edges_degrees_random,BOSS,14.491357326507568,11,0.0,0.7333,0.0,0.3636,0.2667,0.3077,10.0,40.0,71.0,44,359
dag_15_nodes_15_edges_degrees_random,BOSS,7.551241159439087,10,0.0,0.6667,0.0,0.4,0.2667,0.32,11.0,42.0,69.0,45,9096
dag_15_nodes_15_edges_degrees_random,BOSS,18.08267045021057,14,0.0,0.9333,0.0,0.4286,0.4,0.4138,10.0,4.0,103.0,46,3533
dag_15_nodes_15_edges_degrees_random,BOSS,25.44153666496277,14,0.0,0.9333,0.0,0.4286,0.4,0.4138,10.0,4.0,101.0,47,4125
dag_15_nodes_15_edges_degrees_random,BOSS,22.910422325134277,14,0.0714,0.8667,0.0111,0.4286,0.4,0.4138,12.0,5.0,98.0,48,3094
dag_15_nodes_15_edges_degrees_random,BOSS,36.918853521347046,14,0.0,0.9333,0.0,0.5,0.4667,0.4828,10.0,1.0,108.0,49,6398
