dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_15_nodes_15_edges_none_SF,GRaSP,3.327609062194824,6,0.0,0.4286,0.0,0.1667,0.0714,0.1,13.0,43.0,73.0,0,7816
dag_15_nodes_15_edges_none_SF,GRaSP,8.39402961730957,8,0.125,0.5,0.011,0.125,0.0714,0.0909,14.0,31.0,75.0,1,3578
dag_15_nodes_15_edges_none_SF,GRaSP,5.073707103729248,6,0.0,0.4286,0.0,0.1667,0.0714,0.1,13.0,43.0,66.0,2,2656
dag_15_nodes_15_edges_none_SF,GRaSP,3.894853353500366,9,0.2222,0.5,0.022,0.2222,0.1429,0.1739,15.0,29.0,71.0,3,2688
dag_15_nodes_15_edges_none_SF,GRaSP,3.796281337738037,6,0.0,0.4286,0.0,0.1667,0.0714,0.1,13.0,43.0,66.0,4,2494
dag_15_nodes_15_edges_none_SF,GRaSP,1.7483398914337158,6,0.0,0.4286,0.0,0.1667,0.0714,0.1,13.0,43.0,66.0,5,183
dag_15_nodes_15_edges_none_SF,GRaSP,5.760761260986328,7,0.1429,0.4286,0.011,0.1429,0.0714,0.0952,14.0,32.0,62.0,6,7977
dag_15_nodes_15_edges_none_SF,GRaSP,6.99544358253479,6,0.0,0.4286,0.0,0.1667,0.0714,0.1,13.0,43.0,66.0,7,3199
dag_15_nodes_15_edges_none_SF,GRaSP,1.4961352348327637,5,0.0,0.3571,0.0,0.0,0.0,,13.0,29.0,52.0,8,316
dag_15_nodes_15_edges_none_SF,GRaSP,6.233197450637817,5,0.0,0.3571,0.0,0.2,0.0714,0.1053,13.0,35.0,65.0,9,8266
dag_15_nodes_15_edges_none_SF,GRaSP,1.8975980281829834,7,0.0,0.5,0.0,0.1429,0.0714,0.0952,13.0,46.0,76.0,10,1532
dag_15_nodes_15_edges_none_SF,GRaSP,1.732179880142212,4,0.0,0.2857,0.0,0.0,0.0,,13.0,17.0,40.0,11,1009
dag_15_nodes_15_edges_none_SF,GRaSP,4.623209714889526,8,0.0,0.5714,0.0,0.375,0.2143,0.2727,13.0,49.0,83.0,12,2250
dag_15_nodes_15_edges_none_SF,GRaSP,2.253185987472534,5,0.0,0.3571,0.0,0.2,0.0714,0.1053,13.0,40.0,63.0,13,4447
dag_15_nodes_15_edges_none_SF,GRaSP,8.319431066513062,5,0.0,0.3571,0.0,0.2,0.0714,0.1053,13.0,40.0,63.0,14,2415
dag_15_nodes_15_edges_none_SF,GRaSP,4.9580278396606445,7,0.1429,0.4286,0.011,0.1429,0.0714,0.0952,14.0,32.0,65.0,15,3595
dag_15_nodes_15_edges_none_SF,GRaSP,3.016756296157837,6,0.0,0.4286,0.0,0.3333,0.1429,0.2,13.0,30.0,64.0,16,4187
dag_15_nodes_15_edges_none_SF,GRaSP,4.316069602966309,5,0.0,0.3571,0.0,0.0,0.0,,13.0,29.0,52.0,17,4135
dag_15_nodes_15_edges_none_SF,GRaSP,7.160664796829224,7,0.2857,0.3571,0.022,0.1429,0.0714,0.0952,15.0,25.0,62.0,18,5174
dag_15_nodes_15_edges_none_SF,GRaSP,1.8167715072631836,6,0.0,0.4286,0.0,0.1667,0.0714,0.1,13.0,26.0,60.0,19,5303
dag_15_nodes_15_edges_none_SF,GRaSP,3.272104501724243,4,0.0,0.2857,0.0,0.0,0.0,,13.0,17.0,40.0,20,3942
dag_15_nodes_15_edges_none_SF,GRaSP,3.5389647483825684,4,0.0,0.2857,0.0,0.0,0.0,,13.0,24.0,47.0,21,2778
dag_15_nodes_15_edges_none_SF,GRaSP,2.0743966102600098,7,0.1429,0.4286,0.011,0.1429,0.0714,0.0952,14.0,43.0,73.0,22,2804
dag_15_nodes_15_edges_none_SF,GRaSP,3.099574327468872,6,0.0,0.4286,0.0,0.1667,0.0714,0.1,13.0,43.0,66.0,23,2145
dag_15_nodes_15_edges_none_SF,GRaSP,5.344696521759033,6,0.0,0.4286,0.0,0.1667,0.0714,0.1,13.0,43.0,66.0,24,150
dag_15_nodes_15_edges_none_SF,GRaSP,3.2379307746887207,5,0.0,0.3571,0.0,0.2,0.0714,0.1053,13.0,28.0,58.0,25,8823
dag_15_nodes_15_edges_none_SF,GRaSP,5.719820022583008,6,0.0,0.4286,0.0,0.1667,0.0714,0.1,13.0,43.0,66.0,26,4669
