dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_15_nodes_15_edges_none_random,GRaSP,13.694917440414429,8,0.0,0.5333,0.0,1.0,0.5333,0.6957,7.0,36.0,0,7816
dag_15_nodes_15_edges_none_random,GRaSP,24.808130264282227,13,0.0,0.8667,0.0,1.0,0.8667,0.9286,2.0,7.0,1,3578
dag_15_nodes_15_edges_none_random,GRaSP,10.385309219360352,12,0.1667,0.6667,0.0222,0.8333,0.6667,0.7407,5.0,37.0,2,2656
dag_15_nodes_15_edges_none_random,GRaSP,12.878768682479858,7,1.0,0.0,0.0778,0.0,0.0,,18.0,70.0,3,2688
dag_15_nodes_15_edges_none_random,GRaSP,14.407146215438843,9,0.5556,0.2667,0.0556,0.4444,0.2667,0.3333,14.0,49.0,4,2494
dag_15_nodes_15_edges_none_random,GRaSP,8.993242025375366,6,0.0,0.4,0.0,1.0,0.4,0.5714,9.0,44.0,5,183
dag_15_nodes_15_edges_none_random,GRaSP,14.170634269714355,7,0.4286,0.2667,0.0333,0.5714,0.2667,0.3636,12.0,46.0,6,7977
dag_15_nodes_15_edges_none_random,GRaSP,9.065178155899048,8,0.0,0.5333,0.0,1.0,0.5333,0.6957,7.0,32.0,7,3199
dag_15_nodes_15_edges_none_random,GRaSP,12.103027820587158,10,0.2,0.5333,0.0222,0.8,0.5333,0.64,8.0,38.0,8,316
dag_15_nodes_15_edges_none_random,GRaSP,20.448468923568726,15,0.2,0.8,0.0333,0.8,0.8,0.8,4.0,23.0,9,8266
dag_15_nodes_15_edges_none_random,GRaSP,13.553751707077026,10,0.0,0.6667,0.0,1.0,0.6667,0.8,5.0,18.0,10,1532
dag_15_nodes_15_edges_none_random,GRaSP,23.218601942062378,9,0.0,0.6,0.0,1.0,0.6,0.75,6.0,25.0,11,1009
dag_15_nodes_15_edges_none_random,GRaSP,12.007678747177124,6,0.0,0.4,0.0,1.0,0.4,0.5714,9.0,35.0,12,2250
dag_15_nodes_15_edges_none_random,GRaSP,10.904211521148682,4,0.0,0.2667,0.0,1.0,0.2667,0.4211,11.0,50.0,13,4447
dag_15_nodes_15_edges_none_random,GRaSP,12.855871200561523,7,0.2857,0.3333,0.0222,0.7143,0.3333,0.4545,10.0,58.0,14,2415
dag_15_nodes_15_edges_none_random,GRaSP,12.708675146102905,7,0.0,0.4667,0.0,1.0,0.4667,0.6364,8.0,33.0,15,3595
dag_15_nodes_15_edges_none_random,GRaSP,21.360328435897827,7,0.0,0.4667,0.0,1.0,0.4667,0.6364,8.0,33.0,16,4187
dag_15_nodes_15_edges_none_random,GRaSP,14.48363733291626,7,0.0,0.4667,0.0,1.0,0.4667,0.6364,8.0,33.0,17,4135
dag_15_nodes_15_edges_none_random,GRaSP,12.620070934295654,13,0.4615,0.4667,0.0667,0.5385,0.4667,0.5,10.0,47.0,18,5174
dag_15_nodes_15_edges_none_random,GRaSP,14.666050434112549,9,0.0,0.6,0.0,1.0,0.6,0.75,6.0,25.0,19,5303
dag_15_nodes_15_edges_none_random,GRaSP,11.608660697937012,11,0.0,0.7333,0.0,1.0,0.7333,0.8462,4.0,20.0,20,3942
