dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_15_nodes_22_edges_degrees_ER,GRaSP,13.595910787582397,10,0.2,0.3636,0.0241,0.8,0.3636,0.5,15.0,67.0,0,7816
dag_15_nodes_22_edges_degrees_ER,GRaSP,22.395421743392944,11,0.0,0.5,0.0,1.0,0.5,0.6667,11.0,53.0,1,3578
dag_15_nodes_22_edges_degrees_ER,GRaSP,19.80590319633484,11,0.1818,0.4091,0.0241,0.8182,0.4091,0.5455,14.0,65.0,2,2656
dag_15_nodes_22_edges_degrees_ER,GRaSP,6.8303961753845215,8,0.25,0.2727,0.0241,0.75,0.2727,0.4,17.0,89.0,3,2688
dag_15_nodes_22_edges_degrees_ER,GRaSP,14.690480947494507,9,0.0,0.4091,0.0,1.0,0.4091,0.5806,13.0,64.0,4,2494
dag_15_nodes_22_edges_degrees_ER,GRaSP,18.762697458267212,13,0.2308,0.4545,0.0361,0.7692,0.4545,0.5714,14.0,71.0,5,183
dag_15_nodes_22_edges_degrees_ER,GRaSP,9.977407217025757,9,0.0,0.4091,0.0,1.0,0.4091,0.5806,13.0,63.0,6,7977
dag_15_nodes_22_edges_degrees_ER,GRaSP,24.38738226890564,15,0.0,0.6818,0.0,1.0,0.6818,0.8108,7.0,31.0,7,3199
dag_15_nodes_22_edges_degrees_ER,GRaSP,17.0802104473114,11,0.2727,0.3636,0.0361,0.7273,0.3636,0.4848,16.0,67.0,8,316
dag_15_nodes_22_edges_degrees_ER,GRaSP,54.07162857055664,12,0.0833,0.5,0.012,0.9167,0.5,0.6471,11.0,58.0,9,8266
dag_15_nodes_22_edges_degrees_ER,GRaSP,14.221657276153564,12,0.0,0.5455,0.0,1.0,0.5455,0.7059,10.0,43.0,10,1532
dag_15_nodes_22_edges_degrees_ER,GRaSP,18.145714282989502,13,0.0,0.5909,0.0,1.0,0.5909,0.7429,9.0,43.0,11,1009
dag_15_nodes_22_edges_degrees_ER,GRaSP,31.745717525482178,11,0.0,0.5,0.0,1.0,0.5,0.6667,11.0,45.0,12,2250
dag_15_nodes_22_edges_degrees_ER,GRaSP,15.37652850151062,12,0.0,0.5455,0.0,1.0,0.5455,0.7059,10.0,43.0,13,4447
dag_15_nodes_22_edges_degrees_ER,GRaSP,20.981590747833252,16,0.0,0.7273,0.0,1.0,0.7273,0.8421,6.0,31.0,14,2415
dag_15_nodes_22_edges_degrees_ER,GRaSP,13.91445016860962,9,0.0,0.4091,0.0,1.0,0.4091,0.5806,13.0,57.0,15,3595
dag_15_nodes_22_edges_degrees_ER,GRaSP,28.238151788711548,19,0.3158,0.5909,0.0723,0.6842,0.5909,0.6341,11.0,68.0,16,4187
dag_15_nodes_22_edges_degrees_ER,GRaSP,7.1334075927734375,8,0.375,0.2273,0.0361,0.625,0.2273,0.3333,18.0,81.0,17,4135
dag_15_nodes_22_edges_degrees_ER,GRaSP,22.126811981201172,6,0.0,0.2727,0.0,1.0,0.2727,0.4286,16.0,66.0,18,5174
dag_15_nodes_22_edges_degrees_ER,GRaSP,23.5291588306427,14,0.0714,0.5909,0.012,0.9286,0.5909,0.7222,9.0,55.0,19,5303
dag_15_nodes_22_edges_degrees_ER,GRaSP,7.258337736129761,4,0.0,0.1818,0.0,1.0,0.1818,0.3077,18.0,79.0,20,3942
