dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_15_nodes_22_edges_degrees_random,BOSS,16.2922306060791,14,0.0,0.6364,0.0,1.0,0.6364,0.7778,8.0,38.0,0,7816
dag_15_nodes_22_edges_degrees_random,BOSS,10.849531650543213,17,0.1176,0.6818,0.0241,0.8824,0.6818,0.7692,8.0,51.0,1,3578
dag_15_nodes_22_edges_degrees_random,BOSS,47.467896461486816,15,0.0667,0.6364,0.012,0.9333,0.6364,0.7568,8.0,55.0,2,2656
dag_15_nodes_22_edges_degrees_random,BOSS,15.341280698776245,18,0.0556,0.7727,0.012,0.9444,0.7727,0.85,5.0,39.0,3,2688
dag_15_nodes_22_edges_degrees_random,BOSS,12.580322980880737,15,0.0,0.6818,0.0,1.0,0.6818,0.8108,7.0,35.0,4,2494
dag_15_nodes_22_edges_degrees_random,BOSS,22.981189012527466,15,0.0,0.6818,0.0,1.0,0.6818,0.8108,7.0,46.0,5,183
dag_15_nodes_22_edges_degrees_random,BOSS,25.84363842010498,14,0.0,0.6364,0.0,1.0,0.6364,0.7778,8.0,38.0,6,7977
dag_15_nodes_22_edges_degrees_random,BOSS,13.839911937713623,14,0.0,0.6364,0.0,1.0,0.6364,0.7778,8.0,46.0,7,3199
dag_15_nodes_22_edges_degrees_random,BOSS,16.1469087600708,13,0.0,0.5909,0.0,1.0,0.5909,0.7429,9.0,50.0,8,316
dag_15_nodes_22_edges_degrees_random,BOSS,24.927833318710327,17,0.2353,0.5909,0.0482,0.7647,0.5909,0.6667,11.0,49.0,9,8266
dag_15_nodes_22_edges_degrees_random,BOSS,8.146596431732178,11,0.0,0.5,0.0,1.0,0.5,0.6667,11.0,64.0,10,1532
dag_15_nodes_22_edges_degrees_random,BOSS,18.571070671081543,14,0.0,0.6364,0.0,1.0,0.6364,0.7778,8.0,38.0,11,1009
dag_15_nodes_22_edges_degrees_random,BOSS,15.657232761383057,16,0.0,0.7273,0.0,1.0,0.7273,0.8421,6.0,34.0,12,2250
dag_15_nodes_22_edges_degrees_random,BOSS,15.020350217819214,17,0.1765,0.6364,0.0361,0.8235,0.6364,0.7179,9.0,56.0,13,4447
dag_15_nodes_22_edges_degrees_random,BOSS,9.892757892608643,9,0.0,0.4091,0.0,1.0,0.4091,0.5806,13.0,70.0,14,2415
