dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_15_nodes_22_edges_none_random,BOSS,12.350109577178955,12,0.1667,0.4545,0.0241,0.8333,0.4545,0.5882,13.0,45.0,0,7816
dag_15_nodes_22_edges_none_random,BOSS,39.604888677597046,15,0.1333,0.5909,0.0241,0.8667,0.5909,0.7027,10.0,34.0,1,3578
dag_15_nodes_22_edges_none_random,BOSS,18.62300729751587,14,0.0,0.6364,0.0,1.0,0.6364,0.7778,8.0,26.0,2,2656
dag_15_nodes_22_edges_none_random,BOSS,13.242889404296875,13,0.3077,0.4091,0.0482,0.6923,0.4091,0.5143,15.0,64.0,3,2688
dag_15_nodes_22_edges_none_random,BOSS,10.319369554519653,15,0.2667,0.5,0.0482,0.7333,0.5,0.5946,13.0,49.0,4,2494
dag_15_nodes_22_edges_none_random,BOSS,15.150269508361816,14,0.0,0.6364,0.0,1.0,0.6364,0.7778,8.0,26.0,5,183
dag_15_nodes_22_edges_none_random,BOSS,20.56123924255371,9,0.3333,0.2727,0.0361,0.6667,0.2727,0.3871,18.0,69.0,6,7977
dag_15_nodes_22_edges_none_random,BOSS,19.245336771011353,9,0.0,0.4091,0.0,1.0,0.4091,0.5806,13.0,54.0,7,3199
dag_15_nodes_22_edges_none_random,BOSS,9.21603012084961,12,0.0,0.5455,0.0,1.0,0.5455,0.7059,10.0,37.0,8,316
dag_15_nodes_22_edges_none_random,BOSS,11.305206537246704,12,0.1667,0.4545,0.0241,0.8333,0.4545,0.5882,13.0,48.0,9,8266
dag_15_nodes_22_edges_none_random,BOSS,6.756537914276123,6,0.0,0.2727,0.0,1.0,0.2727,0.4286,16.0,73.0,10,1532
dag_15_nodes_22_edges_none_random,BOSS,14.731061697006226,13,0.1538,0.5,0.0241,0.8462,0.5,0.6286,12.0,45.0,11,1009
dag_15_nodes_22_edges_none_random,BOSS,12.214051485061646,11,0.4545,0.2727,0.0602,0.5455,0.2727,0.3636,18.0,82.0,12,2250
dag_15_nodes_22_edges_none_random,BOSS,9.037149429321289,15,0.1333,0.5909,0.0241,0.8667,0.5909,0.7027,10.0,36.0,13,4447
dag_15_nodes_22_edges_none_random,BOSS,7.345267295837402,14,0.0,0.6364,0.0,1.0,0.6364,0.7778,8.0,26.0,14,2415
dag_15_nodes_22_edges_none_random,BOSS,15.60163164138794,7,0.1429,0.2727,0.012,0.8571,0.2727,0.4138,16.0,70.0,15,3595
dag_15_nodes_22_edges_none_random,BOSS,10.80697226524353,13,0.0,0.5909,0.0,1.0,0.5909,0.7429,9.0,33.0,16,4187
dag_15_nodes_22_edges_none_random,BOSS,11.051700592041016,12,0.0833,0.5,0.012,0.9167,0.5,0.6471,11.0,49.0,17,4135
dag_15_nodes_22_edges_none_random,BOSS,21.352220058441162,7,0.0,0.3182,0.0,1.0,0.3182,0.4828,15.0,63.0,18,5174
dag_15_nodes_22_edges_none_random,BOSS,14.095638751983643,9,0.0,0.4091,0.0,1.0,0.4091,0.5806,13.0,54.0,19,5303
dag_15_nodes_22_edges_none_random,BOSS,17.67764902114868,9,0.0,0.4091,0.0,1.0,0.4091,0.5806,13.0,54.0,20,3942
