dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_15_nodes_22_edges_semantics_ER,GRaSP,24.297422647476196,11,0.0,0.5,0.0,1.0,0.5,0.6667,11.0,68.0,0,7816
dag_15_nodes_22_edges_semantics_ER,GRaSP,34.34614944458008,17,0.2941,0.5455,0.0602,0.7059,0.5455,0.6154,12.0,85.0,1,3578
dag_15_nodes_22_edges_semantics_ER,GRaSP,16.98474359512329,16,0.0,0.7273,0.0,1.0,0.7273,0.8421,6.0,33.0,2,2656
dag_15_nodes_22_edges_semantics_ER,GRaSP,22.9269917011261,13,0.3846,0.3636,0.0602,0.6154,0.3636,0.4571,15.0,102.0,3,2688
dag_15_nodes_22_edges_semantics_ER,GRaSP,45.474518060684204,13,0.0,0.5909,0.0,1.0,0.5909,0.7429,9.0,53.0,4,2494
dag_15_nodes_22_edges_semantics_ER,GRaSP,21.234955072402954,18,0.0,0.8182,0.0,1.0,0.8182,0.9,4.0,21.0,5,183
dag_15_nodes_22_edges_semantics_ER,GRaSP,25.705163955688477,17,0.0588,0.7273,0.012,0.9412,0.7273,0.8205,6.0,46.0,6,7977
dag_15_nodes_22_edges_semantics_ER,GRaSP,30.896873950958252,12,0.0,0.5455,0.0,1.0,0.5455,0.7059,10.0,58.0,7,3199
dag_15_nodes_22_edges_semantics_ER,GRaSP,25.865280866622925,13,0.0,0.5909,0.0,1.0,0.5909,0.7429,9.0,62.0,8,316
dag_15_nodes_22_edges_semantics_ER,GRaSP,21.60891056060791,16,0.25,0.5455,0.0482,0.75,0.5455,0.6316,11.0,90.0,9,8266
dag_15_nodes_22_edges_semantics_ER,GRaSP,31.302912950515747,15,0.0,0.6818,0.0,1.0,0.6818,0.8108,7.0,49.0,10,1532
dag_15_nodes_22_edges_semantics_ER,GRaSP,26.598897695541382,19,0.6842,0.2727,0.1566,0.3158,0.2727,0.2927,21.0,107.0,11,1009
dag_15_nodes_22_edges_semantics_ER,GRaSP,29.3726589679718,19,0.0,0.8636,0.0,1.0,0.8636,0.9268,3.0,20.0,12,2250
dag_15_nodes_22_edges_semantics_ER,GRaSP,40.288665771484375,12,0.0,0.5455,0.0,1.0,0.5455,0.7059,10.0,57.0,13,4447
dag_15_nodes_22_edges_semantics_ER,GRaSP,24.213960886001587,14,0.0714,0.5909,0.012,0.9286,0.5909,0.7222,9.0,56.0,14,2415
dag_15_nodes_22_edges_semantics_ER,GRaSP,21.337705612182617,16,0.0,0.7273,0.0,1.0,0.7273,0.8421,6.0,34.0,15,3595
dag_15_nodes_22_edges_semantics_ER,GRaSP,16.905909776687622,14,0.4286,0.3636,0.0723,0.5714,0.3636,0.4444,15.0,88.0,16,4187
dag_15_nodes_22_edges_semantics_ER,GRaSP,31.191874027252197,18,0.3333,0.5455,0.0723,0.6667,0.5455,0.6,11.0,89.0,17,4135
dag_15_nodes_22_edges_semantics_ER,GRaSP,24.305692672729492,17,0.0,0.7727,0.0,1.0,0.7727,0.8718,5.0,32.0,18,5174
dag_15_nodes_22_edges_semantics_ER,GRaSP,20.12291932106018,15,0.2667,0.5,0.0482,0.7333,0.5,0.5946,11.0,81.0,19,5303
dag_15_nodes_22_edges_semantics_ER,GRaSP,31.347780466079712,17,0.1176,0.6818,0.0241,0.8824,0.6818,0.7692,7.0,56.0,20,3942
dag_15_nodes_22_edges_semantics_ER,GRaSP,24.12760019302368,12,0.0,0.5455,0.0,1.0,0.5455,0.7059,10.0,67.0,21,2778
dag_15_nodes_22_edges_semantics_ER,GRaSP,22.41463875770569,21,0.381,0.5909,0.0964,0.619,0.5909,0.6047,13.0,86.0,22,2804
dag_15_nodes_22_edges_semantics_ER,GRaSP,31.48885202407837,19,0.0,0.8636,0.0,1.0,0.8636,0.9268,3.0,20.0,23,2145
dag_15_nodes_22_edges_semantics_ER,GRaSP,19.38209581375122,16,0.375,0.4545,0.0723,0.625,0.4545,0.5263,14.0,72.0,24,150
dag_15_nodes_22_edges_semantics_ER,GRaSP,21.57769513130188,12,0.1667,0.4545,0.0241,0.8333,0.4545,0.5882,12.0,86.0,25,8823
dag_15_nodes_22_edges_semantics_ER,GRaSP,40.329524517059326,13,0.0,0.5909,0.0,1.0,0.5909,0.7429,9.0,56.0,26,4669
dag_15_nodes_22_edges_semantics_ER,GRaSP,38.59554696083069,18,0.0,0.8182,0.0,1.0,0.8182,0.9,4.0,21.0,27,6131
dag_15_nodes_22_edges_semantics_ER,GRaSP,41.61175298690796,17,0.3529,0.5,0.0723,0.6471,0.5,0.5641,14.0,64.0,28,2617
dag_15_nodes_22_edges_semantics_ER,GRaSP,12.450862169265747,13,0.0,0.5909,0.0,1.0,0.5909,0.7429,9.0,65.0,29,7166
dag_15_nodes_22_edges_semantics_ER,GRaSP,20.357266664505005,19,0.1053,0.7727,0.0241,0.8947,0.7727,0.8293,6.0,26.0,30,1428
