dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_15_nodes_22_edges_semantics_random,BOSS,12.729839563369751,6,0.0,0.2727,0.0,1.0,0.2727,0.4286,16.0,63.0,0,7816
dag_15_nodes_22_edges_semantics_random,BOSS,30.36194634437561,15,0.6,0.2727,0.1084,0.4,0.2727,0.3243,19.0,96.0,1,3578
dag_15_nodes_22_edges_semantics_random,BOSS,37.96230411529541,11,0.1818,0.4091,0.0241,0.8182,0.4091,0.5455,14.0,58.0,2,2656
dag_15_nodes_22_edges_semantics_random,BOSS,5.899385690689087,8,0.5,0.1818,0.0482,0.5,0.1818,0.2667,19.0,86.0,3,2688
dag_15_nodes_22_edges_semantics_random,BOSS,25.571184873580933,9,0.0,0.4091,0.0,1.0,0.4091,0.5806,13.0,56.0,4,2494
dag_15_nodes_22_edges_semantics_random,BOSS,10.985805749893188,9,0.0,0.4091,0.0,1.0,0.4091,0.5806,13.0,50.0,5,183
dag_15_nodes_22_edges_semantics_random,BOSS,17.63413953781128,4,0.0,0.1818,0.0,1.0,0.1818,0.3077,18.0,64.0,6,7977
dag_15_nodes_22_edges_semantics_random,BOSS,13.009433507919312,4,0.0,0.1818,0.0,1.0,0.1818,0.3077,18.0,76.0,7,3199
dag_15_nodes_22_edges_semantics_random,BOSS,11.663483619689941,9,0.2222,0.3182,0.0241,0.7778,0.3182,0.4516,15.0,91.0,8,316
dag_15_nodes_22_edges_semantics_random,BOSS,12.447866678237915,8,0.375,0.2273,0.0361,0.625,0.2273,0.3333,17.0,75.0,9,8266
dag_15_nodes_22_edges_semantics_random,BOSS,7.965483903884888,4,0.0,0.1818,0.0,1.0,0.1818,0.3077,18.0,64.0,10,1532
dag_15_nodes_22_edges_semantics_random,BOSS,13.418750524520874,10,0.2,0.3636,0.0241,0.8,0.3636,0.5,14.0,72.0,11,1009
dag_15_nodes_22_edges_semantics_random,BOSS,17.646870613098145,4,0.25,0.1364,0.012,0.75,0.1364,0.2308,19.0,77.0,12,2250
dag_15_nodes_22_edges_semantics_random,BOSS,27.929855346679688,6,0.0,0.2727,0.0,1.0,0.2727,0.4286,16.0,62.0,13,4447
dag_15_nodes_22_edges_semantics_random,BOSS,26.312044382095337,13,0.1538,0.5,0.0241,0.8462,0.5,0.6286,12.0,78.0,14,2415
dag_15_nodes_22_edges_semantics_random,BOSS,11.975682020187378,2,0.0,0.0909,0.0,1.0,0.0909,0.1667,20.0,78.0,15,3595
dag_15_nodes_22_edges_semantics_random,BOSS,33.11895442008972,9,0.0,0.4091,0.0,1.0,0.4091,0.5806,13.0,67.0,16,4187
dag_15_nodes_22_edges_semantics_random,BOSS,7.159467458724976,2,0.0,0.0909,0.0,1.0,0.0909,0.1667,20.0,78.0,17,4135
dag_15_nodes_22_edges_semantics_random,BOSS,13.087816715240479,6,0.0,0.2727,0.0,1.0,0.2727,0.4286,16.0,73.0,18,5174
dag_15_nodes_22_edges_semantics_random,BOSS,9.779045343399048,4,0.0,0.1818,0.0,1.0,0.1818,0.3077,18.0,64.0,19,5303
dag_15_nodes_22_edges_semantics_random,BOSS,19.303710222244263,9,0.0,0.4091,0.0,1.0,0.4091,0.5806,13.0,54.0,20,3942
dag_15_nodes_22_edges_semantics_random,BOSS,20.762733697891235,8,0.0,0.3636,0.0,1.0,0.3636,0.5333,14.0,59.0,21,2778
dag_15_nodes_22_edges_semantics_random,BOSS,7.0380823612213135,2,0.0,0.0909,0.0,1.0,0.0909,0.1667,20.0,78.0,22,2804
dag_15_nodes_22_edges_semantics_random,BOSS,29.99638795852661,12,0.0833,0.5,0.012,0.9167,0.5,0.6471,11.0,58.0,23,2145
dag_15_nodes_22_edges_semantics_random,BOSS,26.564798593521118,9,0.0,0.4091,0.0,1.0,0.4091,0.5806,13.0,54.0,24,150
dag_15_nodes_22_edges_semantics_random,BOSS,20.22831654548645,12,0.25,0.4091,0.0361,0.75,0.4091,0.5294,14.0,73.0,25,8823
dag_15_nodes_22_edges_semantics_random,BOSS,20.65287446975708,9,0.0,0.4091,0.0,1.0,0.4091,0.5806,13.0,55.0,26,4669
dag_15_nodes_22_edges_semantics_random,BOSS,13.157536029815674,10,0.0,0.4545,0.0,1.0,0.4545,0.625,12.0,54.0,27,6131
dag_15_nodes_22_edges_semantics_random,BOSS,19.40142512321472,8,0.0,0.3636,0.0,1.0,0.3636,0.5333,14.0,56.0,28,2617
dag_15_nodes_22_edges_semantics_random,BOSS,16.11011505126953,11,0.0909,0.4545,0.012,0.9091,0.4545,0.6061,12.0,71.0,29,7166
dag_15_nodes_22_edges_semantics_random,BOSS,12.7083740234375,8,0.0,0.3636,0.0,1.0,0.3636,0.5333,14.0,59.0,30,1428
dag_15_nodes_22_edges_semantics_random,BOSS,9.487951755523682,5,0.0,0.2273,0.0,1.0,0.2273,0.3704,17.0,63.0,31,8328
dag_15_nodes_22_edges_semantics_random,BOSS,22.65347695350647,11,0.1818,0.4091,0.0241,0.8182,0.4091,0.5455,13.0,83.0,32,8289
dag_15_nodes_22_edges_semantics_random,BOSS,22.723848342895508,9,0.0,0.4091,0.0,1.0,0.4091,0.5806,13.0,56.0,33,5978
dag_15_nodes_22_edges_semantics_random,BOSS,7.979740381240845,6,0.1667,0.2273,0.012,0.8333,0.2273,0.3571,17.0,88.0,34,5511
dag_15_nodes_22_edges_semantics_random,BOSS,6.142367362976074,5,0.0,0.2273,0.0,1.0,0.2273,0.3704,17.0,75.0,35,5864
dag_15_nodes_22_edges_semantics_random,BOSS,26.58606505393982,11,0.1818,0.4091,0.0241,0.8182,0.4091,0.5455,13.0,69.0,36,606
dag_15_nodes_22_edges_semantics_random,BOSS,8.4919114112854,4,0.0,0.1818,0.0,1.0,0.1818,0.3077,18.0,64.0,37,1933
dag_15_nodes_22_edges_semantics_random,BOSS,26.892818212509155,4,0.25,0.1364,0.012,0.75,0.1364,0.2308,19.0,77.0,38,6071
dag_15_nodes_22_edges_semantics_random,BOSS,14.829400300979614,7,0.4286,0.1818,0.0361,0.5714,0.1818,0.2759,19.0,75.0,39,5504
dag_15_nodes_22_edges_semantics_random,BOSS,10.783491134643555,7,0.0,0.3182,0.0,1.0,0.3182,0.4828,15.0,69.0,40,5163
dag_15_nodes_22_edges_semantics_random,BOSS,9.590396642684937,2,0.0,0.0909,0.0,1.0,0.0909,0.1667,20.0,78.0,41,2406
dag_15_nodes_22_edges_semantics_random,BOSS,26.74073362350464,8,0.0,0.3636,0.0,1.0,0.3636,0.5333,14.0,56.0,42,304
dag_15_nodes_22_edges_semantics_random,BOSS,32.897913217544556,8,0.0,0.3636,0.0,1.0,0.3636,0.5333,14.0,64.0,43,3391
