dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_5_nodes_5_edges_degrees_ER,BOSS,3.634188175201416,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,11.0,0,7816
dag_5_nodes_5_edges_degrees_ER,BOSS,1.519519329071045,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,11.0,1,3578
dag_5_nodes_5_edges_degrees_ER,BOSS,1.203855276107788,2,0.5,0.2,0.2,0.5,0.2,0.2857,4.0,14.0,2,2656
dag_5_nodes_5_edges_degrees_ER,BOSS,0.9382436275482178,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,11.0,3,2688
dag_5_nodes_5_edges_degrees_ER,BOSS,1.4333205223083496,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,11.0,4,2494
dag_5_nodes_5_edges_degrees_ER,BOSS,1.1335041522979736,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,11.0,5,183
dag_5_nodes_5_edges_degrees_ER,BOSS,2.99993634223938,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,11.0,6,7977
dag_5_nodes_5_edges_degrees_ER,BOSS,1.5115551948547363,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,11.0,7,3199
dag_5_nodes_5_edges_degrees_ER,BOSS,1.3580868244171143,0,0.0,0.0,0.0,,0.0,,5.0,15.0,8,316
dag_5_nodes_5_edges_degrees_ER,BOSS,1.046858787536621,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,11.0,9,8266
dag_5_nodes_5_edges_degrees_ER,BOSS,1.2122910022735596,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,11.0,10,1532
dag_5_nodes_5_edges_degrees_ER,BOSS,1.28196382522583,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,11.0,11,1009
dag_5_nodes_5_edges_degrees_ER,BOSS,2.0921456813812256,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,11.0,12,2250
dag_5_nodes_5_edges_degrees_ER,BOSS,2.680666923522949,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,11.0,13,4447
dag_5_nodes_5_edges_degrees_ER,BOSS,1.0513510704040527,0,0.0,0.0,0.0,,0.0,,5.0,15.0,14,2415
