dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_5_nodes_5_edges_degrees_random,GRaSP,0.5740485191345215,2,0.5,0.2,0.2,0.5,0.2,0.2857,4.0,8.0,0,7816
dag_5_nodes_5_edges_degrees_random,GRaSP,1.0387537479400635,4,0.0,0.8,0.0,1.0,0.8,0.8889,1.0,1.0,1,3578
dag_5_nodes_5_edges_degrees_random,GRaSP,1.0084030628204346,4,0.0,0.8,0.0,1.0,0.8,0.8889,1.0,1.0,2,2656
dag_5_nodes_5_edges_degrees_random,GRaSP,1.0022127628326416,4,0.0,0.8,0.0,1.0,0.8,0.8889,1.0,1.0,3,2688
dag_5_nodes_5_edges_degrees_random,GRaSP,1.0951342582702637,3,0.0,0.6,0.0,1.0,0.6,0.75,2.0,4.0,4,2494
dag_5_nodes_5_edges_degrees_random,GRaSP,0.3511776924133301,0,0.0,0.0,0.0,,0.0,,5.0,9.0,5,183
dag_5_nodes_5_edges_degrees_random,GRaSP,1.0662717819213867,3,0.0,0.6,0.0,1.0,0.6,0.75,2.0,4.0,6,7977
dag_5_nodes_5_edges_degrees_random,GRaSP,1.1783370971679688,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,5.0,7,3199
dag_5_nodes_5_edges_degrees_random,GRaSP,0.6664881706237793,4,0.0,0.8,0.0,1.0,0.8,0.8889,1.0,1.0,8,316
dag_5_nodes_5_edges_degrees_random,GRaSP,1.315497636795044,0,0.0,0.0,0.0,,0.0,,5.0,9.0,9,8266
dag_5_nodes_5_edges_degrees_random,GRaSP,0.4353978633880615,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,5.0,10,1532
dag_5_nodes_5_edges_degrees_random,GRaSP,1.9192862510681152,4,0.0,0.8,0.0,1.0,0.8,0.8889,1.0,1.0,11,1009
dag_5_nodes_5_edges_degrees_random,GRaSP,1.0044384002685547,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,5.0,12,2250
dag_5_nodes_5_edges_degrees_random,GRaSP,1.3492825031280518,2,0.5,0.2,0.2,0.5,0.2,0.2857,4.0,8.0,13,4447
dag_5_nodes_5_edges_degrees_random,GRaSP,0.6835942268371582,4,0.0,0.8,0.0,1.0,0.8,0.8889,1.0,1.0,14,2415
dag_5_nodes_5_edges_degrees_random,GRaSP,1.3123607635498047,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,5.0,15,3595
dag_5_nodes_5_edges_degrees_random,GRaSP,1.0967910289764404,4,0.0,0.8,0.0,1.0,0.8,0.8889,1.0,1.0,16,4187
dag_5_nodes_5_edges_degrees_random,GRaSP,0.4606306552886963,0,0.0,0.0,0.0,,0.0,,5.0,9.0,17,4135
dag_5_nodes_5_edges_degrees_random,GRaSP,2.520624876022339,4,0.0,0.8,0.0,1.0,0.8,0.8889,1.0,1.0,18,5174
dag_5_nodes_5_edges_degrees_random,GRaSP,1.8424930572509766,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,5.0,19,5303
dag_5_nodes_5_edges_degrees_random,GRaSP,0.622222900390625,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,5.0,20,3942
dag_5_nodes_5_edges_degrees_random,GRaSP,1.0023603439331055,4,0.0,0.8,0.0,1.0,0.8,0.8889,1.0,1.0,21,2778
dag_5_nodes_5_edges_degrees_random,GRaSP,0.3682236671447754,5,0.6,0.4,0.6,0.4,0.4,0.4,4.0,10.0,22,2804
dag_5_nodes_5_edges_degrees_random,GRaSP,1.624704360961914,4,0.0,0.8,0.0,1.0,0.8,0.8889,1.0,1.0,23,2145
dag_5_nodes_5_edges_degrees_random,GRaSP,1.5640404224395752,0,0.0,0.0,0.0,,0.0,,5.0,9.0,24,150
dag_5_nodes_5_edges_degrees_random,GRaSP,0.9769117832183838,4,0.0,0.8,0.0,1.0,0.8,0.8889,1.0,1.0,25,8823
dag_5_nodes_5_edges_degrees_random,GRaSP,1.2268157005310059,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,5.0,26,4669
dag_5_nodes_5_edges_degrees_random,GRaSP,0.8353667259216309,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,5.0,27,6131
dag_5_nodes_5_edges_degrees_random,GRaSP,1.0754947662353516,4,0.5,0.4,0.4,0.5,0.4,0.4444,4.0,7.0,28,2617
dag_5_nodes_5_edges_degrees_random,GRaSP,1.148554801940918,4,0.0,0.8,0.0,1.0,0.8,0.8889,1.0,1.0,29,7166
dag_5_nodes_5_edges_degrees_random,GRaSP,1.8698179721832275,4,0.0,0.8,0.0,1.0,0.8,0.8889,1.0,1.0,30,1428
dag_5_nodes_5_edges_degrees_random,GRaSP,0.7303638458251953,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,5.0,31,8328
dag_5_nodes_5_edges_degrees_random,GRaSP,0.5847642421722412,4,0.0,0.8,0.0,1.0,0.8,0.8889,1.0,1.0,32,8289
dag_5_nodes_5_edges_degrees_random,GRaSP,1.7243592739105225,4,0.0,0.8,0.0,1.0,0.8,0.8889,1.0,1.0,33,5978
dag_5_nodes_5_edges_degrees_random,GRaSP,1.1652498245239258,4,0.0,0.8,0.0,1.0,0.8,0.8889,1.0,1.0,34,5511
dag_5_nodes_5_edges_degrees_random,GRaSP,0.22564005851745605,0,0.0,0.0,0.0,,0.0,,5.0,9.0,35,5864
dag_5_nodes_5_edges_degrees_random,GRaSP,1.2778050899505615,0,0.0,0.0,0.0,,0.0,,5.0,9.0,36,606
dag_5_nodes_5_edges_degrees_random,GRaSP,0.7093703746795654,0,0.0,0.0,0.0,,0.0,,5.0,9.0,37,1933
dag_5_nodes_5_edges_degrees_random,GRaSP,1.095567226409912,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,5.0,38,6071
dag_5_nodes_5_edges_degrees_random,GRaSP,0.9039907455444336,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,5.0,39,5504
dag_5_nodes_5_edges_degrees_random,GRaSP,1.0930256843566895,2,0.0,0.4,0.0,1.0,0.4,0.5714,3.0,5.0,40,5163
dag_5_nodes_5_edges_degrees_random,GRaSP,1.3806939125061035,4,0.0,0.8,0.0,1.0,0.8,0.8889,1.0,1.0,41,2406
dag_5_nodes_5_edges_degrees_random,GRaSP,1.0994784832000732,4,0.5,0.4,0.4,0.5,0.4,0.4444,4.0,7.0,42,304
