dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_5_nodes_5_edges_none_ER,BOSS,0.848074197769165,5,0.0,1.0,0.0,0.2,0.2,0.2,4.0,0.0,20.0,0,7816
dag_5_nodes_5_edges_none_ER,BOSS,0.6951987743377686,5,0.0,1.0,0.0,0.2,0.2,0.2,4.0,0.0,20.0,1,3578
dag_5_nodes_5_edges_none_ER,BOSS,1.2080028057098389,5,0.0,1.0,0.0,0.2,0.2,0.2,4.0,0.0,20.0,2,2656
dag_5_nodes_5_edges_none_ER,BOSS,0.9707226753234863,5,0.4,0.6,0.4,0.0,0.0,,6.0,4.0,14.0,3,2688
dag_5_nodes_5_edges_none_ER,BOSS,0.7233638763427734,5,0.0,1.0,0.0,0.2,0.2,0.2,4.0,0.0,20.0,4,2494
dag_5_nodes_5_edges_none_ER,BOSS,0.645484447479248,5,0.0,1.0,0.0,0.2,0.2,0.2,4.0,0.0,20.0,5,183
dag_5_nodes_5_edges_none_ER,BOSS,1.135824203491211,3,0.0,0.6,0.0,0.3333,0.2,0.25,4.0,9.0,15.0,6,7977
dag_5_nodes_5_edges_none_ER,BOSS,1.1880409717559814,5,0.0,1.0,0.0,0.2,0.2,0.2,4.0,0.0,20.0,7,3199
dag_5_nodes_5_edges_none_ER,BOSS,0.5274801254272461,5,0.0,1.0,0.0,0.2,0.2,0.2,4.0,0.0,20.0,8,316
dag_5_nodes_5_edges_none_ER,BOSS,1.0872418880462646,5,0.0,1.0,0.0,0.2,0.2,0.2,4.0,0.0,20.0,9,8266
dag_5_nodes_5_edges_none_ER,BOSS,1.7609589099884033,5,0.0,1.0,0.0,0.2,0.2,0.2,4.0,0.0,20.0,10,1532
dag_5_nodes_5_edges_none_ER,BOSS,0.90193772315979,5,0.0,1.0,0.0,0.2,0.2,0.2,4.0,0.0,20.0,11,1009
dag_5_nodes_5_edges_none_ER,BOSS,0.990513801574707,4,0.0,0.8,0.0,0.25,0.2,0.2222,4.0,8.0,15.0,12,2250
dag_5_nodes_5_edges_none_ER,BOSS,1.4594547748565674,5,0.0,1.0,0.0,0.2,0.2,0.2,4.0,0.0,20.0,13,4447
dag_5_nodes_5_edges_none_ER,BOSS,0.2400052547454834,4,0.0,0.8,0.0,0.25,0.2,0.2222,5.0,12.0,19.0,14,2415
dag_5_nodes_5_edges_none_ER,BOSS,0.933668851852417,3,0.0,0.6,0.0,0.3333,0.2,0.25,4.0,9.0,15.0,15,3595
dag_5_nodes_5_edges_none_ER,BOSS,0.7042810916900635,5,0.2,0.8,0.2,0.0,0.0,,5.0,1.0,15.0,16,4187
dag_5_nodes_5_edges_none_ER,BOSS,0.6286294460296631,4,0.0,0.8,0.0,0.25,0.2,0.2222,4.0,8.0,15.0,17,4135
dag_5_nodes_5_edges_none_ER,BOSS,1.2475571632385254,5,0.0,1.0,0.0,0.2,0.2,0.2,4.0,0.0,20.0,18,5174
dag_5_nodes_5_edges_none_ER,BOSS,1.2317094802856445,7,0.2857,1.0,0.4,0.1429,0.2,0.1667,6.0,0.0,17.0,19,5303
dag_5_nodes_5_edges_none_ER,BOSS,1.299354076385498,4,0.0,0.8,0.0,0.25,0.2,0.2222,4.0,8.0,15.0,20,3942
dag_5_nodes_5_edges_none_ER,BOSS,1.3049590587615967,5,0.0,1.0,0.0,0.2,0.2,0.2,4.0,0.0,20.0,21,2778
dag_5_nodes_5_edges_none_ER,BOSS,0.6044228076934814,5,0.0,1.0,0.0,0.2,0.2,0.2,4.0,0.0,20.0,22,2804
dag_5_nodes_5_edges_none_ER,BOSS,0.8393573760986328,5,0.0,1.0,0.0,0.2,0.2,0.2,4.0,0.0,20.0,23,2145
dag_5_nodes_5_edges_none_ER,BOSS,0.9623374938964844,5,0.0,1.0,0.0,0.2,0.2,0.2,4.0,0.0,20.0,24,150
dag_5_nodes_5_edges_none_ER,BOSS,0.4837985038757324,5,0.2,0.8,0.2,0.2,0.2,0.2,5.0,3.0,18.0,25,8823
dag_5_nodes_5_edges_none_ER,BOSS,1.4328975677490234,4,0.0,0.8,0.0,0.25,0.2,0.2222,4.0,8.0,15.0,26,4669
dag_5_nodes_5_edges_none_ER,BOSS,0.6761407852172852,4,0.0,0.8,0.0,0.0,0.0,,4.0,1.0,16.0,27,6131
dag_5_nodes_5_edges_none_ER,BOSS,0.33435559272766113,5,0.0,1.0,0.0,0.2,0.2,0.2,4.0,0.0,20.0,28,2617
dag_5_nodes_5_edges_none_ER,BOSS,0.414658784866333,5,0.0,1.0,0.0,0.2,0.2,0.2,4.0,0.0,20.0,29,7166
dag_5_nodes_5_edges_none_ER,BOSS,0.7891330718994141,5,0.0,1.0,0.0,0.2,0.2,0.2,4.0,0.0,20.0,30,1428
dag_5_nodes_5_edges_none_ER,BOSS,0.8507933616638184,4,0.0,0.8,0.0,0.25,0.2,0.2222,4.0,8.0,15.0,31,8328
dag_5_nodes_5_edges_none_ER,BOSS,0.4331948757171631,5,0.0,1.0,0.0,0.2,0.2,0.2,4.0,0.0,20.0,32,8289
dag_5_nodes_5_edges_none_ER,BOSS,1.0464715957641602,6,0.1667,1.0,0.2,0.1667,0.2,0.1818,5.0,0.0,20.0,33,5978
dag_5_nodes_5_edges_none_ER,BOSS,1.0479228496551514,5,0.0,1.0,0.0,0.2,0.2,0.2,4.0,0.0,20.0,34,5511
dag_5_nodes_5_edges_none_ER,BOSS,0.47440147399902344,5,0.0,1.0,0.0,0.2,0.2,0.2,4.0,0.0,20.0,35,5864
dag_5_nodes_5_edges_none_ER,BOSS,0.655120849609375,5,0.0,1.0,0.0,0.2,0.2,0.2,4.0,0.0,20.0,36,606
dag_5_nodes_5_edges_none_ER,BOSS,0.9691240787506104,5,0.2,0.8,0.2,0.2,0.2,0.2,5.0,3.0,14.0,37,1933
dag_5_nodes_5_edges_none_ER,BOSS,1.3784382343292236,5,0.2,0.8,0.2,0.2,0.2,0.2,5.0,3.0,14.0,38,6071
dag_5_nodes_5_edges_none_ER,BOSS,0.7742345333099365,4,0.0,0.8,0.0,0.25,0.2,0.2222,4.0,8.0,15.0,39,5504
dag_5_nodes_5_edges_none_ER,BOSS,1.0147240161895752,5,0.0,1.0,0.0,0.2,0.2,0.2,4.0,0.0,20.0,40,5163
