dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_5_nodes_5_edges_none_ER,GRaSP,0.876624584197998,5,0.0,1.0,0.0,0.2,0.2,0.2,4.0,0.0,20.0,0,7816
dag_5_nodes_5_edges_none_ER,GRaSP,0.6419410705566406,5,0.0,1.0,0.0,0.2,0.2,0.2,4.0,0.0,20.0,1,3578
dag_5_nodes_5_edges_none_ER,GRaSP,0.6903865337371826,4,0.0,0.8,0.0,0.0,0.0,,4.0,1.0,16.0,2,2656
dag_5_nodes_5_edges_none_ER,GRaSP,1.0363960266113281,5,0.0,1.0,0.0,0.2,0.2,0.2,4.0,0.0,20.0,3,2688
dag_5_nodes_5_edges_none_ER,GRaSP,0.6329905986785889,5,0.0,1.0,0.0,0.2,0.2,0.2,4.0,0.0,20.0,4,2494
dag_5_nodes_5_edges_none_ER,GRaSP,0.49126243591308594,6,0.1667,1.0,0.2,0.1667,0.2,0.1818,5.0,0.0,20.0,5,183
dag_5_nodes_5_edges_none_ER,GRaSP,0.5956652164459229,3,0.0,0.6,0.0,0.3333,0.2,0.25,4.0,9.0,15.0,6,7977
dag_5_nodes_5_edges_none_ER,GRaSP,0.8889718055725098,5,0.0,1.0,0.0,0.2,0.2,0.2,4.0,0.0,20.0,7,3199
dag_5_nodes_5_edges_none_ER,GRaSP,0.3587501049041748,5,0.0,1.0,0.0,0.2,0.2,0.2,4.0,0.0,20.0,8,316
dag_5_nodes_5_edges_none_ER,GRaSP,0.4334080219268799,3,0.0,0.6,0.0,0.3333,0.2,0.25,4.0,9.0,15.0,9,8266
dag_5_nodes_5_edges_none_ER,GRaSP,1.0704600811004639,5,0.0,1.0,0.0,0.2,0.2,0.2,4.0,0.0,20.0,10,1532
dag_5_nodes_5_edges_none_ER,GRaSP,0.6326067447662354,5,0.0,1.0,0.0,0.2,0.2,0.2,4.0,0.0,20.0,11,1009
dag_5_nodes_5_edges_none_ER,GRaSP,0.7115888595581055,4,0.0,0.8,0.0,0.25,0.2,0.2222,4.0,8.0,15.0,12,2250
dag_5_nodes_5_edges_none_ER,GRaSP,0.6850874423980713,4,0.0,0.8,0.0,0.25,0.2,0.2222,4.0,8.0,15.0,13,4447
dag_5_nodes_5_edges_none_ER,GRaSP,0.12345552444458008,3,0.0,0.6,0.0,0.0,0.0,,5.0,8.0,15.0,14,2415
