dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,run_idx,seed
dag_5_nodes_5_edges_none_SF,GRaSP,0.8651020526885986,4,1.0,0.0,0.6667,0.0,0.0,,6.0,10.0,0,7816
dag_5_nodes_5_edges_none_SF,GRaSP,0.5408985614776611,2,1.0,0.0,0.3333,0.0,0.0,,5.0,7.0,1,3578
dag_5_nodes_5_edges_none_SF,GRaSP,0.5411145687103271,2,0.0,0.5,0.0,1.0,0.5,0.6667,2.0,2.0,2,2656
dag_5_nodes_5_edges_none_SF,GRaSP,0.24265789985656738,2,0.0,0.5,0.0,1.0,0.5,0.6667,2.0,2.0,3,2688
dag_5_nodes_5_edges_none_SF,GRaSP,0.9486572742462158,3,0.0,0.75,0.0,1.0,0.75,0.8571,1.0,1.0,4,2494
dag_5_nodes_5_edges_none_SF,GRaSP,0.5622596740722656,3,1.0,0.0,0.5,0.0,0.0,,6.0,6.0,5,183
dag_5_nodes_5_edges_none_SF,GRaSP,0.23549938201904297,0,0.0,0.0,0.0,,0.0,,4.0,5.0,6,7977
dag_5_nodes_5_edges_none_SF,GRaSP,0.8996868133544922,3,0.0,0.75,0.0,1.0,0.75,0.8571,1.0,1.0,7,3199
dag_5_nodes_5_edges_none_SF,GRaSP,0.19093561172485352,2,1.0,0.0,0.3333,0.0,0.0,,5.0,8.0,8,316
dag_5_nodes_5_edges_none_SF,GRaSP,0.2732565402984619,2,0.0,0.5,0.0,1.0,0.5,0.6667,2.0,2.0,9,8266
dag_5_nodes_5_edges_none_SF,GRaSP,0.43981051445007324,3,0.0,0.75,0.0,1.0,0.75,0.8571,1.0,1.0,10,1532
dag_5_nodes_5_edges_none_SF,GRaSP,0.5961606502532959,3,0.3333,0.5,0.1667,0.6667,0.5,0.5714,2.0,6.0,11,1009
dag_5_nodes_5_edges_none_SF,GRaSP,0.8980791568756104,2,1.0,0.0,0.3333,0.0,0.0,,5.0,8.0,12,2250
dag_5_nodes_5_edges_none_SF,GRaSP,1.159278154373169,5,1.0,0.0,0.8333,0.0,0.0,,6.0,12.0,13,4447
dag_5_nodes_5_edges_none_SF,GRaSP,0.29938316345214844,3,0.0,0.75,0.0,1.0,0.75,0.8571,1.0,1.0,14,2415
dag_5_nodes_5_edges_none_SF,GRaSP,1.1780152320861816,2,0.0,0.5,0.0,1.0,0.5,0.6667,2.0,2.0,15,3595
dag_5_nodes_5_edges_none_SF,GRaSP,0.2769961357116699,0,0.0,0.0,0.0,,0.0,,4.0,5.0,16,4187
dag_5_nodes_5_edges_none_SF,GRaSP,0.7989885807037354,3,0.3333,0.5,0.1667,0.6667,0.5,0.5714,2.0,6.0,17,4135
dag_5_nodes_5_edges_none_SF,GRaSP,1.3059196472167969,3,0.0,0.75,0.0,1.0,0.75,0.8571,1.0,1.0,18,5174
dag_5_nodes_5_edges_none_SF,GRaSP,1.472602128982544,4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,8.0,19,5303
dag_5_nodes_5_edges_none_SF,GRaSP,2.263106107711792,3,0.0,0.75,0.0,1.0,0.75,0.8571,1.0,1.0,20,3942
dag_5_nodes_5_edges_none_SF,GRaSP,1.855968713760376,3,0.0,0.75,0.0,1.0,0.75,0.8571,1.0,1.0,21,2778
dag_5_nodes_5_edges_none_SF,GRaSP,0.25725650787353516,2,0.0,0.5,0.0,1.0,0.5,0.6667,2.0,2.0,22,2804
dag_5_nodes_5_edges_none_SF,GRaSP,0.200880765914917,2,0.0,0.5,0.0,1.0,0.5,0.6667,2.0,2.0,23,2145
dag_5_nodes_5_edges_none_SF,GRaSP,0.5679247379302979,2,0.0,0.5,0.0,1.0,0.5,0.6667,2.0,2.0,24,150
dag_5_nodes_5_edges_none_SF,GRaSP,0.5620167255401611,2,0.0,0.5,0.0,1.0,0.5,0.6667,2.0,2.0,25,8823
