dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_5_nodes_7_edges_degrees_ER,GRaSP,0.9944396018981934,5,0.0,0.7143,0.0,0.2,0.1429,0.1667,5.0,9.0,19.0,0,7816
dag_5_nodes_7_edges_degrees_ER,GRaSP,1.475567102432251,6,0.0,0.8571,0.0,0.1667,0.1429,0.1538,5.0,4.0,20.0,1,3578
dag_5_nodes_7_edges_degrees_ER,GRaSP,1.3816487789154053,5,0.0,0.7143,0.0,0.0,0.0,,6.0,8.0,20.0,2,2656
dag_5_nodes_7_edges_degrees_ER,GRaSP,0.8558743000030518,6,0.0,0.8571,0.0,0.1667,0.1429,0.1538,5.0,4.0,20.0,3,2688
dag_5_nodes_7_edges_degrees_ER,GRaSP,1.0112602710723877,7,0.0,1.0,0.0,0.2857,0.2857,0.2857,4.0,0.0,20.0,4,2494
dag_5_nodes_7_edges_degrees_ER,GRaSP,0.5088620185852051,7,0.0,1.0,0.0,0.2857,0.2857,0.2857,4.0,0.0,20.0,5,183
dag_5_nodes_7_edges_degrees_ER,GRaSP,1.628657579421997,7,0.1429,0.8571,0.3333,0.2857,0.2857,0.2857,6.0,1.0,16.0,6,7977
dag_5_nodes_7_edges_degrees_ER,GRaSP,1.9289638996124268,7,0.1429,0.8571,0.3333,0.2857,0.2857,0.2857,5.0,2.0,17.0,7,3199
dag_5_nodes_7_edges_degrees_ER,GRaSP,0.37581372261047363,7,0.0,1.0,0.0,0.2857,0.2857,0.2857,4.0,0.0,20.0,8,316
dag_5_nodes_7_edges_degrees_ER,GRaSP,1.5536603927612305,7,0.0,1.0,0.0,0.2857,0.2857,0.2857,4.0,0.0,20.0,9,8266
dag_5_nodes_7_edges_degrees_ER,GRaSP,0.6007678508758545,7,0.0,1.0,0.0,0.2857,0.2857,0.2857,4.0,0.0,20.0,10,1532
dag_5_nodes_7_edges_degrees_ER,GRaSP,1.245208501815796,7,0.0,1.0,0.0,0.2857,0.2857,0.2857,4.0,0.0,20.0,11,1009
dag_5_nodes_7_edges_degrees_ER,GRaSP,4.196415185928345,6,0.0,0.8571,0.0,0.3333,0.2857,0.3077,5.0,1.0,20.0,12,2250
dag_5_nodes_7_edges_degrees_ER,GRaSP,1.3085181713104248,7,0.1429,0.8571,0.3333,0.2857,0.2857,0.2857,6.0,1.0,16.0,13,4447
dag_5_nodes_7_edges_degrees_ER,GRaSP,0.764446496963501,7,0.0,1.0,0.0,0.2857,0.2857,0.2857,4.0,0.0,20.0,14,2415
dag_5_nodes_7_edges_degrees_ER,GRaSP,2.845606803894043,5,0.0,0.7143,0.0,0.4,0.2857,0.3333,5.0,4.0,20.0,15,3595
dag_5_nodes_7_edges_degrees_ER,GRaSP,0.6561925411224365,7,0.0,1.0,0.0,0.2857,0.2857,0.2857,4.0,0.0,20.0,16,4187
dag_5_nodes_7_edges_degrees_ER,GRaSP,3.1467974185943604,7,0.0,1.0,0.0,0.2857,0.2857,0.2857,4.0,0.0,20.0,17,4135
dag_5_nodes_7_edges_degrees_ER,GRaSP,2.269031524658203,7,0.0,1.0,0.0,0.2857,0.2857,0.2857,4.0,0.0,20.0,18,5174
dag_5_nodes_7_edges_degrees_ER,GRaSP,1.8068537712097168,6,0.1667,0.7143,0.3333,0.1667,0.1429,0.1538,6.0,4.0,20.0,19,5303
dag_5_nodes_7_edges_degrees_ER,GRaSP,1.8302373886108398,6,0.0,0.8571,0.0,0.3333,0.2857,0.3077,5.0,1.0,20.0,20,3942
dag_5_nodes_7_edges_degrees_ER,GRaSP,2.190242290496826,6,0.0,0.8571,0.0,0.3333,0.2857,0.3077,4.0,8.0,18.0,21,2778
dag_5_nodes_7_edges_degrees_ER,GRaSP,0.8774545192718506,7,0.0,1.0,0.0,0.2857,0.2857,0.2857,4.0,0.0,20.0,22,2804
dag_5_nodes_7_edges_degrees_ER,GRaSP,0.5598347187042236,7,0.0,1.0,0.0,0.2857,0.2857,0.2857,4.0,0.0,20.0,23,2145
dag_5_nodes_7_edges_degrees_ER,GRaSP,1.0363500118255615,4,0.25,0.4286,0.3333,0.25,0.1429,0.1818,6.0,8.0,16.0,24,150
dag_5_nodes_7_edges_degrees_ER,GRaSP,1.1876182556152344,6,0.1667,0.7143,0.3333,0.3333,0.2857,0.3077,5.0,5.0,16.0,25,8823
dag_5_nodes_7_edges_degrees_ER,GRaSP,3.3881752490997314,7,0.1429,0.8571,0.3333,0.1429,0.1429,0.1429,6.0,4.0,16.0,26,4669
dag_5_nodes_7_edges_degrees_ER,GRaSP,0.8322446346282959,6,0.0,0.8571,0.0,0.1667,0.1429,0.1538,5.0,4.0,20.0,27,6131
dag_5_nodes_7_edges_degrees_ER,GRaSP,0.9327468872070312,4,0.0,0.5714,0.0,0.5,0.2857,0.3636,5.0,4.0,20.0,28,2617
dag_5_nodes_7_edges_degrees_ER,GRaSP,0.8638198375701904,7,0.1429,0.8571,0.3333,0.2857,0.2857,0.2857,5.0,2.0,17.0,29,7166
dag_5_nodes_7_edges_degrees_ER,GRaSP,0.9726033210754395,5,0.0,0.7143,0.0,0.4,0.2857,0.3333,5.0,3.0,20.0,30,1428
dag_5_nodes_7_edges_degrees_ER,GRaSP,2.605637550354004,6,0.0,0.8571,0.0,0.3333,0.2857,0.3077,4.0,2.0,20.0,31,8328
dag_5_nodes_7_edges_degrees_ER,GRaSP,2.3433756828308105,7,0.0,1.0,0.0,0.2857,0.2857,0.2857,4.0,0.0,20.0,32,8289
dag_5_nodes_7_edges_degrees_ER,GRaSP,2.0777695178985596,6,0.0,0.8571,0.0,0.3333,0.2857,0.3077,4.0,8.0,18.0,33,5978
dag_5_nodes_7_edges_degrees_ER,GRaSP,2.219207763671875,6,0.0,0.8571,0.0,0.1667,0.1429,0.1538,5.0,4.0,20.0,34,5511
dag_5_nodes_7_edges_degrees_ER,GRaSP,0.3925356864929199,7,0.0,1.0,0.0,0.2857,0.2857,0.2857,4.0,0.0,20.0,35,5864
dag_5_nodes_7_edges_degrees_ER,GRaSP,1.1341056823730469,6,0.0,0.8571,0.0,0.1667,0.1429,0.1538,5.0,4.0,20.0,36,606
dag_5_nodes_7_edges_degrees_ER,GRaSP,1.106429100036621,7,0.0,1.0,0.0,0.2857,0.2857,0.2857,4.0,0.0,20.0,37,1933
dag_5_nodes_7_edges_degrees_ER,GRaSP,1.1864283084869385,6,0.1667,0.7143,0.3333,0.3333,0.2857,0.3077,6.0,4.0,17.0,38,6071
dag_5_nodes_7_edges_degrees_ER,GRaSP,0.8881058692932129,7,0.0,1.0,0.0,0.2857,0.2857,0.2857,4.0,0.0,20.0,39,5504
dag_5_nodes_7_edges_degrees_ER,GRaSP,1.183434247970581,4,0.25,0.4286,0.3333,0.0,0.0,,8.0,9.0,14.0,40,5163
dag_5_nodes_7_edges_degrees_ER,GRaSP,2.2548890113830566,7,0.0,1.0,0.0,0.2857,0.2857,0.2857,4.0,0.0,20.0,41,2406
dag_5_nodes_7_edges_degrees_ER,GRaSP,2.249079942703247,6,0.0,0.8571,0.0,0.3333,0.2857,0.3077,5.0,1.0,20.0,42,304
dag_5_nodes_7_edges_degrees_ER,GRaSP,1.8052935600280762,6,0.0,0.8571,0.0,0.1667,0.1429,0.1538,5.0,4.0,20.0,43,3391
dag_5_nodes_7_edges_degrees_ER,GRaSP,0.9002313613891602,7,0.0,1.0,0.0,0.2857,0.2857,0.2857,4.0,0.0,20.0,44,359
dag_5_nodes_7_edges_degrees_ER,GRaSP,1.264312982559204,7,0.0,1.0,0.0,0.2857,0.2857,0.2857,4.0,0.0,20.0,45,9096
dag_5_nodes_7_edges_degrees_ER,GRaSP,1.308426856994629,6,0.0,0.8571,0.0,0.1667,0.1429,0.1538,5.0,4.0,20.0,46,3533
dag_5_nodes_7_edges_degrees_ER,GRaSP,0.8171322345733643,3,0.0,0.4286,0.0,0.3333,0.1429,0.2,6.0,11.0,19.0,47,4125
dag_5_nodes_7_edges_degrees_ER,GRaSP,2.0394248962402344,5,0.0,0.7143,0.0,0.4,0.2857,0.3333,4.0,5.0,17.0,48,3094
dag_5_nodes_7_edges_degrees_ER,GRaSP,0.36557745933532715,6,0.0,0.8571,0.0,0.1667,0.1429,0.1538,5.0,4.0,20.0,49,6398
