dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high,run_idx,seed
dag_5_nodes_7_edges_degrees_SF,GRaSP,2.2651607990264893,4,0.0,1.0,0.0,0.25,0.25,0.25,2.0,5.0,18.0,0,7816
dag_5_nodes_7_edges_degrees_SF,GRaSP,0.7703797817230225,4,0.0,1.0,0.0,0.25,0.25,0.25,2.0,5.0,18.0,1,3578
dag_5_nodes_7_edges_degrees_SF,GRaSP,1.2275867462158203,3,0.0,0.75,0.0,0.0,0.0,,3.0,6.0,15.0,2,2656
dag_5_nodes_7_edges_degrees_SF,GRaSP,0.6815662384033203,4,0.0,1.0,0.0,0.25,0.25,0.25,2.0,5.0,18.0,3,2688
dag_5_nodes_7_edges_degrees_SF,GRaSP,0.6777772903442383,3,0.0,0.75,0.0,0.3333,0.25,0.2857,2.0,1.0,14.0,4,2494
dag_5_nodes_7_edges_degrees_SF,GRaSP,0.7230195999145508,4,0.0,1.0,0.0,0.25,0.25,0.25,2.0,5.0,18.0,5,183
dag_5_nodes_7_edges_degrees_SF,GRaSP,1.6723647117614746,3,0.0,0.75,0.0,0.0,0.0,,3.0,6.0,15.0,6,7977
dag_5_nodes_7_edges_degrees_SF,GRaSP,1.0676522254943848,4,0.0,1.0,0.0,0.25,0.25,0.25,2.0,5.0,18.0,7,3199
dag_5_nodes_7_edges_degrees_SF,GRaSP,0.6716666221618652,4,0.0,1.0,0.0,0.25,0.25,0.25,2.0,5.0,18.0,8,316
dag_5_nodes_7_edges_degrees_SF,GRaSP,1.1680574417114258,4,0.0,1.0,0.0,0.25,0.25,0.25,2.0,5.0,18.0,9,8266
dag_5_nodes_7_edges_degrees_SF,GRaSP,0.7208144664764404,4,0.0,1.0,0.0,0.25,0.25,0.25,2.0,5.0,18.0,10,1532
dag_5_nodes_7_edges_degrees_SF,GRaSP,1.1816704273223877,4,0.0,1.0,0.0,0.25,0.25,0.25,2.0,5.0,18.0,11,1009
dag_5_nodes_7_edges_degrees_SF,GRaSP,0.9552500247955322,3,0.0,0.75,0.0,0.0,0.0,,3.0,6.0,15.0,12,2250
dag_5_nodes_7_edges_degrees_SF,GRaSP,0.6763741970062256,3,0.0,0.75,0.0,0.3333,0.25,0.2857,2.0,1.0,14.0,13,4447
dag_5_nodes_7_edges_degrees_SF,GRaSP,0.5311214923858643,4,0.0,1.0,0.0,0.25,0.25,0.25,2.0,5.0,18.0,14,2415
dag_5_nodes_7_edges_degrees_SF,GRaSP,0.8582706451416016,3,0.0,0.75,0.0,0.3333,0.25,0.2857,2.0,1.0,14.0,15,3595
dag_5_nodes_7_edges_degrees_SF,GRaSP,0.9496927261352539,4,0.0,1.0,0.0,0.25,0.25,0.25,2.0,5.0,18.0,16,4187
dag_5_nodes_7_edges_degrees_SF,GRaSP,0.9334163665771484,3,0.0,0.75,0.0,0.3333,0.25,0.2857,2.0,3.0,16.0,17,4135
dag_5_nodes_7_edges_degrees_SF,GRaSP,1.2285895347595215,4,0.0,1.0,0.0,0.25,0.25,0.25,2.0,5.0,18.0,18,5174
dag_5_nodes_7_edges_degrees_SF,GRaSP,1.1670246124267578,3,0.0,0.75,0.0,0.0,0.0,,3.0,6.0,15.0,19,5303
dag_5_nodes_7_edges_degrees_SF,GRaSP,2.166670799255371,4,0.0,1.0,0.0,0.25,0.25,0.25,2.0,5.0,18.0,20,3942
dag_5_nodes_7_edges_degrees_SF,GRaSP,1.9456937313079834,4,0.0,1.0,0.0,0.25,0.25,0.25,2.0,5.0,18.0,21,2778
dag_5_nodes_7_edges_degrees_SF,GRaSP,1.0649337768554688,4,0.0,1.0,0.0,0.25,0.25,0.25,2.0,5.0,18.0,22,2804
dag_5_nodes_7_edges_degrees_SF,GRaSP,0.6969220638275146,4,0.0,1.0,0.0,0.25,0.25,0.25,2.0,5.0,18.0,23,2145
dag_5_nodes_7_edges_degrees_SF,GRaSP,1.339536190032959,4,0.0,1.0,0.0,0.25,0.25,0.25,2.0,5.0,18.0,24,150
